TimeElapsed,optimgain,TimestepsSoFar,entloss,ev_tdlam_before,meankl,EpLenMean,EpRewMean,entropy,EpTrueRewMean,EpisodesSoFar,EpThisIter,surrgain
413.4956045150757,0.21716425,186372,0.0,0.7585899531841278,0.010418994,79.775,49.59673,23.463297,388.420279475211,1113,14,0.21716425
420.10075855255127,0.21719466,189585,0.0,0.7160274088382721,0.011179801,78.1,47.528107,23.473637,376.6118990695335,1126,13,0.21719466
426.73870754241943,0.25264645,192546,0.0,0.7298530638217926,0.011411766,76.8,46.469616,23.4908,374.98815912005387,1139,13,0.25264645
433.2780075073242,0.22731797,195726,0.0,0.8064708411693573,0.010572714,77.95,46.164394,23.468931,379.23874668132413,1153,14,0.22731797
439.99316573143005,0.22142227,198603,0.0,0.754593163728714,0.010123601,76.525,47.18578,23.482828,377.8073155371674,1165,12,0.22142227
446.7325313091278,0.21976236,201849,0.0,0.6918154656887054,0.010555266,77.525,47.11568,23.489256,379.8441873047577,1179,14,0.21976236
453.4421937465668,0.21127944,204813,0.0,0.7516860812902451,0.011119285,78.15,49.30041,23.471922,385.26174649571055,1192,13,0.21127944
460.1888976097107,0.23086894,207840,0.0,0.8198509961366653,0.010449344,79.325,51.930164,23.473639,389.2470556671116,1204,12,0.23086894
466.82116079330444,0.29416537,211101,0.0,0.7705767899751663,0.011377095,81.025,53.403023,23.498758,395.7129826520248,1217,13,0.29416537
473.5072600841522,0.23739414,214200,0.0,0.7616627067327499,0.010727492,85.025,54.81544,23.477964,412.12151838802384,1228,11,0.23739414
480.203045129776,0.22678536,217266,0.0,0.8040315359830856,0.010071154,82.75,50.8698,23.495298,396.9166102887501,1242,14,0.22678536
486.95479822158813,0.24912032,220131,0.0,0.6991647481918335,0.0108135175,87.25,54.4564,23.507566,414.42350164537174,1252,10,0.24912032
493.7077763080597,0.2440317,223257,0.0,0.7096472978591919,0.011421962,81.125,49.77379,23.510433,390.5112925739516,1266,14,0.2440317
500.45914125442505,0.28336045,226281,0.0,0.7928188741207123,0.01128676,82.675,51.33976,23.499449,401.18220237923134,1278,12,0.28336045
507.1213912963867,0.40420645,229431,0.0,0.7391906082630157,0.011036653,75.775,45.218414,23.487322,372.976723365197,1293,15,0.40420645
513.8238286972046,0.24587315,232473,0.0,0.845039576292038,0.010915205,80.4,50.46415,23.486982,395.49220317023605,1304,11,0.24587315
520.4873249530792,0.24871953,235536,0.0,0.7921668142080307,0.010677472,80.425,51.28301,23.481627,395.4780247850756,1316,12,0.24871953
