TimestepsSoFar,entloss,optimgain,EpisodesSoFar,ev_tdlam_before,meankl,EpRewMean,EpLenMean,EpThisIter,TimeElapsed,surrgain,EpTrueRewMean,entropy
940257,0.0,0.0472702,621,-0.030397534370422363,0.013090831,255.86101,774.175,1,7734.582215309143,0.0472702,2789.317538951006,2.6776485
943257,0.0,0.03234255,622,-0.0037249326705932617,0.0101212775,259.9383,789.375,1,7759.006188154221,0.03234255,2842.1323923741156,2.674061
945465,0.0,0.058680654,623,0.9719624053686857,0.009443242,258.05307,784.625,1,7784.2885727882385,0.058680654,2824.8644791712413,2.7004895
947427,0.0,0.060720727,624,0.9832642190158367,0.009108054,256.81165,781.55,1,7808.545054674149,0.060720727,2815.3192435456117,2.711052
950427,0.0,0.05309768,625,-0.014667153358459473,0.010511351,256.3732,781.55,1,7834.083503484726,0.05309768,2816.6306121241996,2.726614
951843,0.0,0.05762992,626,0.9739467892795801,0.010198559,252.19897,768.35,1,7858.764977455139,0.05762992,2772.9878187724557,2.745716
955824,0.0,0.057869405,628,0.9910715511068702,0.010908192,251.27979,767.1,2,7884.306298494339,0.057869405,2771.134223894017,2.710657
958824,0.0,0.04944879,629,0.47776007652282715,0.011581783,251.10811,767.1,1,7908.587060689926,0.04944879,2771.970114580634,2.6560466
961824,0.0,0.049278572,630,0.6565721035003662,0.0104624955,251.4438,767.1,1,7933.578139066696,0.049278572,2773.5864720372433,2.6294858
964824,0.0,0.0382597,631,0.013456463813781738,0.0103301685,256.1146,783.95,1,7958.966849565506,0.0382597,2832.0762439194827,2.6539125
967824,0.0,0.049553934,632,0.8404074460268021,0.009575398,260.01968,796.25,1,7983.874421834946,0.049553934,2875.8295397848624,2.690813
972537,0.0,0.050428748,634,0.7513204663991928,0.009963845,257.1479,785.525,2,8008.730780363083,0.050428748,2841.3419981272273,2.6934416
974277,0.0,0.06786579,635,0.9517063796520233,0.009455362,258.8814,791.45,1,8034.206128120422,0.06786579,2862.5925549215845,2.7545357
977232,0.0,0.055448074,636,0.975524764508009,0.009138003,259.1034,793.175,1,8058.901572465897,0.055448074,2868.060249964281,2.7501154
978939,0.0,0.051603932,637,0.0014557242393493652,0.009175525,255.40479,782.4,1,8081.939659357071,0.051603932,2827.8693596814387,2.7631147
981939,0.0,0.04407394,638,0.005409300327301025,0.009511213,258.83115,795.0,1,8105.738403081894,0.04407394,2872.308743592538,2.81711
984939,0.0,0.0666064,639,0.8540287166833878,0.010174337,262.6529,808.4,1,8128.465861082077,0.0666064,2919.6786850473864,2.85058
987939,0.0,0.03683812,640,0.03248709440231323,0.009653604,261.28238,808.4,1,8152.921037912369,0.03683812,2917.5699467139484,2.950492
990939,0.0,0.054561757,641,-0.05589425563812256,0.011710273,260.99146,808.4,1,8175.679561138153,0.054561757,2916.7537519220305,2.9563386
993939,0.0,0.047254734,642,-0.0481187105178833,0.009274427,262.37543,814.225,1,8199.615084648132,0.047254734,2934.913617197915,2.902315
996393,0.0,0.063319094,643,0.9711259175091982,0.010222153,265.58228,821.7,1,8220.96894979477,0.063319094,2962.8170219028716,2.9268858
999372,0.0,0.07509942,644,0.9808806702494621,0.009477415,265.36264,821.525,1,8243.225390434265,0.07509942,2965.28409474388,2.9108524
1002372,0.0,0.040525075,645,-0.015001893043518066,0.013003371,265.0699,821.525,1,8262.603277921677,0.040525075,2964.039599414784,2.8507433
