TimestepsSoFar,EpLenMean,EpTrueRewMean,ev_tdlam_before,meankl,EpThisIter,EpRewMean,EpisodesSoFar,entloss,optimgain,TimeElapsed,entropy,surrgain
405240,742.35,1885.4305326629824,0.6236321926116943,0.011027666,3,1885.4305326629824,510,0.0,0.05087973,477.2315094470978,3.1165168,0.05087973
408240,745.2,1889.4787133679863,0.7665054649114609,0.008234376,1,1889.4787133679863,511,0.0,0.04946354,480.7687575817108,3.0828576,0.04946354
411240,760.075,1925.5059878100353,0.12707382440567017,0.009578929,1,1925.5059878100353,512,0.0,0.05404774,484.3659107685089,3.0458367,0.05404774
414240,761.0,1936.0277814009623,0.8032581955194473,0.01065174,1,1936.0277814009623,513,0.0,0.066089205,487.93058228492737,3.03068,0.066089205
417240,767.425,1953.6024727557565,0.11213350296020508,0.010293296,1,1953.6024727557565,514,0.0,0.046663605,491.5015637874603,2.9625022,0.046663605
420240,767.425,1953.3958040511363,-0.04061448574066162,0.010470336,1,1953.3958040511363,515,0.0,0.052795094,495.1801381111145,3.010984,0.052795094
423240,767.425,1951.4599307622207,0.20013028383255005,0.010351298,1,1951.4599307622207,516,0.0,0.04643152,498.7391333580017,3.067924,0.04643152
424026,723.975,1835.1105675801105,0.728492945432663,0.008906424,2,1835.1105675801105,518,0.0,0.051290885,502.40618419647217,3.0632231,0.051290885
424431,720.775,1825.2142702010296,0.8069246113300323,0.009057166,1,1825.2142702010296,519,0.0,0.053918697,505.9755036830902,3.070364,0.053918697
426921,716.525,1816.592448533183,0.04555279016494751,0.009731657,1,1816.592448533183,520,0.0,0.05322349,509.51211619377136,3.0286555,0.05322349
429921,716.525,1822.7513468503173,0.029683828353881836,0.010389284,1,1822.7513468503173,521,0.0,0.03894183,513.0960235595703,3.0302353,0.03894183
432993,685.025,1744.6671919989208,0.8908148407936096,0.008784015,3,1744.6671919989208,524,0.0,0.052680075,516.6704952716827,3.0238566,0.052680075
435993,685.025,1749.055549109356,0.1260749101638794,0.00934669,1,1749.055549109356,525,0.0,0.047318935,520.2091333866119,2.971067,0.047318935
440448,672.55,1718.9689269450719,-0.04666793346405029,0.009460069,2,1718.9689269450719,527,0.0,0.051610947,523.7807624340057,2.963125,0.051610947
444423,677.4,1735.9891777706107,0.7153914868831635,0.009276586,2,1735.9891777706107,529,0.0,0.046595663,527.4068214893341,2.9582236,0.046595663
447615,645.275,1649.5248893625037,0.8525240868330002,0.0100741405,4,1649.5248893625037,533,0.0,0.062043376,530.9946942329407,2.9839256,0.062043376
451848,627.425,1606.133526362038,0.5385580360889435,0.0091414675,3,1606.133526362038,536,0.0,0.049336478,534.6446115970612,2.9505618,0.049336478
454848,627.425,1612.9260908790582,0.00919187068939209,0.010042492,1,1612.9260908790582,537,0.0,0.039189212,538.2556056976318,2.9227989,0.039189212
457848,645.5,1662.7064111792806,0.012175679206848145,0.009482967,1,1662.7064111792806,538,0.0,0.041557178,541.7669558525085,2.930845,0.041557178
460671,644.025,1664.5784888878698,0.8876187279820442,0.009078531,1,1664.5784888878698,539,0.0,0.05840919,545.439288854599,2.8717978,0.05840919
463671,666.0,1727.4806193859126,0.017388999462127686,0.009697161,1,1727.4806193859126,540,0.0,0.050627783,548.9879188537598,2.8632815,0.050627783
467070,644.325,1674.9626364195385,0.39951932430267334,0.009371144,2,1674.9626364195385,542,0.0,0.051160015,552.5183749198914,2.8992815,0.051160015
