EpThisIter,meankl,EpisodesSoFar,EpTrueRewMean,surrgain,EpRewMean,entloss,EpLenMean,TimestepsSoFar,ev_tdlam_before,TimeElapsed,entropy,optimgain
10,0.013117839,1949,477.2846328948913,0.254532,16.252495,0.0,94.525,411525,0.8576089888811111,3886.801913022995,23.173832,0.254532
10,0.012842851,1959,492.3676624235915,0.25740695,16.273144,0.0,95.975,414450,0.7466087937355042,3915.210052728653,23.166323,0.25740695
11,0.014036773,1970,477.14612163909385,0.26156476,16.091442,0.0,92.025,417378,0.8079261034727097,3943.428881406784,23.167513,0.26156476
9,0.012377605,1979,513.1800728870022,0.27898717,17.386805,0.0,98.525,420450,0.802734762430191,3971.644241809845,23.166534,0.27898717
11,0.012629061,1990,522.3994435054276,0.28960547,17.823872,0.0,98.775,423543,0.8375479578971863,3999.928683757782,23.161816,0.28960547
11,0.014288326,2001,509.35605698404015,0.38395488,17.560963,0.0,96.525,426504,0.7430410385131836,4028.749228954315,23.161058,0.38395488
11,0.0122709535,2012,505.06913511077744,0.25340325,18.044437,0.0,96.725,429636,0.7617380172014236,4057.78661441803,23.164047,0.25340325
11,0.012204594,2023,490.58235453806026,0.32009107,16.66299,0.0,93.15,432729,0.8090727627277374,4085.421190738678,23.153395,0.32009107
11,0.013139311,2034,482.5789203967024,0.26009685,16.568647,0.0,92.375,435726,0.8045176565647125,4114.496375083923,23.163408,0.26009685
12,0.014152762,2046,469.7995249192704,0.24524288,15.423269,0.0,90.475,438816,0.8204931914806366,4142.900677204132,23.15816,0.24524288
10,0.011808666,2056,475.9581652642017,0.25715506,15.4896755,0.0,92.15,441798,0.7084980309009552,4171.4751789569855,23.164232,0.25715506
12,0.012351293,2068,458.61388801196534,0.24830464,15.6653805,0.0,89.825,445044,0.7865266352891922,4199.221266031265,23.16609,0.24830464
12,0.014229313,2080,460.84542364307197,0.3049233,15.768595,0.0,90.475,448218,0.7784314453601837,4228.700858592987,23.16678,0.3049233
12,0.012616629,2092,465.7525890095403,0.26829934,16.06364,0.0,91.425,451143,0.676097959280014,4256.098900318146,23.166737,0.26829934
10,0.012798672,2102,467.0728481294929,0.28513733,16.673964,0.0,89.625,454119,0.7141386568546295,4284.505748748779,23.159025,0.28513733
9,0.01366087,2111,499.2219055740135,0.26257378,18.042042,0.0,95.575,457257,0.7861545979976654,4312.153297424316,23.153368,0.26257378
10,0.013271074,2121,523.143151324494,0.25167137,19.48433,0.0,98.825,460398,0.7536067366600037,4341.286816358566,23.160952,0.25167137
11,0.013603161,2132,542.3101596403446,0.3201291,20.294357,0.0,102.225,463410,0.6620456874370575,4370.523936986923,23.158049,0.3201291
12,0.011916683,2144,510.6784972817909,0.23765616,18.470219,0.0,97.925,466497,0.7890425026416779,4396.943031072617,23.149233,0.23765616
11,0.013874244,2155,471.6372632340869,0.2690912,17.141634,0.0,90.45,469404,0.7789662480354309,4426.749423503876,23.150423,0.2690912
11,0.012065223,2166,460.05182384052694,0.2661956,16.158628,0.0,89.15,472323,0.728052943944931,4454.7813885211945,23.145504,0.2661956
12,0.0129649555,2178,448.1771602626888,0.29914144,15.543852,0.0,87.35,475518,0.7626744359731674,4484.338205814362,23.144503,0.29914144
11,0.012664936,2189,454.6429273242049,0.2706189,14.670973,0.0,88.25,478566,0.8394786715507507,4511.264427423477,23.1363,0.2706189
