TimeElapsed,EpThisIter,EpRewMean,EpisodesSoFar,surrgain,EpLenMean,meankl,TimestepsSoFar,entropy,EpTrueRewMean,ev_tdlam_before,optimgain,entloss
2474.729979276657,9,65.57871,4247,0.14301395,101.575,0.0041240742,353620,23.520746,509.67073163383156,0.8928603604435921,0.14301395,0.0
2481.698070526123,10,65.40259,4257,0.26918495,100.675,0.014718915,354597,23.512445,500.105949681876,0.8734824508428574,0.26918495,0.0
2488.5896561145782,10,65.89519,4267,0.13965842,102.725,0.004112946,355676,23.513432,508.20468751876086,0.8875460103154182,0.13965842,0.0
2495.542694091797,8,68.151634,4275,0.1685355,106.5,0.004175909,356640,23.509687,525.9541646085295,0.8023141175508499,0.1685355,0.0
2502.4578244686127,10,69.00173,4285,0.14189567,104.6,0.004197522,357621,23.509012,526.4881918959508,0.86928690969944,0.14189567,0.0
2509.396707057953,10,71.36294,4295,0.14384496,105.575,0.004010643,358554,23.503664,529.6010008250654,0.9003256559371948,0.14384496,0.0
2516.248118877411,11,69.36397,4306,0.15447077,100.825,0.003849699,359626,23.502195,506.42196699428115,0.8950024843215942,0.15447077,0.0
2523.1357152462006,9,68.41083,4315,0.14731273,98.975,0.0039973706,360599,23.502867,497.8964146183356,0.8424316793680191,0.14731273,0.0
2529.994683265686,7,74.17363,4322,0.17463306,106.7,0.004185125,361591,23.505865,532.7455161215752,0.7889824211597443,0.17463306,0.0
2536.8473324775696,9,78.18962,4331,0.15089163,112.425,0.00425611,362637,23.503012,559.3042498014934,0.8407982438802719,0.15089163,0.0
2543.9102807044983,9,78.5073,4340,0.15293078,115.4,0.0040292917,363663,23.50202,572.0204699698503,0.8855555653572083,0.15293078,0.0
2550.7909450531006,10,76.705765,4350,0.13545862,115.3,0.0039598052,364691,23.50368,569.7087776116568,0.884600855410099,0.13545862,0.0
2557.609055042267,9,76.715836,4359,0.15190479,116.8,0.0041954173,365720,23.502848,579.2849095149529,0.8739928603172302,0.15190479,0.0
2564.4375953674316,9,70.3019,4368,0.15133338,109.75,0.0039817295,366708,23.502422,548.307365652488,0.9039757624268532,0.15133338,0.0
2571.32329249382,10,69.20677,4378,0.15076606,106.575,0.0043207654,367712,23.498556,536.1359555900333,0.9101708233356476,0.15076606,0.0
2578.485457420349,10,70.531784,4388,0.15682043,105.975,0.004269232,368753,23.497133,539.5127425545268,0.903225839138031,0.15682043,0.0
2585.7106187343597,9,69.180176,4397,0.16317803,106.05,0.004382636,369730,23.500082,539.3387693273488,0.9166259542107582,0.16317803,0.0
2592.8458983898163,10,67.90987,4407,0.1532011,103.65,0.00404356,370745,23.500505,527.8518681700067,0.8948366045951843,0.1532011,0.0
2600.006022453308,10,68.719284,4417,0.15639326,105.0,0.0040660696,371821,23.50244,533.7043057805342,0.8715041726827621,0.15639326,0.0
2607.18776512146,9,67.77959,4426,0.16659355,107.15,0.0041391887,372837,23.50197,542.782909303423,0.9199036806821823,0.16659355,0.0
2614.5150191783905,9,67.76123,4435,0.15016735,108.25,0.0040676193,373822,23.502203,544.876802731926,0.8858891203999519,0.15016735,0.0
2621.719704389572,10,67.05959,4445,0.16999543,106.175,0.004489225,374784,23.500753,534.7956062191214,0.8800326585769653,0.16999543,0.0
2628.9372251033783,10,66.70581,4455,0.14590138,106.875,0.0041802553,375843,23.497541,536.5730495208275,0.9020211398601532,0.14590138,0.0
2636.1642673015594,10,64.32929,4465,0.15840936,102.25,0.0039010728,376832,23.495626,508.55464900761433,0.8829509690403938,0.15840936,0.0
2643.3656270504,10,63.255627,4475,0.15686691,98.425,0.0040868837,377759,23.493658,495.5613972288098,0.8912515863776207,0.15686691,0.0
2650.5312402248383,10,64.46298,4485,0.15244286,100.0,0.004099367,378784,23.490496,501.3244920680403,0.839297741651535,0.15244286,0.0
2657.747754573822,9,65.25214,4494,0.18341258,101.55,0.004534643,379792,23.49046,512.5906918841799,0.8675566464662552,0.18341258,0.0
2664.8995044231415,8,68.29863,4502,0.15559126,105.275,0.004853096,380734,23.489725,541.5059996863299,0.8225071877241135,0.15559126,0.0
2672.038430452347,10,71.3681,4512,0.18674618,107.3,0.00470543,381798,23.489485,554.0436869646746,0.851258173584938,0.18674618,0.0
2679.195892095566,9,72.25559,4521,0.16526666,108.475,0.004113178,382742,23.490545,561.0314554552717,0.8620163947343826,0.16526666,0.0
2686.335055589676,9,74.03329,4530,0.1449629,111.425,0.004021625,383788,23.490055,573.5330057242327,0.9138274490833282,0.1449629,0.0
2693.559721469879,8,73.20311,4538,0.15141326,112.0,0.0040154867,384783,23.490725,569.6572684436512,0.8969219848513603,0.15141326,0.0
2700.704799413681,9,75.53974,4547,0.15961252,112.925,0.0042066914,385764,23.49015,573.6836828986109,0.8921278715133667,0.15961252,0.0
2707.893597841263,7,78.32092,4554,0.17912148,118.3,0.0046366337,386692,23.491632,597.104826725779,0.8891460224986076,0.17912148,0.0
2715.104991912842,9,76.91671,4563,0.1567541,118.1,0.0046016728,387707,23.491451,589.9902314064756,0.8742552250623703,0.1567541,0.0
