entloss,EpThisIter,meankl,TimestepsSoFar,entropy,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,EpRewMean,EpLenMean,optimgain,surrgain,TimeElapsed
0.0,1,0.012460953,656659,1.7562063,1470,3082.926548470282,0.04103356599807739,511.1123,884.0,0.044782706,0.044782706,11801.936566829681
0.0,1,0.011492883,657659,1.7413042,1471,3081.5824074606994,0.04993683099746704,511.4441,884.0,0.037131116,0.037131116,11811.630469799042
0.0,1,0.012319111,658223,1.7591294,1472,3059.9983615745946,0.9909944282844663,508.7181,877.65,0.068847895,0.068847895,11821.2381067276
0.0,1,0.010502829,659223,1.7203342,1473,3080.8836020311974,0.08414959907531738,512.98846,884.475,0.047840517,0.047840517,11830.921479701996
0.0,1,0.010692522,660223,1.7647951,1474,3104.8881632133334,0.05453914403915405,518.1549,892.0,0.04223659,0.04223659,11840.684443950653
0.0,1,0.011479208,661102,1.7620403,1475,3096.219692219886,0.9617375545203686,517.4895,888.975,0.09160601,0.09160601,11850.434266090393
0.0,1,0.01165871,662102,1.7532051,1476,3096.7405131242053,0.041571855545043945,518.08154,888.975,0.0430247,0.0430247,11860.229105472565
0.0,1,0.0103475265,663102,1.7377595,1477,3095.2713149961055,-0.07346570491790771,518.442,888.975,0.050833747,0.050833747,11870.036559581757
0.0,1,0.013214728,664102,1.7163295,1478,3093.58299582337,0.05200678110122681,519.04706,890.0,0.04005764,0.04005764,11879.702760219574
0.0,1,0.010423967,665102,1.730918,1479,3093.0020735172607,0.0550079345703125,519.4146,890.0,0.04952494,0.04952494,11889.345467805862
0.0,1,0.011762954,666102,1.7415416,1480,3093.278558623827,0.06820273399353027,519.76886,890.0,0.045909602,0.045909602,11899.09403681755
0.0,1,0.01145136,667102,1.748046,1481,3093.6538036104116,0.04620414972305298,519.7384,890.0,0.052423347,0.052423347,11908.976905822754
0.0,1,0.010913763,668102,1.7397224,1482,3156.0426439932585,0.0672648549079895,529.92834,907.225,0.04292492,0.04292492,11918.681063175201
0.0,1,0.011573501,669102,1.7621825,1483,3233.663390843133,0.06153219938278198,542.97186,928.4,0.04451135,0.04451135,11928.358100891113
0.0,1,0.010879994,670102,1.7399732,1484,3287.2453431140702,0.062011003494262695,551.3903,943.95,0.047656905,0.047656905,11937.953696250916
0.0,1,0.010335702,671102,1.6941689,1485,3287.5317521188726,0.052129268646240234,550.8229,943.95,0.05494667,0.05494667,11947.685567378998
0.0,1,0.011228739,672102,1.7168485,1486,3288.484442049433,0.06304609775543213,551.05176,943.95,0.044008017,0.044008017,11958.952597141266
0.0,1,0.0118452795,673102,1.7099779,1487,3289.4283795902775,0.08997321128845215,551.36816,943.95,0.042394713,0.042394713,11970.563832044601
0.0,1,0.011014872,674102,1.7220821,1488,3290.808889415617,0.014420151710510254,551.463,943.95,0.050293088,0.050293088,11980.401294231415
0.0,2,0.01244866,675907,1.7398946,1490,3332.9966181716504,0.7263094186782837,559.175,955.65,0.05417046,0.05417046,11990.044330596924
0.0,1,0.011312005,676907,1.748184,1491,3355.3151858975443,-0.03856229782104492,563.47235,961.425,0.046967767,0.046967767,11999.798560619354
0.0,1,0.0039486606,677907,1.7857056,1492,3391.984121497834,0.05295968055725098,570.0365,971.225,0.027579755,0.027579755,12009.56946182251
0.0,2,0.01125505,679071,1.7671167,1494,3329.6101150506065,0.9567014761269093,560.6537,952.85,0.0651261,0.0651261,12019.446428060532
0.0,1,0.010832179,680071,1.7808903,1495,3330.7388448002444,0.07226604223251343,561.37915,952.85,0.041912697,0.041912697,12029.588795423508
0.0,1,0.011542012,681071,1.7784816,1496,3331.9045200298615,0.1546863317489624,561.6867,952.85,0.05138635,0.05138635,12039.460877418518
0.0,1,0.011576264,682071,1.7207406,1497,3333.645069245815,0.44049304723739624,561.8379,952.85,0.053948797,0.053948797,12049.29117321968
0.0,1,0.010821853,683071,1.767083,1498,3334.378785492119,0.5627760887145996,561.7196,952.85,0.055363655,0.055363655,12058.940783977509
0.0,1,0.01222957,684071,1.7914544,1499,3334.537275839524,0.633191704750061,561.652,952.85,0.0544318,0.0544318,12068.617540359497
0.0,1,0.012067726,685071,1.7704183,1500,3334.5872514648568,0.015215635299682617,560.8075,952.85,0.050736684,0.050736684,12078.386370897293
0.0,1,0.009756545,685720,1.7659273,1501,3306.427692040152,0.7912073284387589,555.1625,946.1,0.05557458,0.05557458,12088.174685001373
0.0,1,0.013452265,686720,1.7967988,1502,3307.7481388670903,-0.02893698215484619,555.20746,946.1,0.058566466,0.058566466,12097.862616300583
0.0,1,0.010861993,687720,1.791005,1503,3308.045388260097,0.02106940746307373,554.7186,946.1,0.049042933,0.049042933,12107.595649003983
0.0,2,0.012437509,689246,1.8148439,1505,3287.439122057471,0.3870599865913391,550.3988,939.675,0.046622667,0.046622667,12117.196958303452
0.0,1,0.011348558,690246,1.8156946,1506,3289.0998031615723,0.00015491247177124023,550.3978,939.675,0.045789834,0.045789834,12126.961453199387
0.0,1,0.011831806,691246,1.8355863,1507,3291.013499536008,0.015158474445343018,550.4061,939.675,0.044080757,0.044080757,12136.600222587585
0.0,1,0.010393625,692246,1.8436215,1508,3291.4075085694676,0.13802683353424072,550.0636,939.675,0.04765772,0.04765772,12146.354413032532
0.0,1,0.0113876145,692711,1.8456658,1509,3242.65559788088,-0.021536588668823242,541.4069,926.3,0.04431791,0.04431791,12156.044197320938
0.0,1,0.013128302,693711,1.8245821,1510,3243.954930812067,-0.018509387969970703,540.6251,926.3,0.05112655,0.05112655,12165.75260066986
0.0,1,0.011558138,694711,1.8292378,1511,3245.6744883048427,0.016157031059265137,541.07465,926.3,0.04941956,0.04941956,12175.541912317276
0.0,1,0.010729362,695162,1.8022869,1512,3234.132555049472,0.9842725172638893,539.3293,923.475,0.074223585,0.074223585,12185.164817333221
0.0,1,0.014667751,696162,1.7674732,1513,3234.5336081173978,0.005542159080505371,538.08374,923.475,0.045466002,0.045466002,12194.964458942413
0.0,1,0.010813453,697162,1.8009703,1514,3234.140764187191,0.01682943105697632,536.83246,923.475,0.038130008,0.038130008,12206.850224733353
0.0,1,0.010825587,697668,1.7910297,1515,3200.3613905012144,0.9615639187395573,531.1256,914.15,0.059859827,0.059859827,12218.28097319603
0.0,1,0.010797417,698668,1.8060352,1516,3201.104729112343,0.04396623373031616,530.9263,914.15,0.036921117,0.036921117,12228.131323099136
0.0,1,0.011492789,699668,1.776756,1517,3202.8953819174617,0.011189460754394531,530.5237,914.15,0.054923527,0.054923527,12237.875385284424
0.0,2,0.010556768,701176,1.7618254,1519,3160.7213981060586,0.7101770341396332,523.14435,901.85,0.04207786,0.04207786,12247.54572558403
0.0,1,0.0115968585,702176,1.7600925,1520,3161.4679785009375,0.043579041957855225,522.98596,901.85,0.052631114,0.052631114,12257.27532172203
0.0,1,0.012275992,703176,1.7690547,1521,3161.714842550945,0.008395731449127197,522.7108,901.85,0.04511581,0.04511581,12267.180025100708
0.0,1,0.011132648,703623,1.7682189,1522,3114.365103404343,0.9673204235732555,515.3614,888.025,0.06402206,0.06402206,12276.92093205452
0.0,1,0.011326754,704623,1.775459,1523,3116.726686555904,0.9116220250725746,515.69434,888.025,0.07538611,0.07538611,12286.30576133728
0.0,1,0.0110214595,705137,1.7692739,1524,3075.6087257788895,0.9756849203258753,510.09503,875.875,0.061563727,0.061563727,12296.050119876862
0.0,1,0.011239312,706137,1.7931231,1525,3075.661367965233,0.045887649059295654,510.70352,875.875,0.04389366,0.04389366,12305.75856924057
0.0,1,0.013181692,707137,1.7615365,1526,3075.3133405448557,0.49063974618911743,510.63605,875.875,0.05487682,0.05487682,12315.461829423904
0.0,1,0.012702176,708137,1.8034992,1527,3074.796393028708,-0.015835046768188477,509.78198,875.875,0.050637204,0.050637204,12325.157637119293
0.0,2,0.0126686385,709436,1.7820082,1529,3013.660236577455,0.7010114192962646,500.58652,858.35,0.054891765,0.054891765,12334.893266677856
0.0,1,0.010244466,710436,1.7852117,1530,3029.335853897518,-0.003148794174194336,502.49112,863.225,0.05085343,0.05085343,12344.585748195648
0.0,1,0.012631783,711436,1.8661954,1531,3032.3000914441595,0.9754836447536945,502.51984,863.225,0.060207948,0.060207948,12354.294277906418
0.0,2,0.011271859,713054,1.8472023,1533,3052.095584371405,0.9898785911500454,506.65332,867.5,0.079245955,0.079245955,12364.023196697235
0.0,1,0.011210966,714054,1.8449229,1534,3074.501504920445,0.21180343627929688,510.1479,874.575,0.055053264,0.055053264,12373.984326124191
0.0,1,0.010276437,715054,1.8921921,1535,3075.438711058552,0.03217113018035889,510.59814,874.575,0.04724363,0.04724363,12383.59029340744
0.0,1,0.011889115,716054,1.908162,1536,3076.0243952158794,0.005862295627593994,510.66815,874.575,0.050921924,0.050921924,12393.274828195572
0.0,1,0.012277257,717038,1.9157755,1537,3077.71399670412,0.9820535816252232,511.60947,874.175,0.06286878,0.06286878,12403.26553440094
0.0,1,0.011242303,718038,1.9085367,1538,3078.21542846005,0.008814990520477295,511.6739,874.175,0.04207617,0.04207617,12413.029599428177
0.0,2,0.011276531,719605,1.9432231,1540,3042.887872091584,0.7399539351463318,507.75873,863.35,0.04541717,0.04541717,12422.78864145279
0.0,1,0.010512328,720330,1.9295911,1541,3053.053302570993,0.9707116447389126,510.9416,865.25,0.054565117,0.054565117,12432.492578744888
0.0,1,0.009278129,721330,1.9452775,1542,3052.783589597529,0.024070262908935547,511.2194,865.25,0.039803714,0.039803714,12442.469088554382
0.0,2,0.010898842,722264,1.9220841,1544,3000.254505605546,0.8673567473888397,503.18906,850.45,0.06472415,0.06472415,12455.513297080994
0.0,1,0.010936368,722905,1.93157,1545,2971.3543923850716,0.9808658305555582,499.37247,841.475,0.07678587,0.07678587,12465.425379753113
0.0,1,0.0127312355,723905,1.9485494,1546,2972.4899234079735,0.5642654597759247,500.0009,841.475,0.061608046,0.061608046,12475.059694766998
0.0,1,0.011396486,724681,1.9177158,1547,2955.7246785494294,0.9726596064865589,497.85385,835.875,0.07816874,0.07816874,12484.765526533127
0.0,1,0.012259193,725681,1.9094361,1548,2957.991927818612,0.37429600954055786,499.4673,835.875,0.051698685,0.051698685,12494.41598534584
0.0,2,0.010917101,727681,1.9251173,1550,3006.9776826561047,-0.007364392280578613,508.0191,849.25,0.054940823,0.054940823,12504.07479095459
0.0,1,0.011938417,728681,1.9052697,1551,3006.5508055165415,0.043615102767944336,508.08505,849.25,0.046107717,0.046107717,12513.993403196335
0.0,2,0.012470135,729928,1.9157552,1553,2988.4529853795148,0.7279784977436066,506.28848,844.15,0.05559434,0.05559434,12523.957835912704
0.0,1,0.013677064,730928,1.9223374,1554,2989.2580800973415,-0.0004062652587890625,507.20062,844.15,0.06025779,0.06025779,12533.565835475922
0.0,2,0.00385266,732928,1.9147317,1556,3035.1301488213458,0.8047214150428772,515.38214,856.5,0.032384563,0.032384563,12543.139075517654
0.0,2,0.011367174,734325,1.9256213,1558,2984.933077035287,0.9789001047611237,509.5926,841.425,0.07150938,0.07150938,12552.775641679764
0.0,2,0.012006329,735524,1.9291459,1560,2955.2614343920313,0.72870272397995,505.0005,833.7,0.057240654,0.057240654,12562.414511203766
0.0,2,0.008757039,737057,1.9021465,1562,2964.6070000957593,0.7453966736793518,507.9002,835.85,0.076967105,0.076967105,12572.094808101654
0.0,2,0.010973623,738254,1.9002283,1564,2932.414921084151,0.7681685090065002,502.14658,827.925,0.05476056,0.05476056,12581.742521047592
0.0,1,0.011227431,739254,1.9161389,1565,2932.9958631675518,-0.07599020004272461,501.8812,827.925,0.04321852,0.04321852,12591.472150087357
0.0,1,0.011806285,740254,1.9276407,1566,2933.474857047588,0.001091599464416504,501.93466,827.925,0.043086898,0.043086898,12601.31517457962
0.0,1,0.011110431,741254,1.921647,1567,2933.981595090365,0.014746427536010742,502.41226,827.925,0.049600564,0.049600564,12611.003131866455
0.0,1,0.011578945,742254,1.9189254,1568,2934.024430832206,0.038761794567108154,502.35645,827.925,0.054161135,0.054161135,12620.800130844116
0.0,1,0.012095597,743254,1.8995724,1569,2995.4304949447187,0.039788663387298584,511.61465,845.45,0.04716354,0.04716354,12630.592497825623
0.0,1,0.010400616,744254,1.895529,1570,2994.71073560955,-0.05386042594909668,511.14923,845.45,0.05178383,0.05178383,12640.281367301941
0.0,1,0.011327344,744507,1.9328853,1571,2924.7621491563477,0.9653895050287247,499.51727,826.775,0.06621473,0.06621473,12649.898981332779
0.0,1,0.01062074,745507,1.9461491,1572,2944.0312747825747,0.02970820665359497,501.8143,832.875,0.04779531,0.04779531,12659.754385232925
0.0,2,0.010069816,746385,1.9545394,1574,2851.3510179516975,0.7473955154418945,485.29605,808.275,0.053106528,0.053106528,12669.469802379608
0.0,1,0.011509128,747385,1.956046,1575,2851.142406831545,0.6758093237876892,484.64044,808.275,0.05971028,0.05971028,12679.309612512589
0.0,1,0.012539747,748385,1.9356296,1576,2848.496036381466,0.016542911529541016,483.51376,808.275,0.041891396,0.041891396,12689.748190164566
0.0,2,0.0113927405,749087,1.9391515,1578,2731.2707787350873,0.9707997404038906,464.43546,776.225,0.075883895,0.075883895,12702.289376735687
0.0,2,0.01147802,750111,1.8999616,1580,2680.459914380625,0.18390971422195435,455.22797,762.65,0.056256525,0.056256525,12711.962882518768
0.0,1,0.009930037,751111,1.9437684,1581,2702.979575911854,0.023729920387268066,457.90314,769.525,0.05094272,0.05094272,12721.819070100784
0.0,1,0.0042395545,752111,1.8890992,1582,2702.7975119360144,0.018765151500701904,457.7308,769.525,0.042326488,0.042326488,12731.582978963852
0.0,2,0.01155532,753504,1.8922331,1584,2743.228036431619,0.9477485977113247,465.2086,781.0,0.06807515,0.06807515,12741.258125543594
0.0,1,0.010550939,754504,1.8493721,1585,2772.108148671966,0.3496185541152954,469.59927,789.975,0.053203125,0.053203125,12750.955277442932
0.0,2,0.011470459,756504,1.8304043,1587,2788.1266328600996,0.25468647480010986,472.0577,795.575,0.050853312,0.050853312,12761.022520303726
0.0,1,0.011726315,756874,1.8261716,1588,2731.6139061600543,0.9715603291988373,462.7967,779.825,0.057177357,0.057177357,12770.692472219467
0.0,2,0.012884981,758874,1.8418672,1590,2732.2308491725375,-0.018694162368774414,462.94696,779.825,0.045915592,0.045915592,12780.377312660217
0.0,1,0.009790846,759040,1.8851689,1591,2657.1961205291577,0.9767237920314074,450.89413,758.975,0.064721085,0.064721085,12790.052253007889
0.0,2,0.009954375,760367,1.8292943,1593,2666.776392540841,0.7349552512168884,452.597,760.975,0.046891373,0.046891373,12799.789579868317
0.0,1,0.011950792,760899,1.814992,1594,2626.4297329021924,0.9785757716745138,446.27042,749.275,0.08812271,0.08812271,12809.39249753952
0.0,1,0.01139071,761899,1.8184283,1595,2626.078035288626,0.05418294668197632,445.72882,749.275,0.04605346,0.04605346,12818.998518705368
0.0,1,0.011182607,762899,1.842498,1596,2623.1035340166272,0.035881638526916504,444.09692,749.275,0.045842588,0.045842588,12828.816752195358
