ev_tdlam_before,surrgain,TimeElapsed,EpisodesSoFar,EpTrueRewMean,TimestepsSoFar,entropy,entloss,EpLenMean,EpThisIter,meankl,optimgain,EpRewMean
0.8910089656710625,0.24706988,511.1622705459595,1516,411.45230499273504,280230,23.605162,0.0,82.575,13,0.012554864,0.24706988,411.45230499273504
0.9110158011317253,0.2525035,516.7231423854828,1527,420.9681181196367,283212,23.616274,0.0,84.475,11,0.012373624,0.2525035,420.9681181196367
0.9014710262417793,0.24054492,522.3317885398865,1539,419.35171142924065,286173,23.611326,0.0,84.1,12,0.012563985,0.24054492,419.35171142924065
0.9057147577404976,0.26244012,528.000084400177,1550,416.44370418343414,288981,23.6216,0.0,84.35,11,0.011748046,0.26244012,416.44370418343414
0.885186031460762,0.30416626,533.6265459060669,1562,427.02007073731755,292119,23.645102,0.0,86.45,12,0.012660684,0.30416626,427.02007073731755
0.9193279817700386,0.2508605,539.4925570487976,1576,395.7646634891727,295188,23.648664,0.0,81.25,14,0.012191531,0.2508605,395.7646634891727
0.9104145467281342,0.26808107,545.1879742145538,1588,395.3742192700947,298158,23.653,0.0,80.5,12,0.012922294,0.26808107,395.3742192700947
0.888314999639988,0.25142175,550.9922709465027,1600,387.1152051896365,301260,23.640608,0.0,79.95,12,0.012039035,0.25142175,387.1152051896365
0.9200793504714966,0.30666038,556.7510201931,1613,405.9590809491648,304572,23.63703,0.0,83.2,13,0.011692341,0.30666038,405.9590809491648
0.9068234041333199,0.36770856,562.4249405860901,1626,419.01279608448533,307959,23.628168,0.0,86.225,13,0.012828924,0.36770856,419.01279608448533
0.9211503714323044,0.23898731,568.5736215114594,1638,412.41230961367364,310971,23.62182,0.0,84.75,12,0.012395838,0.23898731,412.41230961367364
0.8917398899793625,0.2952062,574.4143447875977,1649,423.222784032245,314028,23.62964,0.0,87.075,11,0.011855913,0.2952062,423.222784032245
0.9030633121728897,0.24842063,580.2978019714355,1661,415.42059194806245,317088,23.615946,0.0,85.75,12,0.011840605,0.24842063,415.42059194806245
0.9046158343553543,0.38109264,586.0645170211792,1674,418.0639574017845,320241,23.605227,0.0,86.175,13,0.012474635,0.38109264,418.0639574017845
0.9097307994961739,0.32485145,591.9849810600281,1685,425.09276597938117,323133,23.589113,0.0,86.65,11,0.012870787,0.32485145,425.09276597938117
0.9042429849505424,0.28802747,597.9279463291168,1697,414.80813773210167,326244,23.593744,0.0,85.15,12,0.013171954,0.28802747,414.80813773210167
0.8980205953121185,0.28400737,603.7998218536377,1709,413.559909178546,329283,23.593754,0.0,83.8,12,0.013800993,0.28400737,413.559909178546
0.9017743989825249,0.2579431,609.5062463283539,1720,423.91727775954786,332280,23.607649,0.0,86.025,11,0.012051499,0.2579431,423.91727775954786
0.881239540874958,0.25513774,615.2876477241516,1731,435.89956755497616,335277,23.600607,0.0,87.925,11,0.012521503,0.25513774,435.89956755497616
0.8900052160024643,0.29927123,621.0772082805634,1745,426.09897649407174,338436,23.589764,0.0,85.1,14,0.013126952,0.29927123,426.09897649407174
0.904154896736145,0.22275582,626.8674688339233,1756,424.7847243013186,341397,23.59157,0.0,85.35,11,0.012470741,0.22275582,424.7847243013186
0.9180954471230507,0.2825142,632.5739982128143,1768,408.17042641974507,344586,23.588114,0.0,83.0,12,0.012188351,0.2825142,408.17042641974507
0.9274603575468063,0.24756645,638.1885273456573,1779,426.63651475030264,347460,23.584637,0.0,86.7,11,0.012514716,0.24756645,426.63651475030264
0.9199008345603943,0.39176348,643.7361779212952,1790,434.25247589065646,350661,23.58547,0.0,88.35,11,0.012418643,0.39176348,434.25247589065646
0.9131317809224129,0.2945458,649.4592983722687,1802,436.2358030615768,353712,23.600174,0.0,89.55,12,0.012931232,0.2945458,436.2358030615768
0.8864927887916565,0.25324246,655.225997209549,1815,422.6476289282442,356889,23.601141,0.0,87.325,13,0.013408286,0.25324246,422.6476289282442
0.9082694500684738,0.28289473,660.9638376235962,1826,417.46643301016746,359937,23.592548,0.0,85.7,11,0.013823706,0.28289473,417.46643301016746
0.8960495516657829,0.37194362,666.8446865081787,1837,430.31868186153133,363144,23.604006,0.0,88.45,11,0.0138855465,0.37194362,430.31868186153133
0.9038945063948631,0.33516327,672.5375373363495,1849,430.2683719777909,366195,23.597593,0.0,87.875,12,0.012566565,0.33516327,430.2683719777909
0.9421436786651611,0.23090327,678.2835938930511,1860,445.8318762047569,369099,23.598387,0.0,90.75,11,0.012041314,0.23090327,445.8318762047569
0.8996446803212166,0.26156503,683.9710416793823,1872,438.23734081736285,372411,23.586992,0.0,89.125,12,0.012632034,0.26156503,438.23734081736285
0.9140127971768379,0.2821262,689.6942512989044,1885,435.05763380372537,375744,23.571795,0.0,87.65,13,0.0128165595,0.2821262,435.05763380372537
0.8983100950717926,0.26509452,695.3420736789703,1896,443.29360192822605,378792,23.563215,0.0,88.775,11,0.013234756,0.26509452,443.29360192822605
0.9296388253569603,0.3820933,701.0386250019073,1908,444.90545110782097,382038,23.577713,0.0,89.275,12,0.01376357,0.3820933,444.90545110782097
