EpRewMean,surrgain,ev_tdlam_before,entloss,EpTrueRewMean,TimeElapsed,optimgain,EpThisIter,EpisodesSoFar,EpLenMean,TimestepsSoFar,entropy,meankl
40.95466,0.10807837,0.8976780846714973,0.0,403.4673207684752,985.179931640625,0.10807837,5,271,239.6,115836,7.940178,0.0068399142
40.13292,0.10156068,0.8338674008846283,0.0,391.0363585717346,1011.5429792404175,0.10156068,5,276,237.8,118698,7.938851,0.0072144973
40.45894,0.08687635,0.9741770029067993,0.0,396.133389674501,1036.4924485683441,0.08687635,4,280,240.675,121977,7.958656,0.007598978
42.28769,0.11061749,0.7632721066474915,0.0,405.0585393593138,1062.5562570095062,0.11061749,5,285,237.825,125217,7.9454126,0.006735176
42.930016,0.08877449,0.7917450219392776,0.0,403.0455113171044,1088.9231307506561,0.08877449,4,289,235.9,127887,7.932956,0.00743481
43.909355,0.08027865,0.9054703339934349,0.0,409.3458278740128,1114.4616458415985,0.08027865,4,293,239.95,131007,7.9211383,0.007920296
44.688133,0.07322919,0.875300370156765,0.0,416.26477994044524,1140.181159734726,0.07322919,3,296,237.875,132861,7.932477,0.007869456
45.367386,0.10668393,0.8846673518419266,0.0,415.5492002648895,1165.5052602291107,0.10668393,5,301,235.075,136401,7.9403605,0.007868901
47.378826,0.09454249,0.7333092093467712,0.0,413.5935288737117,1191.150738477707,0.09454249,4,305,229.075,139329,7.9164286,0.0073052347
46.164307,0.06973766,0.7946374416351318,0.0,410.89485015941625,1216.5258553028107,0.06973766,3,308,232.225,141642,7.9119267,0.0080686305
49.946453,0.09342133,0.8009230494499207,0.0,432.81617956568573,1242.5759372711182,0.09342133,3,311,243.65,145074,7.9175534,0.007240725
52.189087,0.083038166,0.8027777522802353,0.0,445.7155904907404,1267.3119070529938,0.083038166,4,315,249.4,147999,7.910862,0.008106877
56.535004,0.092095315,0.8132953196763992,0.0,472.2367461305844,1294.1845808029175,0.092095315,3,318,259.075,151161,7.9117575,0.0077019096
55.702393,0.103179075,0.7565317451953888,0.0,464.45463557249184,1319.15509557724,0.103179075,4,322,251.875,153582,7.8835306,0.00820475
58.207256,0.11067738,0.8111394941806793,0.0,478.5353871940273,1345.1533873081207,0.11067738,2,324,259.45,155787,7.883327,0.00864032
62.615417,0.091049165,0.753998726606369,0.0,505.12811438528087,1370.1486732959747,0.091049165,4,328,270.975,159594,7.8881345,0.0065419264
66.929245,0.10075949,0.9123732149600983,0.0,524.9910004182912,1397.3768599033356,0.10075949,2,330,278.4,161985,7.8797574,0.00798939
72.67151,0.09705481,0.8468030840158463,0.0,548.8537380143274,1423.4508402347565,0.09705481,4,334,281.775,165453,7.869775,0.0070658047
77.02842,0.08844091,0.8593125343322754,0.0,572.1183360817107,1448.7895002365112,0.08844091,3,337,288.75,168291,7.8623967,0.0073710876
82.369934,0.105011314,0.8425035178661346,0.0,599.8321418255598,1474.2221043109894,0.105011314,4,341,299.025,172284,7.857514,0.008586574
85.13031,0.09749473,0.8515233546495438,0.0,617.6988861665413,1500.5037779808044,0.09749473,3,344,303.4,174837,7.843003,0.0074354224
85.04564,0.087696515,0.8061402291059494,0.0,619.9470576170276,1526.2513093948364,0.087696515,3,347,299.625,177186,7.846557,0.0075042536
86.061325,0.10419788,0.8653824627399445,0.0,626.4560570043725,1552.2454221248627,0.10419788,3,350,296.375,179910,7.842937,0.007722988
88.81914,0.08686927,0.8299081921577454,0.0,643.4222680261396,1578.0065293312073,0.08686927,3,353,301.65,182910,7.8457723,0.0073617185
89.965996,0.09109212,0.8652859479188919,0.0,657.4901237159044,1603.9377892017365,0.09109212,4,357,303.1,186402,7.8246756,0.0072971154
91.98012,0.09713277,0.6946892738342285,0.0,671.9060248669609,1629.61776804924,0.09713277,5,362,307.5,190482,7.8024435,0.008112638
90.369446,0.08660097,0.7211796939373016,0.0,687.1257247323508,1655.44034075737,0.08660097,3,365,320.375,195342,7.798028,0.007849639
93.774185,0.09810266,0.7756235301494598,0.0,708.7031558435489,1680.9568502902985,0.09810266,3,368,323.625,198429,7.7839894,0.008208122
90.40038,0.09420644,0.9007946029305458,0.0,704.1212074179596,1706.7725706100464,0.09420644,3,371,321.275,201486,7.78999,0.008232213
91.85918,0.09734206,0.8333370387554169,0.0,720.6757666281907,1732.508698940277,0.09734206,3,374,326.6,204645,7.7850485,0.008503443
90.40411,0.10819122,0.7546329200267792,0.0,716.8268074808168,1758.7189157009125,0.10819122,3,377,327.3,207567,7.772773,0.007203337
90.227425,0.100529045,0.8264830410480499,0.0,730.282469021556,1784.3994100093842,0.100529045,3,380,338.575,211605,7.7620697,0.0075422293
90.51854,0.08606773,0.8978071063756943,0.0,734.8243319754996,1810.7163758277893,0.08606773,3,383,336.825,214527,7.756135,0.007874781
90.7767,0.1191992,0.9012143164873123,0.0,736.5549175589409,1836.5359001159668,0.1191992,4,387,337.575,217695,7.7366247,0.0074596265
90.019684,0.1065536,0.9104537144303322,0.0,739.2321923829792,1861.6928045749664,0.1065536,3,390,338.425,220521,7.705807,0.007890835
91.11908,0.10601717,0.8899025544524193,0.0,743.5514952569821,1887.351130247116,0.10601717,3,393,334.2,223014,7.711051,0.008621055
89.947525,0.09397873,0.9120249822735786,0.0,735.9351082934472,1913.3768088817596,0.09397873,3,396,330.6,225444,7.7092514,0.007542909
90.68013,0.102863,0.7884089052677155,0.0,745.4365545797411,1939.089561700821,0.102863,4,400,330.75,228507,7.7021112,0.008140453
91.40398,0.12006214,0.8934487700462341,0.0,741.4315794184633,1964.5576376914978,0.12006214,4,404,316.875,232593,7.693009,0.0077488674
92.06526,0.0920916,0.8795702531933784,0.0,742.5146713779911,1990.0091063976288,0.0920916,3,407,317.6,235518,7.6965413,0.008127417
90.57499,0.09152456,0.8822966367006302,0.0,730.2503562792515,2016.4634053707123,0.09152456,4,411,310.35,238728,7.6891375,0.008389861
