EpLenMean,entloss,EpTrueRewMean,meankl,EpRewMean,surrgain,EpThisIter,TimestepsSoFar,ev_tdlam_before,entropy,optimgain,EpisodesSoFar,TimeElapsed
389.725,0.0,849.4736260622783,0.007124693,255.0499,0.09954992,2,197340,0.9338872358202934,7.5075808,0.09954992,322,291.6947844028473
396.7,0.0,867.3317316982623,0.008090864,256.26187,0.091146335,3,201138,0.911346085369587,7.5111704,0.091146335,325,296.1161952018738
408.85,0.0,894.789484290373,0.0077920933,261.69156,0.09804854,3,205401,0.9558113403618336,7.487503,0.09804854,328,300.5103533267975
409.625,0.0,895.2546118205203,0.007411547,260.8507,0.08826627,2,207381,0.9342236220836639,7.4857635,0.08826627,330,304.85820841789246
415.925,0.0,904.4139135381535,0.008052828,260.15225,0.07477267,2,210582,0.9118800535798073,7.506348,0.07477267,332,309.2366280555725
420.625,0.0,918.2671042774757,0.0077677923,257.70587,0.09281862,3,214146,0.9192548096179962,7.504577,0.09281862,335,313.58782958984375
417.6,0.0,922.1036666533673,0.0072296676,255.49886,0.0968457,2,216393,0.9151116907596588,7.502318,0.0968457,337,317.98243594169617
403.55,0.0,912.5141921596005,0.007774942,254.07144,0.08632757,3,219597,0.8819379657506943,7.493454,0.08632757,340,322.3289988040924
402.025,0.0,906.7480409003831,0.0079744365,248.74423,0.103170455,3,222579,0.8893704488873482,7.4774175,0.103170455,343,326.7479770183563
401.025,0.0,902.7112703999398,0.0073495894,247.21463,0.11353749,4,226425,0.8193440288305283,7.48529,0.11353749,347,331.1565189361572
399.6,0.0,904.466058522117,0.007770571,248.19429,0.08940447,3,229950,0.871914267539978,7.4931064,0.08940447,350,335.5823302268982
399.225,0.0,906.4245703619605,0.007671397,249.77263,0.107961535,2,232281,0.9444663934409618,7.4884677,0.107961535,352,339.9921946525574
400.8,0.0,915.4589055300881,0.008514538,254.40767,0.08673161,2,234882,0.9096345975995064,7.4848638,0.08673161,354,344.3877992630005
386.65,0.0,882.4447963485678,0.0071515525,245.89409,0.089020394,3,237999,0.8547617197036743,7.478894,0.089020394,357,348.79933762550354
393.1,0.0,904.2888123573505,0.008771826,250.21638,0.08061984,2,240963,0.9224671199917793,7.496167,0.08061984,359,353.2498049736023
384.65,0.0,882.223478618974,0.009462293,242.18144,0.08371997,3,243498,0.889044813811779,7.4773684,0.08371997,362,357.64053869247437
