TimeElapsed,optimgain,TimestepsSoFar,surrgain,ev_tdlam_before,EpLenMean,EpRewMean,EpTrueRewMean,EpThisIter,entropy,EpisodesSoFar,meankl,entloss
74.59423351287842,0.06848491,48996,0.06848491,0.882067047059536,194.15,168.07784,193.7762388044329,5,8.0504875,183,0.0061341976,0.0
79.0676839351654,0.057496555,52293,0.057496555,0.939751498401165,204.35,173.90482,218.95541836924264,4,8.040832,187,0.006527749,0.0
83.65882968902588,0.07667459,54990,0.07667459,0.9474435672163963,206.325,177.6727,250.01664798488213,5,8.005494,192,0.007122131,0.0
88.19272661209106,0.064730935,58125,0.064730935,0.983440063893795,208.4,178.33902,269.7967948902484,4,8.0196495,196,0.0060960506,0.0
92.7109956741333,0.07671271,61356,0.07671271,0.9817713275551796,215.925,179.13504,284.35967795152874,5,7.995682,201,0.00639779,0.0
97.24207830429077,0.07007156,63984,0.07007156,0.9666806720197201,225.425,184.16304,303.4310215670217,3,7.9961424,204,0.0069156764,0.0
101.841224193573,0.07282415,66972,0.07282415,0.9554389081895351,232.425,186.30338,318.3839132851813,4,8.041015,208,0.006509249,0.0
106.38356375694275,0.055944033,69882,0.055944033,0.9447201155126095,239.825,189.0675,331.49952864641966,3,8.071589,211,0.006100878,0.0
110.98135948181152,0.077357724,72642,0.077357724,0.983133090659976,245.925,192.50163,348.2482648384689,4,8.06067,215,0.005795924,0.0
115.66613221168518,0.07384227,75135,0.07384227,0.9370952472090721,248.575,190.71187,350.14888081049423,3,8.055729,218,0.006296757,0.0
120.17385578155518,0.07971158,77925,0.07971158,0.967865239828825,250.275,193.24677,370.2867838369865,3,8.043885,221,0.005953309,0.0
124.70099472999573,0.07260348,80874,0.07260348,0.9323224201798439,248.95,189.3308,370.19375214884775,4,8.031188,225,0.006062882,0.0
129.13160967826843,0.0650786,83859,0.0650786,0.9242437109351158,259.25,192.25414,374.25235558921224,3,8.00397,228,0.0063286293,0.0
133.71575212478638,0.081697345,86919,0.081697345,0.8674754798412323,266.075,195.73814,388.80405200319393,4,8.00586,232,0.005746304,0.0
138.22328281402588,0.062620655,89925,0.062620655,0.9296007677912712,269.825,194.5477,387.6024429379789,3,7.980542,235,0.0061970735,0.0
142.75894260406494,0.07786315,93417,0.07786315,0.9475587420165539,277.525,196.25392,397.0505559786704,4,7.946778,239,0.0071050175,0.0
147.27390480041504,0.10965486,96789,0.10965486,0.8687779754400253,282.575,201.62741,411.58079281457066,4,7.92305,243,0.0059855194,0.0
151.7483401298523,0.070774175,99513,0.070774175,0.9440974593162537,286.175,203.60843,415.8929637292339,3,7.9289703,246,0.007439896,0.0
156.18269205093384,0.08592774,102582,0.08592774,0.8384829312562943,280.725,203.92804,419.97435551320933,4,7.9191284,250,0.007420022,0.0
160.70794773101807,0.12438908,106005,0.12438908,0.8539314419031143,283.3,207.94016,431.93791728183095,4,7.909728,254,0.0062368745,0.0
