EpisodesSoFar,TimestepsSoFar,surrgain,EpLenMean,optimgain,EpTrueRewMean,EpThisIter,entloss,entropy,ev_tdlam_before,EpRewMean,TimeElapsed,meankl
409,245829,0.10481343,508.7,0.10481343,1183.2784371531034,1,0.0,7.4311485,0.6327491700649261,1183.2784371531034,343.60844802856445,0.007809432
410,248829,0.08187769,516.45,0.08187769,1201.2169494007462,1,0.0,7.4748545,0.23545342683792114,1201.2169494007462,347.65792655944824,0.008294433
413,253317,0.08919511,532.925,0.08919511,1245.2494792215825,3,0.0,7.4952393,0.8704336881637573,1245.2494792215825,351.50390362739563,0.008729286
414,256317,0.091888055,547.925,0.091888055,1278.8113681698092,1,0.0,7.4848676,0.19078612327575684,1278.8113681698092,355.5624825954437,0.00823753
416,259941,0.100289285,564.0,0.100289285,1325.5926710865826,2,0.0,7.4814463,0.9139902293682098,1325.5926710865826,359.5719962120056,0.008278312
418,262662,0.0958171,556.15,0.0958171,1313.2393365487853,2,0.0,7.4621625,0.9241355806589127,1313.2393365487853,363.6600933074951,0.0078462595
419,264972,0.09659031,568.95,0.09659031,1341.6194400647942,1,0.0,7.463138,0.7557495683431625,1341.6194400647942,367.67731046676636,0.008315376
420,267972,0.07331045,571.075,0.07331045,1340.9035840953463,1,0.0,7.466125,0.6808365285396576,1340.9035840953463,371.6638514995575,0.0068226354
421,268677,0.0937988,566.0,0.0937988,1318.7497659497722,1,0.0,7.43248,0.8560133427381516,1318.7497659497722,375.61527132987976,0.008038869
423,271488,0.092058726,568.075,0.092058726,1339.4199050128875,2,0.0,7.4271207,0.6051875054836273,1339.4199050128875,379.64709544181824,0.008625892
425,275526,0.08616927,571.075,0.08616927,1354.2954701425547,2,0.0,7.41901,0.8931164816021919,1354.2954701425547,383.71697640419006,0.008408851
427,280206,0.06897859,570.8,0.06897859,1370.6306092205136,2,0.0,7.4135904,0.5398884117603302,1370.6306092205136,387.70061707496643,0.007348158
429,285297,0.08731406,588.325,0.08731406,1420.8095076081838,2,0.0,7.4525886,0.5650587975978851,1420.8095076081838,391.7563695907593,0.008978598
430,287685,0.099873796,600.45,0.099873796,1456.267026434984,1,0.0,7.4655,0.9322435185313225,1456.267026434984,395.7250761985779,0.008287913
431,290532,0.091784425,614.975,0.091784425,1505.0339137336844,1,0.0,7.450244,0.7321180105209351,1505.0339137336844,399.6791031360626,0.009009562
432,293532,0.08472732,630.65,0.08472732,1540.2647264764412,1,0.0,7.446639,-0.21681606769561768,1540.2647264764412,403.6606647968292,0.008250337
433,296532,0.07994334,647.6,0.07994334,1580.5855816729404,1,0.0,7.4283414,0.7744783908128738,1580.5855816729404,407.64391684532166,0.008953465
435,299631,0.09835492,643.125,0.09835492,1582.0994299187485,2,0.0,7.414075,0.8852971717715263,1582.0994299187485,411.69290804862976,0.00778345
436,302631,0.06390324,658.125,0.06390324,1629.1091666052048,1,0.0,7.401241,-0.10809803009033203,1629.1091666052048,415.75830364227295,0.00785486
437,305631,0.079191945,674.0,0.079191945,1679.4362509440348,1,0.0,7.397765,0.03414309024810791,1679.4362509440348,419.8784189224243,0.008099465
439,310470,0.08754943,679.725,0.08754943,1725.3605877369978,2,0.0,7.3967414,0.8664968460798264,1725.3605877369978,423.9509344100952,0.007864304
440,313470,0.08179133,693.55,0.08179133,1771.039210332081,1,0.0,7.3860636,0.2426775097846985,1771.039210332081,427.9893448352814,0.008398503
442,316992,0.08149436,699.425,0.08149436,1794.2391565591176,2,0.0,7.3958173,0.8871933147311211,1794.2391565591176,432.3307843208313,0.008259419
