TimestepsSoFar,meankl,optimgain,ev_tdlam_before,EpRewMean,surrgain,EpThisIter,entloss,EpisodesSoFar,TimeElapsed,entropy,EpTrueRewMean,EpLenMean
687135,0.0038061538,0.14391838,0.8373542279005051,63.45141,0.14391838,11,0.0,2918,1468.722395658493,23.260492,491.3111624245256,98.525
690180,0.0040636547,0.14222586,0.8555083125829697,66.24402,0.14222586,8,0.0,2926,1475.3951652050018,23.256594,516.2634817858604,103.45
693426,0.004767948,0.17181736,0.8848193362355232,69.56838,0.17181736,11,0.0,2937,1482.0586087703705,23.257303,526.2551829235772,105.275
696351,0.004059965,0.14592439,0.8901599422097206,68.39889,0.14592439,10,0.0,2947,1488.6568958759308,23.256039,509.50644489216086,101.55
699387,0.01381948,0.26958287,0.9004319459199905,71.59451,0.26958287,10,0.0,2957,1495.136708498001,23.256523,529.4713946712767,104.675
702381,0.0038997275,0.15248515,0.8228593617677689,70.80112,0.15248515,9,0.0,2966,1501.8710429668427,23.256369,513.4996862387014,101.675
705522,0.004082012,0.15313427,0.8983533158898354,68.59891,0.15313427,11,0.0,2977,1508.6183621883392,23.254704,507.3101068122287,100.8
708777,0.004460585,0.17681801,0.8909624889492989,70.25127,0.17681801,9,0.0,2986,1515.1936876773834,23.253597,536.668720542347,106.125
711627,0.0040568155,0.14215946,0.8996120989322662,69.984985,0.14215946,9,0.0,2995,1521.8408279418945,23.253725,537.1362293044871,106.7
714657,0.003947286,0.14319798,0.8303839862346649,65.823135,0.14319798,10,0.0,3005,1528.5440530776978,23.251974,524.651448782443,104.425
717552,0.01413296,0.27453834,0.8587073385715485,65.81885,0.27453834,10,0.0,3015,1535.1691637039185,23.25173,531.4533277993156,105.5
720825,0.004609065,0.19340017,0.9062299355864525,64.486206,0.19340017,11,0.0,3026,1541.7438135147095,23.250164,507.0372353852757,100.4
724041,0.0041638426,0.16243961,0.8960096165537834,65.14048,0.16243961,11,0.0,3037,1548.3363072872162,23.248026,505.89937825323176,99.575
727362,0.0039430438,0.14582233,0.8771677240729332,68.16563,0.14582233,11,0.0,3048,1555.0352404117584,23.247639,504.580483282694,99.525
730560,0.003963395,0.15389651,0.9102213904261589,69.351364,0.15389651,11,0.0,3059,1561.9346265792847,23.24951,496.7938537349244,98.175
733599,0.0042544375,0.14009775,0.8824674636125565,65.77796,0.14009775,11,0.0,3070,1568.591564655304,23.25008,478.90096974513256,95.8
736797,0.0041458914,0.14779952,0.8587119430303574,67.236206,0.14779952,10,0.0,3080,1575.1772956848145,23.250486,490.4609629667875,98.15
739731,0.0042320397,0.16228104,0.8871406838297844,65.25613,0.16228104,10,0.0,3090,1581.6704065799713,23.250572,493.53196265655896,97.825
742602,0.014945887,0.2608316,0.8533689081668854,63.164173,0.2608316,10,0.0,3100,1588.3106639385223,23.255125,489.02370149527576,97.225
