EpRewMean,EpTrueRewMean,TimeElapsed,EpisodesSoFar,optimgain,entropy,TimestepsSoFar,entloss,ev_tdlam_before,EpThisIter,meankl,surrgain,EpLenMean
529.00916,2702.773301550995,1361.2734513282776,799,0.086224765,6.7523026,955281,0.0,0.21852797269821167,2,0.010871828,0.086224765,864.725
508.84106,2591.842186271891,1365.6511838436127,801,0.12077156,6.792111,957588,0.0,0.9291327223181725,2,0.013815458,0.12077156,833.95
508.1884,2582.9373576072076,1370.0924880504608,802,0.099824004,6.7364063,960342,0.0,0.7276346385478973,1,0.01059562,0.099824004,831.9
506.9007,2583.526006137581,1374.550018787384,803,0.07427486,6.7631397,963342,0.0,-0.1303197145462036,1,0.011109578,0.07427486,831.9
503.77863,2564.8339324015824,1378.9863028526306,804,0.0840316,6.748305,966342,0.0,0.03152668476104736,1,0.012459526,0.0840316,831.9
504.0751,2569.931830335977,1383.3506808280945,806,0.11781824,6.7140965,971076,0.0,0.9079788476228714,2,0.01108416,0.11781824,839.65
489.9668,2482.628719927891,1387.822282075882,808,0.110920444,6.698408,974112,0.0,0.8882296457886696,2,0.011852303,0.110920444,821.3
480.84808,2437.2975128772878,1392.2106931209564,810,0.084162995,6.7006836,978300,0.0,0.6257862746715546,2,0.010256745,0.084162995,807.825
460.3006,2320.2991299094538,1396.5867002010345,813,0.11913921,6.7462115,983232,0.0,0.3586345911026001,3,0.0102345515,0.11913921,773.925
463.99054,2328.2045008578198,1400.9896779060364,814,0.07919322,6.7573276,986232,0.0,-0.10020017623901367,1,0.010384844,0.07919322,776.55
442.3419,2199.820028042749,1405.3718476295471,816,0.09527035,6.7866073,987927,0.0,0.9033400937914848,2,0.011378013,0.09527035,740.675
434.799,2155.5128480599988,1409.7886888980865,818,0.09114068,6.7639303,992319,0.0,0.5764042735099792,2,0.010708928,0.09114068,727.275
436.33917,2167.8638780309693,1416.253555059433,819,0.07755877,6.7813096,995319,0.0,0.0356021523475647,1,0.009581609,0.07755877,731.825
436.62128,2163.678245096875,1423.0860409736633,820,0.08771705,6.79936,998319,0.0,-0.041886329650878906,1,0.012063839,0.08771705,731.825
429.74307,2140.2110858371743,1429.6076352596283,823,0.099381,6.8275766,1003665,0.0,0.8273439407348633,3,0.010708364,0.099381,720.775
