entropy,optimgain,TimestepsSoFar,EpThisIter,EpTrueRewMean,EpisodesSoFar,TimeElapsed,surrgain,entloss,EpLenMean,ev_tdlam_before,EpRewMean,meankl
8.029282,0.05713334,197271,2,638.7808012005044,389,392.57435178756714,0.05713334,0.0,439.1,0.728463351726532,638.7808012005044,0.0069936207
8.040832,0.085037634,200034,1,671.9106731993619,390,398.77520966529846,0.085037634,0.0,459.525,0.9347391203045845,671.9106731993619,0.0073553408
8.021119,0.059215233,203034,1,697.5258263916519,391,404.9590275287628,0.059215233,0.0,479.725,0.03701138496398926,697.5258263916519,0.0062713614
8.019413,0.08946879,205314,2,692.1083822897793,393,411.10407161712646,0.08946879,0.0,477.175,0.924633726477623,692.1083822897793,0.0070971893
8.008316,0.106667705,209646,3,716.6530132635196,396,417.2944030761719,0.106667705,0.0,489.725,0.9533353969454765,716.6530132635196,0.007360558
8.009274,0.07414314,212646,1,736.193213127482,397,423.50140929222107,0.07414314,0.0,508.225,-0.024654269218444824,736.193213127482,0.007599158
8.011963,0.09877576,216516,2,757.8811808386133,399,429.6672215461731,0.09877576,0.0,526.475,0.4449264407157898,757.8811808386133,0.0074231676
8.010181,0.11774856,220038,2,786.9783458788568,401,435.80979323387146,0.11774856,0.0,538.575,0.9379325099289417,786.9783458788568,0.0068793
8.01329,0.12770107,223305,2,815.0596919092886,403,442.0029036998749,0.12770107,0.0,553.45,0.9541149772703648,815.0596919092886,0.007414457
8.0099945,0.1584283,225918,1,838.3699025388778,404,448.1478831768036,0.1584283,0.0,565.75,0.8354179114103317,838.3699025388778,0.007082289
8.002183,0.0838812,228786,1,864.0758461462104,405,454.3323199748993,0.0838812,0.0,582.1,0.7581746429204941,864.0758461462104,0.007665246
7.990055,0.07536964,231786,1,887.4361985764729,406,460.47523069381714,0.07536964,0.0,601.825,0.5310319066047668,887.4361985764729,0.00822446
7.9799185,0.10748445,233682,1,906.1620623617058,407,466.6678955554962,0.10748445,0.0,610.875,0.8486439734697342,906.1620623617058,0.0071347766
