EpLenMean,TimestepsSoFar,EpThisIter,ev_tdlam_before,optimgain,EpisodesSoFar,TimeElapsed,meankl,entropy,surrgain,entloss,EpRewMean,EpTrueRewMean
87.75,312984,12,0.9220518097281456,0.22786759,1628,572.8334424495697,0.01281424,23.448711,0.22786759,0.0,436.4934301315403,436.4934301315403
86.475,316065,12,0.912233904004097,0.23605931,1640,578.4747226238251,0.012107894,23.446535,0.23605931,0.0,427.7472362903034,427.7472362903034
87.525,318939,10,0.8953354582190514,0.27423024,1650,584.0592136383057,0.011890711,23.443132,0.27423024,0.0,434.23354880364434,434.23354880364434
88.3,321831,11,0.8443466126918793,0.2708911,1661,589.7851984500885,0.012812768,23.442072,0.2708911,0.0,440.74630215231025,440.74630215231025
89.9,324888,12,0.8948591575026512,0.33120763,1673,595.384096622467,0.012728914,23.447758,0.33120763,0.0,446.9699556163214,446.9699556163214
86.25,327837,12,0.9004264399409294,0.25834528,1685,600.9921922683716,0.012619004,23.442202,0.25834528,0.0,429.25194488815487,429.25194488815487
81.4,330678,12,0.9119224026799202,0.25151008,1697,606.7521996498108,0.012601793,23.445475,0.25151008,0.0,405.2234333918808,405.2234333918808
83.275,333789,12,0.8909977301955223,0.4345978,1709,612.4379625320435,0.0116515495,23.442608,0.4345978,0.0,415.0893089463992,415.0893089463992
84.3,336903,12,0.9276687428355217,0.23871541,1721,618.1382846832275,0.011747094,23.43847,0.23871541,0.0,422.0472623090379,422.0472623090379
86.05,339573,10,0.8710998594760895,0.2748275,1731,623.9084007740021,0.013586457,23.441095,0.2748275,0.0,434.7300572569822,434.7300572569822
87.55,342696,12,0.8634684681892395,0.2803859,1743,629.5401980876923,0.012583677,23.435543,0.2803859,0.0,441.8463680282042,441.8463680282042
87.8,345747,12,0.9251838773488998,0.27042377,1755,635.1923546791077,0.012468473,23.436102,0.27042377,0.0,444.32338312110005,444.32338312110005
82.75,348693,13,0.9155725985765457,0.26222944,1768,640.7574200630188,0.013723636,23.435125,0.26222944,0.0,417.0741469731902,417.0741469731902
