TimeElapsed,surrgain,TimestepsSoFar,EpTrueRewMean,EpThisIter,EpRewMean,EpisodesSoFar,EpLenMean,entloss,meankl,entropy,optimgain,ev_tdlam_before
3180.492977619171,0.06170648,379251,1825.2194686286189,4,171.43173,358,523.95,0.0,0.010106697,2.4990213,0.06170648,0.9273847565054893
3204.9871969223022,0.051569153,382251,1836.0087407342442,1,172.75674,359,527.55,0.0,0.0103491,2.3609495,0.051569153,0.6220149993896484
3230.8078575134277,0.05854972,385584,1872.3652218352152,2,174.98325,361,537.475,0.0,0.009486115,2.27585,0.05854972,0.9320122078061104
3255.1717092990875,0.039465383,388584,1938.693401627288,1,181.15161,362,556.625,0.0,0.010207071,2.3207395,0.039465383,0.038995981216430664
3280.3705492019653,0.06495067,391584,2004.3499946911456,1,186.98282,363,575.175,0.0,0.0095483605,2.3327768,0.06495067,0.8164344131946564
3304.9260551929474,0.048782308,394584,2073.901010849598,1,192.71542,364,595.2,0.0,0.012043643,2.3970044,0.048782308,0.2573481798171997
3330.8646986484528,0.036876835,397584,2071.2394545859943,1,192.24478,365,595.2,0.0,0.009745558,2.34775,0.036876835,0.3015884757041931
3355.3919932842255,0.03899926,400584,2137.247941571458,1,197.72256,366,614.85,0.0,0.010864137,2.3519099,0.03899926,-0.002010941505432129
3380.909723520279,0.07672956,403524,2186.479509213101,1,202.01915,367,629.175,0.0,0.009326541,2.2811105,0.07672956,0.940614715218544
3405.621906518936,0.08737203,404229,2169.2698015846377,1,201.05917,368,624.4,0.0,0.0091629205,2.342552,0.08737203,0.9719396438449621
3431.3621456623077,0.045511417,408309,2228.661712185905,2,206.38327,370,642.275,0.0,0.010660748,2.3295462,0.045511417,0.6935106515884399
3456.0768642425537,0.045430366,411309,2299.903654131137,1,212.64494,371,662.925,0.0,0.009740488,2.3020973,0.045430366,0.05830651521682739
3481.441946029663,0.042347714,414309,2373.1754538750947,1,219.21758,372,684.2,0.0,0.0097307535,2.280813,0.042347714,-0.06315910816192627
3505.92804145813,0.038089767,417309,2372.821731224002,1,218.82312,373,684.2,0.0,0.008839683,2.2437515,0.038089767,0.06429415941238403
3531.5236356258392,0.039811004,420309,2373.2509680793687,1,218.31656,374,684.2,0.0,0.009072416,2.2892587,0.039811004,0.18103843927383423
3556.3784096240997,0.055814594,423876,2348.1321757637115,2,216.14163,376,677.275,0.0,0.008990891,2.30537,0.055814594,0.9216762185096741
3581.26798081398,0.060669266,426840,2238.082868578349,3,207.66216,379,645.65,0.0,0.010105233,2.3411968,0.060669266,0.8319858461618423
3606.5130763053894,0.06420131,429411,2251.524365428174,1,209.20776,380,649.425,0.0,0.009191833,2.3124723,0.06420131,0.9850734835490584
3631.192839384079,0.043426014,432411,2251.4056286157056,1,209.98648,381,649.425,0.0,0.009412201,2.2863567,0.043426014,0.06301373243331909
3657.372150659561,0.048407547,436284,2229.4825740033684,2,208.59839,383,643.475,0.0,0.011484172,2.2940333,0.048407547,0.9728631153702736
3681.322329044342,0.05843136,439284,2280.8559021416486,1,213.72148,384,657.425,0.0,0.010263283,2.2811804,0.05843136,0.003864109516143799
3706.6760227680206,0.045443255,443637,2297.3810790616367,2,214.89091,386,661.275,0.0,0.010585709,2.2345088,0.045443255,0.8873288556933403
3731.6703209877014,0.033900112,446637,2367.930926835776,1,220.5271,387,681.025,0.0,0.01005796,2.2657487,0.033900112,0.006105959415435791
3756.834995508194,0.04620085,449637,2384.5019315329328,1,220.82462,388,686.225,0.0,0.009965687,2.2962615,0.04620085,0.018249034881591797
3781.891219139099,0.047752693,451887,2371.682656771077,1,218.53604,389,682.775,0.0,0.009746819,2.263623,0.047752693,0.9400804825127125
3807.2477610111237,0.03982273,454887,2414.062480906495,1,221.35661,390,695.4,0.0,0.0114425225,2.2964926,0.03982273,0.029921352863311768
3831.8979601860046,0.037104964,457887,2434.1198190694076,1,222.42856,391,701.625,0.0,0.009652039,2.3671062,0.037104964,0.12400555610656738
3857.6043286323547,0.05127786,459996,2467.347640882023,1,224.97656,392,710.75,0.0,0.009590809,2.3682806,0.05127786,0.9248712435364723
3881.721554040909,0.041334003,462996,2529.2299794201886,1,230.02322,393,728.6,0.0,0.009115512,2.4262488,0.041334003,0.033100903034210205
3907.6026525497437,0.04335067,465996,2587.683182301774,1,234.77954,394,745.525,0.0,0.010328529,2.4427307,0.04335067,0.1063186526298523
3932.1125268936157,0.06540636,469833,2670.055572544391,2,242.05061,396,768.25,0.0,0.009943646,2.4768038,0.06540636,0.9426242262125015
3957.862118244171,0.05687602,471144,2694.0058691018567,1,244.40923,397,774.35,0.0,0.0090915095,2.4810238,0.05687602,0.984513227827847
3981.882975578308,0.056079023,473316,2640.422374237477,2,238.95415,399,758.875,0.0,0.01009198,2.4116745,0.056079023,0.9711859710514545
4007.643095254898,0.054792035,475815,2617.491630943857,2,236.82048,401,751.925,0.0,0.0099508,2.3643534,0.054792035,0.9638369716703892
4032.204806804657,0.05918555,477573,2582.9943754975116,1,232.78813,402,741.575,0.0,0.00964091,2.3384428,0.05918555,0.985100875608623
4057.8663511276245,0.056700405,478173,2513.001782585113,1,225.79704,403,721.575,0.0,0.010054139,2.3864574,0.056700405,0.9640036635100842
4082.0792655944824,0.051328488,484173,2517.8476308286145,2,225.74088,405,721.575,0.0,0.010291475,2.3368788,0.051328488,0.26332634687423706
4107.709579467773,0.031610228,487173,2520.850596047534,1,226.0448,406,721.575,0.0,0.00961484,2.3418977,0.031610228,0.0015734434127807617
4132.004054784775,0.03686616,490173,2522.5987449418462,1,225.85588,407,722.075,0.0,0.010221454,2.399759,0.03686616,-0.022696375846862793
4158.094888687134,0.045685533,493173,2590.1482315574563,1,231.15344,408,741.2,0.0,0.009510129,2.4617615,0.045685533,-0.07702052593231201
4182.157716035843,0.047856495,496173,2593.0902227721817,1,231.27237,409,741.2,0.0,0.010051759,2.4053743,0.047856495,-0.06864237785339355
4207.807510375977,0.05839803,497769,2609.883228479995,1,232.76653,410,745.5,0.0,0.008917848,2.427992,0.05839803,0.9669986888766289
4232.624241352081,0.04313869,500769,2612.728628716043,1,233.21841,411,745.5,0.0,0.010213297,2.4247227,0.04313869,0.03514218330383301
4257.736000061035,0.04583011,502692,2586.788924616954,1,230.82275,412,736.525,0.0,0.009312125,2.469636,0.04583011,0.9720572177320719
4282.25576543808,0.046963483,507933,2570.413635557813,2,229.3273,414,730.2,0.0,0.01002609,2.4812381,0.046963483,0.7226589620113373
4306.765897512436,0.056222707,509640,2568.780141881886,1,229.19498,415,729.05,0.0,0.01027217,2.418739,0.056222707,0.9512648582458496
4332.613812923431,0.053217422,512640,2605.655086672895,1,232.29861,416,739.7,0.0,0.010402359,2.4083538,0.053217422,0.7212471961975098
4356.638424873352,0.041666515,515640,2638.9435527982687,1,234.63684,417,749.275,0.0,0.010718854,2.4321804,0.041666515,-0.031145930290222168
4382.5393941402435,0.045736976,520152,2740.849106378562,2,242.93677,419,777.6,0.0,0.010400487,2.4666946,0.045736976,0.7184964716434479
4406.812300205231,0.05559232,523512,2677.662098946556,2,236.26718,421,759.175,0.0,0.010708829,2.3936055,0.05559232,0.979109151288867
4432.817160129547,0.051674798,525534,2655.9641337832895,1,234.1901,422,753.5,0.0,0.009789404,2.3521345,0.051674798,0.9932696265168488
4457.0003044605255,0.049821638,527895,2691.679927582925,1,237.24008,423,763.425,0.0,0.010807028,2.3094904,0.049821638,0.96834921464324
4482.701665401459,0.04901425,529602,2654.482511076309,1,233.94624,424,752.65,0.0,0.009656685,2.35085,0.04901425,0.9581417813897133
4506.954521656036,0.04867748,532602,2653.368463889476,1,233.38106,425,752.65,0.0,0.009853962,2.3265839,0.04867748,-0.07490146160125732
4532.9367253780365,0.05131428,535602,2702.151474921975,1,237.42053,426,766.375,0.0,0.011487657,2.3129761,0.05131428,0.48201239109039307
4557.113485097885,0.0441557,538602,2703.1005447423436,1,237.44736,427,766.375,0.0,0.009585345,2.2673674,0.0441557,0.42559897899627686
4582.328262805939,0.041981347,541602,2704.038536860406,1,237.52026,428,766.375,0.0,0.0109274825,2.2678282,0.041981347,0.028754055500030518
4606.68613409996,0.048967645,544602,2726.098252933267,1,239.38974,429,772.625,0.0,0.01028847,2.1965954,0.048967645,0.36742377281188965
4632.442492008209,0.055798095,547602,2727.5462436469143,1,239.45097,430,772.625,0.0,0.01007587,2.1838381,0.055798095,-0.05234813690185547
4657.358736753464,0.03575281,550602,2728.389344591512,1,239.49751,431,772.625,0.0,0.010068208,2.2271423,0.03575281,-0.1758129596710205
4682.290326356888,0.044211872,553602,2754.1292801127115,1,242.04362,432,780.05,0.0,0.0104061775,2.209823,0.044211872,0.01580601930618286
4707.183900117874,0.041155167,556602,2755.414082866475,1,242.18074,433,780.05,0.0,0.011457303,2.2537267,0.041155167,0.0043836236000061035
4732.9375693798065,0.040867463,559602,2756.713271638057,1,242.60886,434,780.05,0.0,0.010112224,2.2610579,0.040867463,0.10459661483764648
4757.554824352264,0.05195391,561867,2710.2196629331643,2,238.90288,436,766.95,0.0,0.010696129,2.2945545,0.05195391,0.9575456008315086
4782.782187461853,0.050066184,564717,2757.368108650227,1,242.80551,437,779.775,0.0,0.010609108,2.2607572,0.050066184,0.973101045936346
4807.323530912399,0.04698068,569649,2786.4957492526964,3,244.67134,440,788.4,0.0,0.009713837,2.3116887,0.04698068,0.7987359911203384
4832.856266975403,0.048224837,572649,2850.62887490937,1,249.75,441,806.95,0.0,0.011007136,2.260479,0.048224837,-0.09357905387878418
4857.545053958893,0.046729177,577542,2923.280378930724,2,255.73076,443,828.075,0.0,0.009024875,2.2278879,0.046729177,0.6739660203456879
4882.911230802536,0.05186697,580542,2921.5919031058265,1,255.14153,444,828.075,0.0,0.01068619,2.1936283,0.05186697,0.11375921964645386
4907.226986408234,0.03839297,583542,2921.396705838586,1,254.84204,445,828.075,0.0,0.0102494415,2.1854794,0.03839297,-0.04537653923034668
4932.8702573776245,0.054008674,586542,2921.9021110882413,1,254.4484,446,828.075,0.0,0.009964835,2.1333492,0.054008674,0.032487690448760986
