TimestepsSoFar,entropy,entloss,TimeElapsed,EpisodesSoFar,optimgain,EpThisIter,EpTrueRewMean,EpRewMean,meankl,surrgain,EpLenMean,ev_tdlam_before
931491,23.040041,0.0,1999.3113946914673,3724,0.15849498,9,537.5318533889055,69.97849,0.004009094,0.15849498,106.075,0.844970777630806
934629,23.041037,0.0,2006.0537414550781,3734,0.1602278,10,549.7016650880278,69.67264,0.0044112913,0.1602278,108.125,0.8562336564064026
937842,23.04085,0.0,2012.6063964366913,3743,0.1389485,9,565.2089835747365,70.9152,0.004062635,0.1389485,111.4,0.860407829284668
940977,23.040777,0.0,2019.233618736267,3753,0.15687332,10,559.7417880215664,70.445435,0.0042992365,0.15687332,109.75,0.8752578645944595
944064,23.041037,0.0,2025.8960251808167,3762,0.15207753,9,553.778393278914,70.13583,0.0037981872,0.15207753,110.175,0.8504994362592697
947328,23.040289,0.0,2032.5339481830597,3772,0.15915054,10,561.9640038834714,72.176315,0.0046248003,0.15915054,111.175,0.8708669096231461
950505,23.041338,0.0,2039.3428540229797,3782,0.14721417,10,543.9392364227324,70.08159,0.0041725505,0.14721417,107.25,0.8942451849579811
953922,23.035624,0.0,2045.9172286987305,3793,0.14488974,11,540.2012447839318,71.10691,0.0040085404,0.14488974,107.875,0.873992919921875
956997,23.035883,0.0,2052.6501908302307,3802,0.15152872,9,539.3405452863229,70.494286,0.004221591,0.15152872,107.775,0.8958733379840851
960213,23.03491,0.0,2059.410327911377,3812,0.14492139,10,532.5046332495069,69.6057,0.0043411143,0.14492139,107.375,0.8278485983610153
963219,23.0342,0.0,2066.0727417469025,3821,0.15197793,9,534.2056107830089,71.89185,0.0037983698,0.15197793,108.25,0.8585032820701599
966096,23.035463,0.0,2072.729115486145,3829,0.16759217,8,556.1953472207805,73.762184,0.0044304496,0.16759217,112.2,0.7882652431726456
969246,23.031244,0.0,2079.4520478248596,3838,0.36728376,9,558.1549918523104,71.92787,0.014575091,0.36728376,112.975,0.8000280410051346
972477,23.032492,0.0,2086.0583214759827,3849,0.15629375,11,541.6111735228969,68.59839,0.0041974992,0.15629375,109.725,0.8246414065361023
975669,23.034174,0.0,2092.6895945072174,3857,0.15913752,8,563.0536373401196,70.74948,0.0042344145,0.15913752,114.225,0.8179025501012802
978717,23.031578,0.0,2099.3773477077484,3867,0.15941827,10,548.9550095368784,68.21103,0.0044228733,0.15941827,110.95,0.8595825731754303
981966,23.03084,0.0,2105.9792807102203,3877,0.142963,10,546.3901418437167,70.79458,0.0041547217,0.142963,108.45,0.8646388798952103
985158,23.031172,0.0,2112.7467410564423,3885,0.15796292,8,581.8556555767689,76.18367,0.004650634,0.15796292,115.375,0.843481719493866
987810,23.031229,0.0,2119.35223031044,3893,0.15422657,8,586.1575822203267,78.93493,0.0043966193,0.15422657,115.3,0.8273817747831345
990888,23.042072,0.0,2126.0586035251617,3902,0.16093874,9,586.018316677141,78.01216,0.005005877,0.16093874,115.45,0.877998448908329
994038,23.042704,0.0,2132.725414991379,3913,0.16709042,11,565.9930149493975,74.13522,0.0046415767,0.16709042,112.05,0.8802025690674782
996936,23.042498,0.0,2139.3790793418884,3922,0.15777037,9,535.9637559554866,69.6888,0.0040475987,0.15777037,104.8,0.8271539807319641
1000260,23.040525,0.0,2145.799868822098,3933,0.16255379,11,529.193474775963,65.27877,0.0046217917,0.16255379,103.75,0.8431328982114792
