EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,optimgain,EpLenMean,entloss,TimeElapsed,entropy,EpThisIter,TimestepsSoFar,EpRewMean,surrgain,meankl
515,1359.7097968236546,-0.12630724906921387,0.09090729,459.125,0.0,1046.5972409248352,7.247694,1,511794,506.8836,0.09090729,0.008378424
517,1342.768470591429,0.9166941493749619,0.09800717,455.5,0.0,1052.9303178787231,7.266908,2,515310,500.16348,0.09800717,0.009144757
518,1382.9725303685434,0.8092136681079865,0.10839012,468.55,0.0,1059.2112982273102,7.2504888,1,517998,513.317,0.10839012,0.008837478
520,1385.7452001947725,0.4847772717475891,0.10201967,467.25,0.0,1065.5624001026154,7.2432895,2,521202,509.78925,0.10201967,0.009418585
521,1459.9134784097218,-0.027550101280212402,0.0877735,489.325,0.0,1071.9611222743988,7.2413363,1,524202,531.92645,0.0877735,0.0100159515
524,1378.5279845645491,0.8176628798246384,0.11584048,467.175,0.0,1078.331035375595,7.267504,3,526593,505.25153,0.11584048,0.008814539
525,1361.5803341825247,0.42075514793395996,0.10406505,462.825,0.0,1084.6836953163147,7.248918,1,527169,499.75455,0.10406505,0.00846174
528,1315.2778522661515,0.8522507399320602,0.11816546,448.125,0.0,1091.1501874923706,7.2481246,3,529464,484.02264,0.11816546,0.008704209
532,1157.7269947671016,0.8060680031776428,0.1420584,409.975,0.0,1097.4959292411804,7.265075,4,532536,435.5201,0.1420584,0.010249246
536,1111.9313608268408,0.9026749730110168,0.10442661,397.725,0.0,1103.8754177093506,7.2340655,4,536004,421.87964,0.10442661,0.0090530235
539,1166.2425035781348,0.787996381521225,0.10453087,408.05,0.0,1110.2461469173431,7.237963,3,539274,436.6665,0.10453087,0.008921441
541,1218.392740614194,0.5738111734390259,0.09153431,422.025,0.0,1116.567816734314,7.247375,2,542811,451.54376,0.09153431,0.008712664
542,1257.0093906665807,0.8910794630646706,0.097474545,432.9,0.0,1122.9133994579315,7.233277,1,544827,464.5735,0.097474545,0.008551296
543,1283.9415181575314,0.037841081619262695,0.08162101,438.575,0.0,1129.2968068122864,7.2318854,1,547827,470.82465,0.08162101,0.008096619
545,1246.1802015627825,0.7712374925613403,0.13008764,426.4,0.0,1135.7328231334686,7.2668324,2,549993,457.76105,0.13008764,0.01071121
546,1304.5689648458556,0.04796534776687622,0.078733474,441.55,0.0,1142.109325170517,7.2533603,1,552993,474.4494,0.078733474,0.009190824
