ev_tdlam_before,TimeElapsed,TimestepsSoFar,entropy,entloss,EpTrueRewMean,EpLenMean,optimgain,meankl,EpisodesSoFar,EpThisIter,surrgain,EpRewMean
0.7153815925121307,6160.314780950546,723867,7.028767,0.0,2593.7713432814826,782.425,0.09902999,0.0101412805,732,2,0.09902999,208.70268
0.9123627543449402,6186.7017686367035,728391,7.0608606,0.0,2468.9448227015296,752.1,0.109517045,0.009872258,735,3,0.109517045,199.6363
0.9180243462324142,6211.804044723511,730833,7.049529,0.0,2445.5771718051938,747.45,0.113954514,0.010174782,736,1,0.113954514,198.46056
0.6899034082889557,6238.066954135895,733617,7.043458,0.0,2429.225402767607,745.65,0.13675468,0.014219953,737,1,0.13675468,197.76222
0.5162558555603027,6262.1693596839905,737640,7.0468435,0.0,2407.6771014117767,744.0,0.08882414,0.010981066,739,2,0.08882414,197.05255
0.8289471119642258,6288.428518295288,742866,7.024773,0.0,2330.468714431051,727.925,0.09666492,0.009733884,743,4,0.09666492,191.33249
0.9374497383832932,6313.353846311569,744099,7.029198,0.0,2257.325881833234,707.25,0.2022529,0.010829045,745,2,0.2022529,185.3906
-0.08965170383453369,6339.530107021332,747099,7.024476,0.0,2260.3619700612717,707.25,0.089739814,0.011381307,746,1,0.089739814,185.29153
0.5690904259681702,6363.895885229111,750888,7.0435677,0.0,2207.0575002996197,692.875,0.08818274,0.009573299,748,2,0.08818274,182.43448
0.8842038810253143,6390.018429756165,753792,7.053231,0.0,2108.4973552355123,670.125,0.10711812,0.010153772,750,2,0.10711812,175.74017
0.6804351508617401,6414.7600729465485,758214,7.042641,0.0,2176.696438602791,688.325,0.085732475,0.0104930075,752,2,0.085732475,180.15842
0.4435496926307678,6441.203292131424,761214,7.0344815,0.0,2251.3235010513226,709.275,0.08523364,0.009715904,753,1,0.08523364,185.588
0.7946452051401138,6465.195666313171,761694,7.0443583,0.0,2207.412512463196,697.5,0.101338305,0.009810558,754,1,0.101338305,182.15869
0.6149912178516388,6491.577963352203,765504,6.9977694,0.0,2148.9341386638066,686.5,0.100255296,0.010152216,756,2,0.100255296,177.87737
0.07688182592391968,6516.792597293854,768504,7.0105634,0.0,2143.2019581676896,686.5,0.079639,0.009517835,757,1,0.079639,177.82092
0.6497669219970703,6542.880959033966,772653,6.986993,0.0,2100.3970114932695,671.075,0.09436211,0.009881026,759,2,0.09436211,173.71233
0.8622600585222244,6567.263938903809,775356,6.9810953,0.0,2002.6513658796437,644.775,0.17315875,0.01097787,761,2,0.17315875,167.0244
0.697469174861908,6592.7398002147675,779448,7.0135646,0.0,1927.974906048413,630.375,0.124954864,0.010886535,764,3,0.124954864,162.1904
0.6207371056079865,6617.619742393494,783861,7.0167813,0.0,1932.9185197655534,631.1,0.077833414,0.009466807,766,2,0.077833414,161.64937
0.00046509504318237305,6643.918038606644,786861,6.9988475,0.0,1920.234439790481,632.225,0.077862546,0.010708791,767,1,0.077862546,160.98271
