EpThisIter,EpLenMean,EpTrueRewMean,surrgain,TimestepsSoFar,EpRewMean,ev_tdlam_before,entropy,EpisodesSoFar,entloss,optimgain,TimeElapsed,meankl
1,838.6,935.8993956485123,0.04642568,129756,288.28018,-0.0812309980392456,4.212282,137,0.0,0.04642568,188.68553805351257,0.006005097
2,843.2,932.3061366511392,0.056091294,132261,285.10654,0.8110466599464417,4.239962,139,0.0,0.056091294,192.89431881904602,0.0073674587
1,860.6,947.4893430491877,0.042313226,135261,288.0117,-0.16278302669525146,4.2169785,140,0.0,0.042313226,197.16284441947937,0.007155602
2,873.775,954.0934745255818,0.052123513,139134,286.27246,-0.019008159637451172,4.242242,142,0.0,0.052123513,201.379408121109,0.006649576
1,873.775,956.4495244356971,0.042379215,142134,281.8653,-0.07400500774383545,4.2471085,143,0.0,0.042379215,205.63919806480408,0.0065598683
2,886.425,973.3420563072821,0.046471138,147339,280.89178,0.5780313611030579,4.239341,145,0.0,0.046471138,209.91955733299255,0.007846362
1,878.825,967.5345639317995,0.05936098,149427,275.54083,0.6911646127700806,4.246189,146,0.0,0.05936098,214.19792199134827,0.0070642526
1,878.825,971.4965253516499,0.05395385,152427,273.14316,-0.10181009769439697,4.243645,147,0.0,0.05395385,218.4737069606781,0.007161678
1,857.775,949.6986275600127,0.06781667,152901,264.80954,0.5557160377502441,4.241433,148,0.0,0.06781667,222.76511144638062,0.007446776
1,870.95,965.7253004215569,0.03617707,155901,267.57028,-0.10058414936065674,4.221565,149,0.0,0.03617707,227.0326371192932,0.007939397
1,892.7,992.7159019014983,0.037610635,158901,273.60938,-0.10108661651611328,4.248841,150,0.0,0.037610635,231.25547003746033,0.0067761075
1,875.475,976.0346375863434,0.068051554,159834,271.08234,-0.044732093811035156,4.2400513,151,0.0,0.068051554,235.4820122718811,0.006969982
4,832.2,939.7199448602196,0.06385733,164145,266.52182,0.5475739538669586,4.252474,155,0.0,0.06385733,239.69797134399414,0.0084075015
4,753.45,868.0627773947956,0.06539066,166695,251.38359,0.4416537284851074,4.2508264,159,0.0,0.06539066,243.97665548324585,0.007617507
