entropy,optimgain,EpThisIter,EpRewMean,EpLenMean,TimestepsSoFar,EpTrueRewMean,ev_tdlam_before,meankl,surrgain,entloss,TimeElapsed,EpisodesSoFar
6.3922114,0.22838083,1,409.05222,612.875,936591,1806.9148548984074,0.6852633655071259,0.011479335,0.22838083,0.0,1359.9291608333588,959
6.39856,0.14195067,1,417.68457,625.85,939591,1844.4371092597648,-0.13490784168243408,0.012108734,0.14195067,0.0,1364.3107199668884,960
6.3851366,0.11515302,3,404.22354,610.45,943383,1779.0526516387745,0.8632321655750275,0.011481438,0.11515302,0.0,1368.7309837341309,963
6.3656187,0.1087729,1,404.43207,610.45,946383,1780.961235289297,-0.046295166015625,0.010691334,0.1087729,0.0,1373.1580493450165,964
6.341168,0.12694441,2,409.31195,620.8,949944,1798.766368110973,0.8712530881166458,0.010898945,0.12694441,0.0,1377.5910818576813,966
6.3486376,0.14099997,1,410.83398,620.725,951984,1799.694990777663,0.828156366944313,0.010926581,0.14099997,0.0,1382.0763075351715,967
6.3764,0.12008576,2,407.84818,616.425,955305,1776.6537138540625,0.8473944962024689,0.010627493,0.12008576,0.0,1386.507835149765,969
6.366074,0.10246459,2,417.904,628.7,959328,1813.0251177962793,0.6332110166549683,0.010518465,0.10246459,0.0,1390.9491333961487,971
6.3540797,0.10929769,1,432.9978,651.225,962328,1883.3437287510646,0.3537152409553528,0.011274707,0.10929769,0.0,1395.395780324936,972
6.3264017,0.12265645,1,436.0585,657.35,964176,1901.0401633828583,0.8751460462808609,0.010061076,0.12265645,0.0,1399.780100107193,973
6.330445,0.30819163,1,442.9217,663.65,966327,1939.5307775009762,0.8017930388450623,0.011745398,0.30819163,0.0,1404.2075998783112,974
6.3219595,0.12414914,2,447.07294,664.975,969666,1955.0060140963292,0.9321050271391869,0.010511554,0.12414914,0.0,1408.56334233284,976
6.3044853,0.119154215,2,445.60205,660.225,972231,1939.6383283615967,0.8620552867650986,0.011731647,0.119154215,0.0,1414.3005032539368,978
6.3175054,0.11680927,2,427.0838,631.0,974724,1858.3727044251486,0.8846224769949913,0.010459123,0.11680927,0.0,1421.0539720058441,980
6.363163,0.1338894,1,435.07867,640.65,977094,1897.655332687129,0.6954024434089661,0.01010843,0.1338894,0.0,1427.6777663230896,981
6.364093,0.12442268,2,436.8043,643.075,981840,1919.6111275837927,0.8075929284095764,0.011570834,0.12442268,0.0,1434.2533218860626,983
6.3255615,0.14812076,1,428.74518,635.1,982881,1885.793721214876,0.8380924016237259,0.009994551,0.14812076,0.0,1440.8775057792664,984
6.3275185,0.11141595,1,438.1342,648.7,985881,1933.1274436609033,0.42086291313171387,0.011234359,0.11141595,0.0,1447.546781539917,985
6.2942915,0.11536111,2,429.1185,633.25,988869,1898.2845182838798,0.8709839582443237,0.011775941,0.11536111,0.0,1454.1690735816956,987
6.267414,0.19595793,2,418.60205,617.625,992871,1863.6939371655342,0.805182471871376,0.01181881,0.19595793,0.0,1460.6286976337433,989
6.237911,0.116972536,2,412.57916,609.625,995361,1841.4267778575552,0.8569286614656448,0.010914801,0.116972536,0.0,1466.5313050746918,991
6.215759,0.14742708,1,411.69458,609.275,997557,1841.8734365059238,0.8654184937477112,0.012568199,0.14742708,0.0,1472.4700117111206,992
6.2178993,0.12175795,1,417.68814,616.975,1000557,1872.6490093868804,0.1927747130393982,0.010953735,0.12175795,0.0,1477.767704963684,993
