surrgain,entloss,EpThisIter,entropy,EpRewMean,TimeElapsed,TimestepsSoFar,optimgain,EpLenMean,EpTrueRewMean,ev_tdlam_before,meankl,EpisodesSoFar
0.22562543,0.0,10,23.413267,411.0720556125375,435.13280868530273,241395,0.22562543,83.875,411.0720556125375,0.876386433839798,0.011315232,1373
0.23205772,0.0,14,23.428705,392.98967543723745,440.855432510376,244509,0.23205772,80.725,392.98967543723745,0.8577925115823746,0.011179196,1387
0.23337413,0.0,13,23.422768,403.5352795938827,446.5711452960968,247395,0.23337413,82.025,403.5352795938827,0.9333465695381165,0.010752116,1400
0.23786055,0.0,14,23.414877,368.1743357334552,452.41053318977356,250557,0.23786055,74.4,368.1743357334552,0.9132988899946213,0.011374731,1414
0.22690552,0.0,13,23.429203,376.8790291672435,458.2367830276489,253668,0.22690552,76.325,376.8790291672435,0.9021244943141937,0.012353224,1427
0.24765879,0.0,12,23.442461,376.77764911871253,464.03878378868103,256383,0.24765879,77.025,376.77764911871253,0.8701247423887253,0.011416131,1439
0.24704991,0.0,12,23.456318,385.7693116216015,469.79807901382446,259365,0.24704991,79.35,385.7693116216015,0.9142578095197678,0.011507345,1451
0.935466,0.0,12,23.436768,387.030070582345,475.63055181503296,262335,0.935466,79.725,387.030070582345,0.8832506388425827,0.012662506,1463
0.31667787,0.0,12,23.42977,388.62090216238437,481.3804202079773,265149,0.31667787,79.55,388.62090216238437,0.8883543908596039,0.010866474,1475
0.27257714,0.0,11,23.4195,399.20650926868336,487.19477248191833,267981,0.27257714,82.35,399.20650926868336,0.8388958126306534,0.010607813,1486
0.26714942,0.0,12,23.423826,401.1199867337442,492.980318069458,270963,0.26714942,82.675,401.1199867337442,0.9229591563344002,0.011425827,1498
0.24356338,0.0,12,23.427977,407.8193587092075,498.67446851730347,273918,0.24356338,82.95,407.8193587092075,0.9334208816289902,0.011392685,1510
0.2641449,0.0,11,23.429523,418.394200724604,504.4093770980835,276693,0.2641449,84.85,418.394200724604,0.8672708868980408,0.013092703,1521
0.25645697,0.0,13,23.429682,400.7982055606714,510.1834909915924,279600,0.25645697,80.0,400.7982055606714,0.8890464454889297,0.012258954,1534
0.29260117,0.0,13,23.43384,393.2243936208415,515.9310405254364,282543,0.29260117,78.325,393.2243936208415,0.9233036711812019,0.012111919,1547
0.25178593,0.0,12,23.41097,389.9253065495682,521.6398751735687,285582,0.25178593,77.325,389.9253065495682,0.9216544106602669,0.012587616,1559
0.26680487,0.0,11,23.408758,414.04995147318493,527.3759987354279,288636,0.26680487,83.175,414.04995147318493,0.8711713254451752,0.011063874,1570
0.21942283,0.0,12,23.417398,432.270169582575,533.1387560367584,291813,0.21942283,88.05,432.270169582575,0.9272845014929771,0.011495642,1582
0.31662387,0.0,13,23.395258,421.0852594807593,539.0839142799377,294888,0.31662387,86.2,421.0852594807593,0.922365315258503,0.0126262605,1595
0.30083224,0.0,11,23.391294,413.23298783479487,544.7306923866272,297900,0.30083224,84.475,413.23298783479487,0.8497102111577988,0.014357338,1606
0.2891291,0.0,12,23.405684,415.3812741069414,550.5149412155151,300849,0.2891291,84.725,415.3812741069414,0.917306937277317,0.011274481,1618
0.23311049,0.0,13,23.408037,401.794174729641,556.2426018714905,303795,0.23311049,82.525,401.794174729641,0.906828798353672,0.012005239,1631
