EpisodesSoFar,optimgain,EpThisIter,TimestepsSoFar,EpRewMean,entropy,ev_tdlam_before,EpLenMean,surrgain,TimeElapsed,meankl,EpTrueRewMean,entloss
1981,0.066706985,2,986138,321.99786,5.9322515,0.6790616512298584,779.7,0.066706985,4130.078124761581,0.0042984015,2552.9879401328353,0.0
1982,0.10367997,1,986944,326.3139,5.9373574,0.8702166676521301,789.825,0.10367997,4134.470094203949,0.011330833,2584.4090960718117,0.0
1984,0.101146996,2,988622,328.33432,5.9232993,0.8737961202859879,809.35,0.101146996,4138.899701595306,0.012106978,2613.7428815568064,0.0
1985,0.13083258,1,989540,330.12,5.908874,0.8529723733663559,814.0,0.13083258,4143.318090677261,0.014851222,2632.301697565798,0.0
1987,0.103595816,2,991150,335.18182,5.905254,0.7383391559123993,820.975,0.103595816,4147.777055501938,0.0136218555,2648.224046423044,0.0
1988,0.064809896,1,992150,336.8841,5.908859,0.10700416564941406,820.975,0.064809896,4152.203732967377,0.0040432173,2652.2705108083155,0.0
1990,0.16460483,2,993196,331.11078,5.9202285,0.926520049571991,797.125,0.16460483,4156.671194076538,0.014698158,2561.365117755796,0.0
1993,0.07237648,3,994304,319.9677,5.9358106,0.8828300163149834,765.9,0.07237648,4161.1309287548065,0.0038033512,2451.2117218476515,0.0
1995,0.109863535,2,995895,330.36768,5.930969,0.4582992196083069,783.725,0.109863535,4165.610043764114,0.012077652,2509.0632591884428,0.0
1996,0.06427943,1,996895,330.79144,5.961421,0.19465184211730957,783.725,0.06427943,4170.055690526962,0.0039583007,2507.1017620984176,0.0
1997,0.11599472,1,997895,332.98932,5.9947524,0.03714984655380249,790.75,0.11599472,4174.490494251251,0.014197063,2526.2956245114265,0.0
1999,0.07524343,2,999140,329.22284,6.018742,0.8296712040901184,781.05,0.07524343,4178.899979352951,0.004168913,2496.823827005845,0.0
2001,0.12043466,2,1000408,322.29266,5.997417,0.9159656763076782,769.025,0.12043466,4183.366383552551,0.01396874,2444.8985825117925,0.0
