EpRewMean,EpisodesSoFar,entloss,entropy,EpTrueRewMean,surrgain,TimestepsSoFar,EpLenMean,ev_tdlam_before,EpThisIter,TimeElapsed,optimgain,meankl
132.81693,640,0.0,7.014739,1204.9364668645662,0.12876259,472440,433.4,0.8090540021657944,2,3886.2969622612,0.12876259,0.009744434
133.50082,642,0.0,7.0165033,1216.8493761320756,0.1170609,474630,429.35,0.9192394390702248,2,3910.9047133922577,0.1170609,0.009724827
138.6472,644,0.0,7.010655,1268.3629747533303,0.10820214,477762,442.325,0.957543782889843,2,3937.3479516506195,0.10820214,0.00953937
138.01823,647,0.0,6.9910016,1282.522310805495,0.10865288,482298,439.5,0.8983958512544632,3,3961.922863006592,0.10865288,0.010203122
136.9978,649,0.0,6.9554324,1279.0595059707473,0.105146304,484941,434.975,0.9579006135463715,2,3988.0153107643127,0.105146304,0.009334394
140.51227,652,0.0,6.9409213,1327.7657678443525,0.11962151,489210,444.675,0.9674185216426849,3,4012.286735057831,0.11962151,0.009850352
144.51163,653,0.0,6.915412,1373.8628115954616,0.11274794,491085,456.3,0.904694989323616,1,4038.4310142993927,0.11274794,0.009747452
136.74695,656,0.0,6.8770413,1320.7401741684166,0.11733922,494184,440.425,0.8990595862269402,3,4063.4698238372803,0.11733922,0.009314567
139.14493,657,0.0,6.868812,1345.4188926427448,0.12928557,497034,453.525,0.9214664101600647,1,4089.7364377975464,0.12928557,0.009742078
140.4869,659,0.0,6.85484,1355.7500351984047,0.13538644,499626,458.15,0.8996453434228897,2,4113.768486022949,0.13538644,0.009853979
141.28348,662,0.0,6.847057,1365.2110746795079,0.121837415,502884,462.2,0.9218811392784119,3,4140.051058769226,0.121837415,0.009946243
137.3335,664,0.0,6.82996,1329.8219384811732,0.09868385,505668,452.475,0.8926357626914978,2,4164.509558200836,0.09868385,0.010395969
135.90271,666,0.0,6.835101,1320.1226666529303,0.15675434,508431,443.425,0.8512348085641861,2,4190.771326541901,0.15675434,0.010395863
135.29033,669,0.0,6.834163,1314.1485463749027,0.10859781,511650,436.875,0.942025076597929,3,4214.806255340576,0.10859781,0.0098000355
135.84933,671,0.0,6.855266,1314.1225087605958,0.10342022,514947,442.125,0.5612775385379791,2,4240.831142902374,0.10342022,0.010174869
140.15321,673,0.0,6.8691134,1364.44022312501,0.116126664,519156,454.4,0.9188895374536514,2,4265.565475702286,0.116126664,0.009821776
144.22757,675,0.0,6.857629,1402.1708272795645,0.14136647,523236,467.3,0.9642787575721741,2,4291.842537879944,0.14136647,0.010601088
147.28915,676,0.0,6.8587956,1425.6244268772657,0.10252179,526236,481.225,0.16107487678527832,1,4315.5779049396515,0.10252179,0.010296101
153.30559,678,0.0,6.8313327,1486.8425937921136,0.1044921,530106,496.375,0.8558572828769684,2,4341.616909265518,0.1044921,0.010489393
152.18814,681,0.0,6.8325624,1481.7603566910398,0.10975768,533070,497.475,0.8607575446367264,3,4366.385899305344,0.10975768,0.010801185
157.06165,683,0.0,6.838341,1529.248974309506,0.10402966,536829,509.55,0.6740286648273468,2,4392.182577610016,0.10402966,0.010506518
151.39719,686,0.0,6.8285713,1473.8943316548061,0.10071868,540573,495.45,0.8688450455665588,3,4416.226795196533,0.10071868,0.009589009
154.06253,688,0.0,6.815376,1497.7638627596002,0.10902351,543603,503.2,0.9355644583702087,2,4442.068539619446,0.10902351,0.00922146
149.8732,692,0.0,6.8241534,1450.6790002414607,0.11726698,547752,487.85,0.9418511912226677,4,4466.949977636337,0.11726698,0.012584209
152.77303,695,0.0,6.816593,1476.575395130109,0.10000305,552075,495.375,0.884815163910389,3,4492.854020357132,0.10000305,0.010111831
151.4152,698,0.0,6.829209,1477.499564331404,0.14170182,556992,486.075,0.9352898225188255,3,4517.13120174408,0.14170182,0.01130922
