TimestepsSoFar,entloss,meankl,EpRewMean,EpisodesSoFar,ev_tdlam_before,optimgain,TimeElapsed,entropy,surrgain,EpTrueRewMean,EpThisIter,EpLenMean
794898,0.0,0.014293908,111.30693,3209,0.8577577471733093,0.28171724,1477.9492726325989,23.288816,0.28171724,565.8231074101868,9,112.125
797847,0.0,0.004321749,112.294945,3218,0.8667342513799667,0.16144252,1483.5467586517334,23.28937,0.16144252,569.3629053809677,9,113.525
800793,0.0,0.0038722276,112.96947,3227,0.8921262696385384,0.14617917,1489.2278490066528,23.288267,0.14617917,581.271834215105,9,114.975
803865,0.0,0.003914889,110.2277,3237,0.9248988404870033,0.1511172,1494.8647465705872,23.288656,0.1511172,565.2691613674057,10,112.575
806802,0.0,0.004038373,113.568405,3244,0.8772409483790398,0.16378827,1500.473816394806,23.289873,0.16378827,592.4685381948991,7,116.15
809847,0.0,0.0044493326,111.9162,3253,0.8815747797489166,0.14994687,1506.0969231128693,23.289797,0.14994687,581.1365849757464,9,113.7
812844,0.0,0.0040658843,113.13167,3261,0.8850539326667786,0.16233614,1511.7353684902191,23.289324,0.16233614,595.1359842362042,8,115.95
815928,0.0,0.0038435408,116.250145,3270,0.8986432105302811,0.14159177,1517.3849442005157,23.285711,0.14159177,606.7247986085824,9,118.35
819141,0.0,0.00416861,115.25832,3280,0.8897237181663513,0.19011347,1523.0522620677948,23.284906,0.19011347,600.6388012580119,10,116.55
822312,0.0,0.0040552462,110.48518,3290,0.8815573900938034,0.14271036,1528.6990928649902,23.283869,0.14271036,568.1515691422651,10,112.1
825450,0.0,0.004161258,105.638466,3300,0.8884378969669342,0.14044079,1534.305585861206,23.281492,0.14044079,540.0730300014195,10,107.2
828663,0.0,0.0039666966,106.91018,3309,0.9208026081323624,0.15598476,1539.8829944133759,23.279802,0.15598476,550.1006460055868,9,108.975
831777,0.0,0.004085377,109.04653,3318,0.9030753076076508,0.1509007,1545.5049097537994,23.281256,0.1509007,556.7823249929099,9,110.6
834867,0.0,0.0045208894,110.91206,3327,0.8820929527282715,0.16659272,1551.090660572052,23.279276,0.16659272,571.906959695666,9,112.7
