surrgain,entropy,EpThisIter,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,EpLenMean,TimestepsSoFar,TimeElapsed,entloss,optimgain,meankl,EpRewMean
0.038598318,1.3618829,1,500,2661.2653291749893,-0.0518871545791626,733.725,779232,1058.461030960083,0.0,0.038598318,0.01070389,625.4393
0.03410319,1.3344368,1,501,2660.9515086630568,0.058067381381988525,733.725,782232,1062.7026734352112,0.0,0.03410319,0.011861529,625.5267
0.03721987,1.285227,3,504,2571.3760084007763,0.8145845383405685,709.55,787743,1066.884268283844,0.0,0.03721987,0.009797382,605.4271
0.060209624,1.2773758,1,505,2542.699678606395,0.9824554622173309,702.275,789105,1071.1251571178436,0.0,0.060209624,0.01058301,599.11633
0.056605615,1.2993927,1,506,2538.3773550425008,0.9735641852021217,701.9,791304,1075.332709312439,0.0,0.056605615,0.010568906,597.512
0.038470637,1.3418981,1,507,2535.989816312818,0.0020380020141601562,701.9,794304,1079.5145137310028,0.0,0.038470637,0.009558576,596.80585
0.035368606,1.3120836,1,508,2535.6114457425306,0.03218483924865723,701.9,797304,1083.746116399765,0.0,0.035368606,0.0097741,596.42267
0.055541337,1.2645476,1,509,2582.984077485332,0.9801405649632215,715.1,799791,1087.9749066829681,0.0,0.055541337,0.010325104,606.0191
0.026821064,1.3114002,1,510,2584.1273302684303,0.02337402105331421,715.1,802791,1092.222332239151,0.0,0.026821064,0.010727188,606.0931
0.042526647,1.3043656,1,511,2650.015885399175,0.9754323791712523,732.925,805683,1096.493329524994,0.0,0.042526647,0.009497233,619.8501
0.053551484,1.3352555,1,512,2611.0492448888263,0.9843622483313084,721.425,807303,1100.8104870319366,0.0,0.053551484,0.0102822585,611.5994
0.03935206,1.3122605,1,513,2649.4016083296574,0.024761974811553955,732.275,810303,1105.2026772499084,0.0,0.03935206,0.009891305,618.4744
0.058058724,1.3327277,2,515,2544.611424443814,0.9851159285753965,702.825,812769,1109.4887356758118,0.0,0.058058724,0.009906452,597.10767
0.058333084,1.2811573,2,517,2474.8356364598644,0.988273935392499,683.45,815613,1113.8094058036804,0.0,0.058333084,0.011359324,582.4338
0.049396213,1.2225186,1,518,2525.5683225749226,0.9903513602912426,696.4,817818,1118.1290574073792,0.0,0.049396213,0.012624073,593.1506
0.035536245,1.221461,1,519,2543.955383707754,-0.04102528095245361,702.65,820818,1122.4211509227753,0.0,0.035536245,0.011538145,595.98047
0.048549324,1.2506698,1,520,2545.89534181778,0.7236025035381317,702.65,823818,1126.7131175994873,0.0,0.048549324,0.01089911,596.13104
0.023459647,1.2823899,1,521,2502.1909468141394,0.04411560297012329,695.275,824511,1130.9831969738007,0.0,0.023459647,0.010341523,588.0129
0.051838625,1.258423,3,524,2457.8079591295764,0.9783416446298361,681.125,829536,1135.2968740463257,0.0,0.051838625,0.010736207,578.2821
0.061511688,1.2498157,1,525,2442.3761623070036,0.9901256579905748,677.125,830718,1139.5365192890167,0.0,0.061511688,0.01025507,574.56024
0.033020936,1.2558945,1,526,2443.7566785068275,0.44765329360961914,677.125,833718,1143.8366332054138,0.0,0.033020936,0.010442147,574.74866
0.054831345,1.2822158,2,528,2354.797919497525,0.9879673244431615,653.475,835746,1148.1425518989563,0.0,0.054831345,0.0105419075,555.10724
0.048126835,1.2601225,2,530,2327.635409500345,0.8876383304595947,645.925,838731,1152.478243112564,0.0,0.048126835,0.010814548,548.5132
0.030744195,1.2421217,1,531,2369.0362074499267,0.06364250183105469,657.875,841731,1156.7566421031952,0.0,0.030744195,0.010085994,555.702
0.043496177,1.239981,2,533,2460.7026328658803,0.7544287741184235,682.525,846858,1161.0817577838898,0.0,0.043496177,0.011345899,574.0077
0.034813233,1.2708532,1,534,2509.5707832126523,0.040177881717681885,696.55,849858,1165.335192680359,0.0,0.034813233,0.010849213,582.99756
0.047681965,1.2617507,2,536,2499.9785160464467,0.9293776154518127,695.025,853629,1169.5675880908966,0.0,0.047681965,0.010660959,580.97015
0.048640326,1.2175963,3,539,2403.5018862565476,0.9524559266865253,670.275,856665,1173.8164534568787,0.0,0.048640326,0.010376624,561.3258
0.056541562,1.2228093,2,541,2297.543505111551,0.8533695787191391,641.2,859176,1178.1425096988678,0.0,0.056541562,0.011171306,540.52625
0.06403023,1.18492,3,544,2222.9606780776717,0.8338359445333481,622.45,862437,1182.3716161251068,0.0,0.06403023,0.013015447,524.9863
0.059452973,1.173056,3,547,2148.5825837607867,0.964141383767128,601.2,866448,1186.6624279022217,0.0,0.059452973,0.010657843,509.7128
0.052868076,1.2213607,1,548,2087.1285103865985,0.9512255378067493,585.375,867549,1190.8636157512665,0.0,0.052868076,0.010160387,496.97186
0.022517262,1.214697,1,549,2099.618368751701,0.015125632286071777,589.65,870549,1195.1579909324646,0.0,0.022517262,0.004261733,499.97128
0.043828502,1.1980455,2,551,2024.3959357497995,0.6902160346508026,570.575,874152,1199.4848675727844,0.0,0.043828502,0.010836195,484.08585
0.0534151,1.2044674,2,553,1971.744918744894,0.9136896729469299,557.425,877194,1203.7927556037903,0.0,0.0534151,0.010934193,473.15048
