EpTrueRewMean,TimeElapsed,meankl,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,entropy,EpThisIter,optimgain,EpLenMean,EpRewMean,surrgain,entloss
542.6522065805875,1439.3163998126984,0.0044222786,673854,2849,0.8637821674346924,23.645756,9,0.16314453,107.85,73.10696,0.16314453,0.0
569.2386536909647,1446.0853109359741,0.003929268,676842,2858,0.8295526206493378,23.644281,9,0.13681678,112.825,73.60272,0.13681678,0.0
558.9104929498207,1452.8191885948181,0.014320595,679989,2869,0.8983027413487434,23.64892,11,0.30794737,110.525,72.06117,0.30794737,0.0
495.4564091477203,1459.5156440734863,0.014999282,683160,2881,0.8782582059502602,23.642572,12,0.29318988,98.525,64.60454,0.29318988,0.0
513.0205798991922,1466.0824010372162,0.014870603,686208,2890,0.8066851496696472,23.642397,9,0.2669162,100.925,67.49496,0.2669162,0.0
496.9903672311257,1472.891178369522,0.014717832,689304,2900,0.8776782602071762,23.638996,10,0.299747,98.9,66.77223,0.299747,0.0
515.4870537089487,1479.5555005073547,0.0039227195,692481,2910,0.8749620914459229,23.637693,10,0.15092011,102.275,68.09923,0.15092011,0.0
521.6463119162154,1486.2422037124634,0.014537732,695961,2922,0.8874488919973373,23.639467,12,0.27395272,103.825,67.701096,0.27395272,0.0
484.0860235233329,1493.076738834381,0.0037795843,698847,2933,0.8667124360799789,23.639162,11,0.14042936,97.05,62.941772,0.14042936,0.0
474.85419932740535,1499.8571689128876,0.0136534,701928,2944,0.8644936978816986,23.6368,11,0.25693506,95.15,61.84646,0.25693506,0.0
462.83615878324326,1506.5269458293915,0.0038647612,704637,2953,0.8674968630075455,23.637455,9,0.14886223,93.075,60.035744,0.14886223,0.0
474.73449246963173,1513.3537080287933,0.01487348,707460,2962,0.8906159922480583,23.637861,9,0.2835934,95.825,63.768604,0.2835934,0.0
503.3514823850795,1520.021781206131,0.003920825,710505,2972,0.8597351908683777,23.636786,10,0.15337142,99.875,65.541565,0.15337142,0.0
517.1115983259432,1526.7091341018677,0.014052431,713475,2981,0.8245324939489365,23.632078,9,0.30795604,102.275,67.5867,0.30795604,0.0
514.0364508304574,1533.3802642822266,0.014406849,716577,2992,0.8652367740869522,23.631857,11,0.30713663,101.0,67.506714,0.30713663,0.0
537.1123639273484,1539.994205713272,0.013931601,719859,3001,0.8624550104141235,23.640547,9,0.30999774,106.075,68.95775,0.30999774,0.0
529.6309595905104,1546.6982517242432,0.014804571,722808,3011,0.8704460561275482,23.640154,10,0.2624744,105.25,68.69295,0.2624744,0.0
523.7016168248705,1553.4253823757172,0.0141606135,725919,3021,0.8985575661063194,23.639643,10,0.29111347,103.7,67.034386,0.29111347,0.0
522.1043526429846,1559.9709386825562,0.0038092583,728760,3031,0.8515064716339111,23.640203,10,0.15587448,103.475,67.603004,0.15587448,0.0
510.273937291953,1566.955453634262,0.0038364206,731691,3040,0.8696993589401245,23.638166,9,0.14648801,101.025,65.82549,0.14648801,0.0
508.3954224951391,1573.6682353019714,0.0039535714,734847,3051,0.8834361657500267,23.636652,11,0.14605749,100.325,65.24843,0.14605749,0.0
501.34641199658716,1580.466283082962,0.014006981,737799,3061,0.8187251836061478,23.635418,10,0.30894768,99.0,66.40321,0.30894768,0.0
499.23450246652936,1587.021202325821,0.0136701455,740862,3072,0.853462353348732,23.634703,11,0.27750403,98.525,65.60582,0.27750403,0.0
485.7267453090068,1593.612515449524,0.013305461,744000,3083,0.8224468231201172,23.634947,11,0.31061724,96.2,63.29165,0.31061724,0.0
493.6119628693426,1600.2584555149078,0.0038083012,747090,3093,0.9001687914133072,23.632002,10,0.1477668,98.125,64.39231,0.1477668,0.0
488.7389223967701,1606.9458591938019,0.0038426244,750582,3105,0.8187922686338425,23.637613,12,0.1448501,97.025,63.526478,0.1448501,0.0
510.87160150489933,1613.4849228858948,0.014999354,753522,3114,0.871076300740242,23.633057,9,0.29869878,101.275,66.84736,0.29869878,0.0
526.1943657032782,1620.1108589172363,0.004229621,756666,3124,0.8587128072977066,23.633787,10,0.149634,102.5,67.382935,0.149634,0.0
513.1995868243496,1626.8613772392273,0.003813017,759873,3135,0.8842768445611,23.630365,11,0.14330366,100.25,64.04743,0.14330366,0.0
535.9518950399026,1633.5816032886505,0.0038057999,763101,3145,0.8133860379457474,23.634027,10,0.17309807,104.325,67.24284,0.17309807,0.0
547.9351857467107,1640.2894983291626,0.0037883199,766290,3154,0.8555978238582611,23.629332,9,0.14981477,106.4,68.38417,0.14981477,0.0
539.308347026068,1646.944331407547,0.014416549,769590,3165,0.8770146295428276,23.632341,11,0.28170136,104.8,67.75216,0.28170136,0.0
549.7627440734589,1653.688767671585,0.014853443,772872,3176,0.921303279697895,23.630682,11,0.3174002,106.4,69.39279,0.3174002,0.0
525.3259596933813,1660.4448676109314,0.0039951135,775899,3186,0.8603271245956421,23.63111,10,0.14890926,101.9,67.20231,0.14890926,0.0
513.8828382110005,1667.0259606838226,0.003933848,778935,3196,0.8525520861148834,23.63476,10,0.15176561,99.7,64.982925,0.15176561,0.0
523.4493242102144,1673.7806432247162,0.0039003799,782115,3206,0.8225993067026138,23.636738,10,0.15438646,101.75,65.84586,0.15438646,0.0
524.4322608451454,1680.4398963451385,0.014677356,785100,3216,0.8823980912566185,23.640705,10,0.3419878,101.9,65.33737,0.3419878,0.0
515.227690296149,1687.0767893791199,0.014719015,788400,3227,0.8586247712373734,23.640688,11,0.3117032,100.7,64.07094,0.3117032,0.0
538.926316099876,1693.8363859653473,0.014424727,791433,3235,0.8595039546489716,23.645443,8,0.29551208,106.825,67.95889,0.29551208,0.0
533.475574981897,1700.4877581596375,0.0040318384,794505,3245,0.8685034960508347,23.644514,10,0.15289898,106.275,68.57725,0.15289898,0.0
531.0331797121462,1707.2136051654816,0.0038898538,797709,3256,0.8918120637536049,23.64276,11,0.14206886,105.075,68.87248,0.14206886,0.0
526.4246451438686,1714.0286166667938,0.0041372627,800790,3267,0.886485867202282,23.647684,11,0.14988834,103.25,68.82384,0.14988834,0.0
490.1863953313976,1720.8406047821045,0.013412282,803553,3276,0.876626268029213,23.648113,9,0.2742,97.725,63.553856,0.2742,0.0
482.0146836103848,1727.4664385318756,0.012494123,806754,3287,0.8692940920591354,23.645756,11,0.23400523,97.15,63.64646,0.23400523,0.0
