meankl,ev_tdlam_before,entloss,EpisodesSoFar,optimgain,EpLenMean,EpTrueRewMean,EpThisIter,entropy,TimestepsSoFar,surrgain,TimeElapsed,EpRewMean
0.005979339,0.06953251361846924,0.0,362,0.04773452,951.925,1005.4315214855156,1,4.4263706,710901,0.04773452,837.2336540222168,918.71826
0.0075180116,-0.0029213428497314453,0.0,363,0.05627714,951.925,1005.3399556164735,1,4.4400234,713901,0.05627714,841.0705752372742,917.6686
0.007848499,0.6415901184082031,0.0,365,0.07203298,949.3,997.5384230364689,2,4.4411006,717363,0.07203298,844.9442503452301,909.0123
0.007994863,-0.02212393283843994,0.0,366,0.040306404,949.3,996.2544231915247,1,4.4376817,720363,0.040306404,848.7694566249847,908.6449
0.007087822,-0.02363884449005127,0.0,367,0.047133513,949.3,994.9780055530142,1,4.4494085,723363,0.047133513,852.5919947624207,908.42786
0.008746317,-0.18246662616729736,0.0,368,0.057010666,949.3,993.929321076748,1,4.4505277,726363,0.057010666,856.3913815021515,908.5256
0.007678215,-0.0006756782531738281,0.0,369,0.048105158,949.3,993.7133088784698,1,4.46905,729363,0.048105158,860.2056205272675,908.3955
0.0086475145,-0.04084455966949463,0.0,370,0.046688452,949.3,993.3590678235344,1,4.513768,732363,0.046688452,864.0283491611481,908.6986
0.0071357368,-0.0025185346603393555,0.0,371,0.055319216,949.3,994.0567762280192,1,4.516662,735363,0.055319216,867.8500437736511,908.8792
0.008586543,-0.013301730155944824,0.0,372,0.046359077,949.3,993.4341967894225,1,4.515232,738363,0.046359077,871.7309606075287,910.2375
0.008146484,-2.6226043701171875e-06,0.0,373,0.04908134,949.3,993.0195480403421,1,4.5454087,741363,0.04908134,875.5059745311737,909.0628
0.008779349,-0.0024031400680541992,0.0,374,0.053575464,959.0,999.7229721529433,1,4.5425005,743496,0.053575464,879.3660259246826,915.98157
0.00826535,-0.0032830238342285156,0.0,375,0.059556346,959.0,997.633877668079,1,4.546075,746496,0.059556346,883.2094423770905,915.9999
0.00894925,-0.009206652641296387,0.0,376,0.04415607,969.6,1004.5009418117792,1,4.560079,749496,0.04415607,887.0209097862244,921.079
0.00726087,0.04931497573852539,0.0,377,0.062523544,969.6,1003.7058902270795,1,4.5757647,752496,0.062523544,890.8141152858734,920.05994
0.008623067,-0.036019086837768555,0.0,378,0.049871847,969.6,1003.9128708117299,1,4.5875874,755496,0.049871847,894.5800454616547,919.7079
0.008090148,0.005247354507446289,0.0,379,0.058748916,969.6,1003.3340796750232,1,4.5617733,758496,0.058748916,898.3707981109619,919.9681
0.0075050974,-0.021903395652770996,0.0,380,0.056389116,969.6,1001.5907955977457,1,4.5523276,761496,0.056389116,902.2490286827087,919.5423
0.008079905,-0.00415492057800293,0.0,381,0.04331401,971.625,1003.0402404513486,1,4.561441,764496,0.04331401,906.1095888614655,920.99304
0.008050303,0.5487448573112488,0.0,383,0.06590308,947.775,977.8686255879671,2,4.560949,767634,0.06590308,909.9713613986969,899.493
0.007813135,-0.02312648296356201,0.0,384,0.05379848,947.775,976.578158456239,1,4.5433416,770634,0.05379848,913.7903995513916,900.1849
0.0074508884,0.014616608619689941,0.0,385,0.057471536,947.775,975.7759077194193,1,4.5765595,773634,0.057471536,917.5545094013214,900.82874
0.008519706,0.10166841745376587,0.0,386,0.069856316,941.425,968.7377206337936,1,4.5643706,775872,0.069856316,921.3591041564941,895.2578
0.00763976,0.02979731559753418,0.0,387,0.064678565,941.425,968.4559605289085,1,4.5534673,778872,0.064678565,925.2326707839966,895.04706
0.007424876,-0.023592472076416016,0.0,388,0.042715773,941.425,969.4945156847956,1,4.577082,781872,0.042715773,929.1487271785736,895.62726
0.0068677645,-0.04577934741973877,0.0,389,0.045667224,941.425,967.0790716236476,1,4.5779166,784872,0.045667224,932.9759471416473,894.6771
0.006822942,-0.03651142120361328,0.0,390,0.048720613,941.425,967.5984360434411,1,4.570047,787872,0.048720613,936.7994151115417,895.93445
0.008529877,0.511708527803421,0.0,392,0.049490668,921.1,946.0243351228019,2,4.5799956,791433,0.049490668,940.702645778656,879.0856
0.010103105,0.6879905760288239,0.0,393,0.061791457,915.9,937.9884340555567,1,4.5765433,793809,0.061791457,944.5078155994415,874.7025
0.007897422,-0.030219554901123047,0.0,394,0.048783887,915.9,934.3498332961948,1,4.564962,796809,0.048783887,948.3314583301544,873.6965
0.007998217,-0.02057182788848877,0.0,395,0.0526508,915.9,933.7438074966542,1,4.567159,799809,0.0526508,952.184225320816,874.0358
0.0075388695,-0.029828667640686035,0.0,397,0.05980695,894.7,910.7410331002799,2,4.5624456,803265,0.05980695,956.0398104190826,854.0298
