entloss,EpRewMean,EpisodesSoFar,optimgain,entropy,EpTrueRewMean,EpLenMean,ev_tdlam_before,meankl,TimestepsSoFar,EpThisIter,surrgain,TimeElapsed
0.0,457.7167,348,0.05607322,3.5348735,1921.6261763016148,576.4,0.9625558070838451,0.008565893,414411,2,0.05607322,565.9642157554626
0.0,461.66138,350,0.054243088,3.4832134,1946.414260605121,583.15,0.9795464277267456,0.009145915,416976,2,0.054243088,570.2897951602936
0.0,472.2875,351,0.063717134,3.4784262,1999.262143830744,597.75,0.9671362191438675,0.009953812,419643,1,0.063717134,574.5435445308685
0.0,465.9572,354,0.06622201,3.4454107,1961.4344607852813,586.15,0.9583388492465019,0.009269483,423684,3,0.06622201,578.76549077034
0.0,458.17926,355,0.06702992,3.508362,1923.6781359700476,575.1,0.936109147965908,0.008979833,424275,1,0.06702992,582.9966812133789
0.0,460.70117,357,0.079354055,3.5199652,1932.4835288056415,576.325,0.9606420136988163,0.0086689675,426141,2,0.079354055,587.2377202510834
0.0,442.3681,360,0.065952584,3.5141377,1849.0002816751985,550.25,0.8372075706720352,0.009489536,430413,3,0.065952584,591.3440155982971
0.0,455.89014,361,0.056483008,3.5250163,1903.247326669034,566.1,0.7846737951040268,0.008563989,433413,1,0.056483008,595.5735011100769
0.0,468.67197,362,0.044931483,3.4609354,1955.8545101558411,582.225,-0.02248537540435791,0.009351529,436413,1,0.044931483,599.7693111896515
0.0,459.06024,364,0.07022841,3.4594119,1918.4136225906157,570.325,0.29062479734420776,0.008809018,439302,2,0.07022841,603.9508740901947
0.0,444.55362,366,0.073039904,3.4337466,1861.0431431190227,549.95,0.9831903483718634,0.009384554,442857,2,0.073039904,608.1170327663422
0.0,442.24042,367,0.050897516,3.4102461,1859.1885981255662,549.95,-0.004371047019958496,0.010718149,445857,1,0.050897516,612.3829033374786
0.0,424.8545,370,0.0646703,3.3925707,1772.1696700803464,521.35,0.9876655321568251,0.009468298,450102,3,0.0646703,616.5462892055511
0.0,422.00592,371,0.063634925,3.3860998,1757.6880497909017,516.55,0.984488982707262,0.009038666,452502,1,0.063634925,620.8183741569519
0.0,415.72592,375,0.055084106,3.3947365,1734.0077754896683,508.425,0.7972575277090073,0.009173742,458124,4,0.055084106,625.0225727558136
0.0,409.74396,378,0.055032052,3.3518043,1712.8467948801372,503.1,0.8111781924962997,0.009372914,462669,3,0.055032052,629.3221080303192
0.0,405.29547,381,0.056609217,3.3635168,1695.3962220471408,498.5,0.905754379928112,0.0092358515,465885,3,0.056609217,633.6343929767609
0.0,405.64874,383,0.06557633,3.3375556,1698.205368097818,499.775,0.9526649303734303,0.009373454,468441,2,0.06557633,637.9159576892853
0.0,416.45013,385,0.07201606,3.291166,1740.6335857004292,511.4,0.9714047033339739,0.009649459,471783,2,0.07201606,642.1980819702148
0.0,424.64444,386,0.048211686,3.2661958,1767.704555613754,519.975,0.12314295768737793,0.009293931,474783,1,0.048211686,646.4408195018768
0.0,443.62167,388,0.053938225,3.2771084,1839.4146434668644,541.6,0.7251141369342804,0.009302927,479403,2,0.053938225,650.7257211208344
0.0,456.19916,389,0.039310776,3.2287815,1890.2245494454387,557.175,0.059643447399139404,0.00930419,482403,1,0.039310776,655.0233044624329
0.0,466.57608,390,0.055895463,3.224518,1933.1149688251103,570.225,0.1913018822669983,0.009625394,485403,1,0.055895463,659.2336814403534
0.0,460.47705,391,0.059235357,3.261008,1901.8331943387057,561.8,0.9876624159514904,0.009253001,487059,1,0.059235357,663.5008611679077
0.0,467.7041,392,0.047895998,3.221489,1936.37996144591,572.625,0.049465835094451904,0.008216029,490059,1,0.047895998,667.8067307472229
0.0,479.59747,393,0.04910905,3.1785064,1990.687173339272,588.7,0.03027796745300293,0.011212762,493059,1,0.04910905,672.006760597229
