EpThisIter,optimgain,EpRewMean,meankl,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entropy,entloss,surrgain,TimeElapsed,EpLenMean,TimestepsSoFar
1,0.035603896,524.94763,0.010666115,452,2433.872359957799,0.032220304012298584,2.4044926,0.0,0.035603896,884.0720221996307,726.725,625407
1,0.051388174,533.8253,0.0093313195,453,2487.9287658221706,0.7987602353096008,2.3296213,0.0,0.051388174,888.3726153373718,742.875,628407
1,0.035876893,544.1896,0.01058571,454,2548.3015750817426,0.057571351528167725,2.3954282,0.0,0.035876893,892.7367784976959,761.075,631407
2,0.05435778,538.14026,0.010996183,456,2525.8248374628965,0.767161563038826,2.3677163,0.0,0.05435778,897.135648727417,754.075,635340
1,0.04109446,539.88904,0.009867915,457,2541.570326705033,0.447231650352478,2.3328347,0.0,0.04109446,901.4443244934082,759.2,638340
1,0.03332126,538.2822,0.009936809,458,2539.036352613981,0.0476723313331604,2.3106208,0.0,0.03332126,905.7818186283112,759.2,641340
1,0.040889658,545.17896,0.010031842,459,2575.572669555323,-0.052663207054138184,2.2591825,0.0,0.040889658,910.0889389514923,770.8,644340
1,0.042628348,556.4049,0.011733919,460,2627.371477301315,-0.17486929893493652,2.2720845,0.0,0.042628348,914.4580130577087,786.225,647340
1,0.03226897,560.725,0.010061008,461,2648.7838642096367,0.02848231792449951,2.243771,0.0,0.03226897,918.8406898975372,792.8,650340
1,0.037982818,559.8841,0.010866946,462,2649.6592896362126,0.017878830432891846,2.3126528,0.0,0.037982818,923.2018830776215,792.8,653340
3,0.041690297,551.5484,0.010590862,465,2609.5434351679105,0.7339905500411987,2.302686,0.0,0.041690297,927.5689334869385,780.675,658623
2,0.042720217,542.0949,0.011206473,467,2560.0231619642404,0.6472287178039551,2.3229804,0.0,0.042720217,931.9466123580933,763.625,662577
3,0.055376716,512.0265,0.010008897,470,2408.9234626487605,0.9813996832817793,2.2973049,0.0,0.055376716,936.2656073570251,715.8,665838
1,0.042325072,511.9003,0.010395564,471,2412.0619974100346,0.3241977095603943,2.240224,0.0,0.042325072,940.5820846557617,715.8,668838
2,0.05385556,494.53897,0.010058737,473,2343.9869621314915,0.9865227695554495,2.2348523,0.0,0.05385556,944.9474635124207,694.375,672267
1,0.046082597,497.28882,0.010054767,474,2361.782472657921,0.9023071750998497,2.310254,0.0,0.046082597,949.3252930641174,699.625,673503
2,0.042769082,511.2661,0.009850354,476,2440.630444824277,0.42964136600494385,2.2780278,0.0,0.042769082,953.6405789852142,721.925,678579
3,0.05274877,510.83896,0.010205041,479,2451.6196534329074,0.9647304899990559,2.2199202,0.0,0.05274877,957.9686315059662,725.0,683163
1,0.045337602,512.7899,0.009638054,480,2466.3349406571315,0.9618177935481071,2.2396138,0.0,0.045337602,962.2715904712677,729.125,685086
1,0.043512,508.3038,0.009781223,481,2445.8031386697467,0.9493672661483288,2.1947196,0.0,0.043512,966.5579788684845,722.2,687255
1,0.036363393,507.75888,0.0103957,482,2446.562407184786,-0.10581433773040771,2.1683078,0.0,0.036363393,970.854737997055,722.2,690255
1,0.037807044,519.9092,0.010149527,483,2505.406391941193,0.7896011769771576,2.119953,0.0,0.037807044,975.1379818916321,739.4,693255
1,0.04195316,534.103,0.010027858,484,2573.1441828142133,0.004585325717926025,2.0834074,0.0,0.04195316,979.4655177593231,759.025,696255
1,0.047004044,541.98505,0.010541169,485,2608.6605433804766,0.9772030580788851,2.1585085,0.0,0.047004044,983.8033633232117,769.025,698463
1,0.045638897,541.42596,0.010902814,486,2610.2272713761304,0.12113046646118164,2.1833837,0.0,0.045638897,988.1341414451599,769.025,701463
1,0.035665713,540.59033,0.009873182,487,2612.8264181003083,0.4321826696395874,2.1872566,0.0,0.035665713,992.4339933395386,769.025,704463
2,0.040841486,530.5042,0.010350955,489,2570.229393714068,0.7361877262592316,2.1551206,0.0,0.040841486,996.7393825054169,755.125,708795
2,0.040379915,529.15265,0.009309301,491,2567.336985647056,0.7330728769302368,2.1652107,0.0,0.040379915,1001.0228526592255,753.375,712812
1,0.032343,528.93427,0.0104117645,492,2568.8829900081573,0.021700918674468994,2.1825676,0.0,0.032343,1005.3358211517334,753.375,715812
2,0.04634918,510.1377,0.011848498,494,2480.162723744131,0.7580307722091675,2.2284575,0.0,0.04634918,1009.6335399150848,726.625,718602
1,0.057488285,499.1211,0.0100724725,495,2427.951371531676,0.9796721283346415,2.2047555,0.0,0.057488285,1013.967613697052,710.425,719658
1,0.04448334,502.9555,0.0102801155,496,2446.7045091871873,0.13541531562805176,2.188862,0.0,0.04448334,1018.2486727237701,716.475,721317
1,0.038802385,503.83588,0.009832768,497,2449.0038705408624,0.006194651126861572,2.210879,0.0,0.038802385,1022.571494102478,716.475,724317
2,0.044068314,495.69232,0.0102670565,499,2404.453060060482,0.7450499832630157,2.2014053,0.0,0.044068314,1026.8895797729492,701.575,728529
1,0.03891487,495.13336,0.010117749,500,2404.928001707415,0.08380210399627686,2.1488757,0.0,0.03891487,1031.2029628753662,701.575,731529
1,0.035142053,496.0108,0.011032682,501,2406.953072927433,0.0044744014739990234,2.1253195,0.0,0.035142053,1035.5410177707672,701.575,734529
1,0.041562095,496.49796,0.011829538,502,2408.1803267595214,0.03785353899002075,2.0851743,0.0,0.041562095,1039.8452143669128,701.575,737529
1,0.049114868,496.74698,0.009911721,503,2409.0224784994252,0.11495524644851685,2.087863,0.0,0.049114868,1044.186173915863,701.575,740529
