entropy,EpTrueRewMean,optimgain,EpThisIter,EpRewMean,TimestepsSoFar,surrgain,meankl,entloss,TimeElapsed,ev_tdlam_before,EpisodesSoFar,EpLenMean
4.3908625,911.0490025811745,0.039375175,1,635.7858,777063,0.039375175,0.008614135,0.0,1091.0380601882935,-0.09096848964691162,392,929.825
4.3714542,910.2857661406385,0.036782444,1,635.573,780063,0.036782444,0.009487642,0.0,1095.429160118103,-9.322166442871094e-05,393,929.825
4.3629413,910.0430856770447,0.030960556,1,635.8333,783063,0.030960556,0.00905365,0.0,1099.8501770496368,-0.0010281801223754883,394,929.825
4.3565936,910.0974954895431,0.064112976,1,635.89746,786063,0.064112976,0.009186228,0.0,1104.311555147171,-0.0005582571029663086,395,929.825
4.35425,933.3734798010515,0.04315555,1,651.8048,789063,0.04315555,0.009822153,0.0,1108.6692457199097,-0.00421595573425293,396,953.25
4.3509455,933.1481661487793,0.03570629,1,651.57654,792063,0.03570629,0.008311857,0.0,1112.9753904342651,-1.3113021850585938e-05,397,953.25
4.3697224,932.8048050547884,0.043198645,1,651.3891,795063,0.043198645,0.00840608,0.0,1117.3162977695465,-1.0371208190917969e-05,398,953.25
4.398704,932.426464100188,0.040728815,1,651.1806,798063,0.040728815,0.008754606,0.0,1121.7045578956604,-2.5033950805664062e-06,399,953.25
4.410638,932.747859386259,0.031255726,1,651.19617,801063,0.031255726,0.008188891,0.0,1126.055900812149,-6.079673767089844e-06,400,953.25
4.4321547,933.0410997935575,0.029336113,1,651.2954,804063,0.029336113,0.008565463,0.0,1130.4594111442566,-0.0018372535705566406,401,953.25
4.4204106,932.6294793674839,0.04156226,1,651.36017,807063,0.04156226,0.009289099,0.0,1134.8386855125427,-2.6226043701171875e-06,402,953.25
4.4392476,932.491774219922,0.033498142,1,651.4365,810063,0.033498142,0.010684105,0.0,1139.2248697280884,-0.001551985740661621,403,953.25
4.4508457,908.886562645472,0.049607277,2,635.1013,813216,0.049607277,0.007290772,0.0,1143.585301399231,0.5332657694816589,405,929.525
4.4520473,908.8327653468957,0.03758052,1,635.0357,816216,0.03758052,0.008695615,0.0,1147.968727350235,-0.0003217458724975586,406,929.525
4.452208,908.8277791360349,0.034902405,1,635.2722,819216,0.034902405,0.009246874,0.0,1152.315924167633,-0.0032924413681030273,407,929.525
4.430381,908.7882606429815,0.037271358,1,635.3172,822216,0.037271358,0.009343381,0.0,1156.713443517685,-0.0001996755599975586,408,929.525
4.4704847,908.8532829987971,0.035112217,1,635.29016,825216,0.035112217,0.008664614,0.0,1161.1076831817627,-0.005603194236755371,409,929.525
4.4309435,908.9844135928375,0.0553219,1,635.28143,828216,0.0553219,0.008642169,0.0,1165.492826461792,-0.00018084049224853516,410,929.525
4.427707,908.9554292400242,0.04012876,1,635.20325,831216,0.04012876,0.009802874,0.0,1169.8698630332947,-1.3113021850585938e-05,411,929.525
4.428399,908.721316084568,0.043137982,1,635.29803,834216,0.043137982,0.008622263,0.0,1174.2453944683075,-0.00011897087097167969,412,929.525
4.4507236,909.0582679723957,0.044711612,1,635.2518,837216,0.044711612,0.009953149,0.0,1178.6819546222687,-1.7881393432617188e-06,413,929.525
4.4824,909.0850418867118,0.03199874,1,635.25,840216,0.03199874,0.013719024,0.0,1183.0556254386902,-0.01502525806427002,414,929.525
4.4992695,904.0025671335667,0.051865198,2,631.5962,843486,0.051865198,0.009613864,0.0,1187.3881793022156,0.14335250854492188,416,924.35
4.4914956,904.1127859580905,0.037079483,2,631.6043,849486,0.037079483,0.009511201,0.0,1191.7967655658722,-0.019452929496765137,418,924.35
4.5161676,921.4188460363899,0.05741624,1,643.317,852486,0.05741624,0.008698007,0.0,1196.1818928718567,0.010779201984405518,419,941.725
