entloss,optimgain,EpTrueRewMean,meankl,TimestepsSoFar,EpRewMean,ev_tdlam_before,surrgain,EpThisIter,EpisodesSoFar,TimeElapsed,EpLenMean,entropy
0.0,0.005678304,200.0,0.0053934134,813969,130.32915,0.23487144708633423,0.005678304,5,4270,3973.5515167713165,200.0,0.51070154
0.0,0.009710467,200.0,0.0066258553,814969,123.838905,-0.13826990127563477,0.009710467,5,4275,3978.3084099292755,200.0,0.49466294
0.0,0.012625389,200.0,0.010569196,815969,116.06053,-0.23378539085388184,0.012625389,5,4280,3983.1720476150513,200.0,0.528698
0.0,0.007817982,200.0,0.00609379,816969,105.13628,0.043033599853515625,0.007817982,5,4285,3988.450616121292,200.0,0.47863463
0.0,0.009494111,200.0,0.0095846,818169,92.284065,-0.010355949401855469,0.009494111,6,4291,3992.866142988205,200.0,0.52935505
0.0,0.0119019095,200.0,0.007940492,819169,83.45876,0.1349964141845703,0.0119019095,5,4296,3998.0504488945007,200.0,0.510734
0.0,0.007978523,200.0,0.005675343,820169,76.82955,0.3732532858848572,0.007978523,5,4301,4004.329196691513,200.0,0.4615234
0.0,0.009648768,200.0,0.007222729,821169,70.90353,0.2658427357673645,0.009648768,5,4306,4008.8310141563416,200.0,0.51233494
0.0,0.0120790815,200.0,0.008185515,822169,70.98952,0.2663114666938782,0.0120790815,5,4311,4013.777430534363,200.0,0.4978423
0.0,0.009627426,200.0,0.006162811,823169,69.01543,0.5295357704162598,0.009627426,5,4316,4018.440943956375,200.0,0.50288457
0.0,0.009329884,200.0,0.005575441,824169,66.67741,0.41232454776763916,0.009329884,5,4321,4023.483167409897,200.0,0.5387205
0.0,0.007312824,200.0,0.0067301285,825169,64.61564,-0.39512836933135986,0.007312824,5,4326,4028.5626826286316,200.0,0.5242617
0.0,0.010223075,200.0,0.007853081,826169,64.38512,0.18191033601760864,0.010223075,5,4331,4033.417550802231,200.0,0.48998445
0.0,0.011501502,200.0,0.007600994,827369,63.317383,0.3720674514770508,0.011501502,6,4337,4038.400543689728,200.0,0.50982
0.0,0.0119624585,200.0,0.009369283,828369,62.38616,-0.12067627906799316,0.0119624585,5,4342,4043.4170730113983,200.0,0.52083665
0.0,0.0060616904,200.0,0.0046157124,829369,61.39198,0.09674543142318726,0.0060616904,5,4347,4049.279893875122,200.0,0.4668386
0.0,0.008906888,200.0,0.0067746895,830369,60.323498,0.22644877433776855,0.008906888,5,4352,4054.2285861968994,200.0,0.49920058
0.0,0.014211468,200.0,0.008834456,831369,72.53937,-0.06548607349395752,0.014211468,5,4357,4059.712037563324,200.0,0.5107544
0.0,0.008639628,200.0,0.008323003,832369,81.44916,-0.06800854206085205,0.008639628,5,4362,4064.3393170833588,200.0,0.50654244
0.0,0.006196813,200.0,0.008183742,833369,95.19005,0.01590120792388916,0.006196813,5,4367,4069.36630153656,200.0,0.4955959
0.0,0.0076056533,200.0,0.009968352,834369,120.45061,0.24688374996185303,0.0076056533,5,4372,4074.349004983902,200.0,0.52744806
0.0,0.018655645,200.0,0.009071291,835569,148.37683,0.34904778003692627,0.018655645,6,4378,4079.091387987137,200.0,0.49619952
0.0,0.010913409,200.0,0.007618418,836569,175.39885,0.6286850273609161,0.010913409,5,4383,4084.5215735435486,200.0,0.489164
0.0,0.014360718,200.0,0.008669679,837569,199.90977,0.6902993619441986,0.014360718,5,4388,4088.7026307582855,200.0,0.4931164
0.0,0.017892146,200.0,0.008934987,838569,219.74716,0.7353218495845795,0.017892146,5,4393,4094.4479479789734,200.0,0.5112373
0.0,0.014043938,200.0,0.009540672,839569,221.6519,0.8576755225658417,0.014043938,5,4398,4099.927942037582,200.0,0.5188297
0.0,0.014269971,200.0,0.0068615843,840569,227.39859,0.8905583322048187,0.014269971,5,4403,4104.986327409744,200.0,0.51958895
0.0,0.011142373,200.0,0.0043208487,841569,220.34866,0.913327269256115,0.011142373,5,4408,4110.089357614517,200.0,0.5330981
0.0,0.009972464,200.0,0.0059468765,842569,205.39995,0.9243820458650589,0.009972464,5,4413,4114.754046916962,200.0,0.4991338
0.0,0.0096680755,200.0,0.00590048,843769,186.54341,0.9332815632224083,0.0096680755,6,4419,4120.311212062836,200.0,0.48934883
0.0,0.010149869,200.0,0.008050022,844769,166.06836,0.930893674492836,0.010149869,5,4424,4125.470307826996,200.0,0.5079336
0.0,0.012210159,200.0,0.0068911174,845769,149.10614,0.9232952296733856,0.012210159,5,4429,4130.497845411301,200.0,0.54482687
0.0,0.013047968,200.0,0.0058704875,846769,137.21915,0.9033026248216629,0.013047968,5,4434,4136.053542852402,200.0,0.55711937
0.0,0.0141616035,200.0,0.008922879,847769,129.7096,0.9080170914530754,0.0141616035,5,4439,4141.269414901733,200.0,0.547712
0.0,0.0118197175,200.0,0.007727901,848769,123.442894,0.8891465291380882,0.0118197175,5,4444,4146.2788627147675,200.0,0.55286545
0.0,0.00971693,199.375,0.008822884,849744,118.30501,0.8982612788677216,0.00971693,5,4449,4151.677854299545,199.375,0.5559828
0.0,0.004585137,199.375,0.0029599979,850944,115.816246,0.9054709449410439,0.004585137,6,4455,4157.132399559021,199.375,0.591774
0.0,0.011138329,199.25,0.0075694043,851939,115.09658,0.902655117213726,0.011138329,5,4460,4162.029681921005,199.25,0.56401527
0.0,0.01061256,197.85,0.005550199,852883,114.79368,0.9125888869166374,0.01061256,5,4465,4166.885436534882,197.85,0.5503637
