surrgain,entropy,EpisodesSoFar,entloss,ev_tdlam_before,EpThisIter,TimeElapsed,EpTrueRewMean,TimestepsSoFar,optimgain,EpRewMean,meankl,EpLenMean
0.059636146,3.5771258,459,0.0,0.7954311221837997,5,2554.880972623825,770.9278359917155,308649,0.059636146,64.86945,0.008209775,256.325
0.06707476,3.5427606,463,0.0,0.8360762298107147,4,2578.8195147514343,782.5388214424077,312633,0.06707476,66.338974,0.008421064,259.0
0.051764835,3.5187669,466,0.0,0.876867987215519,3,2604.5563192367554,788.3206277299441,315396,0.051764835,68.44597,0.008730692,256.975
0.063493565,3.5144002,469,0.0,0.90001180768013,3,2628.892660856247,787.4394031784461,318099,0.063493565,67.93679,0.00884491,255.6
0.062124748,3.5234582,474,0.0,0.9028500616550446,5,2654.5070383548737,772.7105164276633,321270,0.062124748,66.234085,0.008542751,249.525
0.057294913,3.4692214,478,0.0,0.9581815861165524,4,2678.6195611953735,797.1235649805465,324507,0.057294913,67.64321,0.008382961,255.625
0.07093793,3.4798586,481,0.0,0.9287934675812721,3,2704.529400587082,807.6599645432278,327180,0.07093793,68.13374,0.008978566,256.825
0.06847501,3.500054,484,0.0,0.9302150160074234,3,2728.7513654232025,820.7653828180007,329748,0.06847501,69.94993,0.008288564,259.2
0.06347492,3.4864695,486,0.0,0.9450771175324917,2,2754.6584622859955,845.3702708935413,332208,0.06347492,71.68486,0.008139269,265.8
0.050149675,3.4769664,489,0.0,0.9022664278745651,3,2778.5982553958893,873.7237216707548,335031,0.050149675,71.95043,0.00871424,275.25
0.06998059,3.3694568,492,0.0,0.946543887257576,3,2804.379981279373,913.5116297993721,338064,0.06998059,74.69148,0.009593805,285.5
0.06254349,3.344004,495,0.0,0.9627621993422508,3,2829.045430421829,923.1810688030025,340680,0.06254349,75.30483,0.009243981,289.7
0.060869157,3.3488078,499,0.0,0.9748471174389124,4,2853.835044145584,952.3126742668949,344241,0.060869157,76.96626,0.009422657,296.6
0.06354041,3.3214226,504,0.0,0.974633514881134,5,2878.8629932403564,914.7562397648404,347553,0.06354041,73.242004,0.009548551,283.775
0.050033573,3.2241683,508,0.0,0.8875888139009476,4,2903.124032974243,915.985664537506,350931,0.050033573,73.50276,0.0100002475,282.525
0.058160797,3.2342067,511,0.0,0.9685188382863998,3,2928.6787292957306,933.8064823861905,354264,0.058160797,73.74371,0.009709405,287.2
0.053996157,3.214787,514,0.0,0.8504251837730408,3,2953.5454354286194,989.4802360745059,357786,0.053996157,77.82416,0.010156946,304.3
0.05455786,3.209692,518,0.0,0.9478703029453754,4,2978.693819999695,977.138083134475,360645,0.05455786,76.03956,0.00891637,301.15
0.051549077,3.1949656,520,0.0,0.9038581177592278,2,3003.4652061462402,972.9972264167088,362103,0.051549077,74.68312,0.009012453,300.475
0.06846374,3.146229,524,0.0,0.9728298652917147,4,3029.06232213974,966.0610835152763,365556,0.06846374,73.291565,0.009173256,298.4
