entropy,entloss,surrgain,optimgain,EpThisIter,EpisodesSoFar,TimestepsSoFar,EpRewMean,meankl,ev_tdlam_before,TimeElapsed,EpTrueRewMean,EpLenMean
23.42303,0.0,0.29928014,0.29928014,13,2230,473970,403.9480887092185,0.013903879,0.9034873619675636,1395.656821489334,403.9480887092185,82.65
23.434406,0.0,0.32309353,0.32309353,11,2241,477084,412.96403839640095,0.014887191,0.9174574837088585,1404.728587627411,412.96403839640095,84.35
23.429926,0.0,0.33820647,0.33820647,11,2252,480051,430.70566081836023,0.01384218,0.9412061981856823,1413.7490572929382,430.70566081836023,87.675
23.42596,0.0,0.34116596,0.34116596,11,2263,483006,429.774103173558,0.013804873,0.9419545009732246,1422.7855384349823,429.774103173558,88.7
23.427326,0.0,0.31431085,0.31431085,11,2274,486090,451.859193632686,0.013327854,0.9101009592413902,1431.7580931186676,451.859193632686,92.525
23.418451,0.0,0.23860534,0.23860534,11,2285,489087,441.3290009078817,0.013085734,0.9413914233446121,1440.8735256195068,441.3290009078817,90.65
23.420477,0.0,0.26674175,0.26674175,12,2297,492087,434.8860955940234,0.013783265,0.9144629091024399,1449.9536798000336,434.8860955940234,87.775
23.420673,0.0,0.28233182,0.28233182,12,2309,495303,436.14836822878976,0.013434367,0.8837074339389801,1458.9889361858368,436.14836822878976,88.425
23.411848,0.0,0.28842738,0.28842738,11,2320,498354,435.061975976431,0.013661597,0.9312964826822281,1468.1220564842224,435.061975976431,87.975
23.412191,0.0,0.3297449,0.3297449,11,2331,501333,446.4905421389558,0.013041918,0.9070735946297646,1477.2004458904266,446.4905421389558,89.9
23.427164,0.0,0.27392024,0.27392024,11,2342,504408,450.45882506275393,0.013575531,0.8493942320346832,1486.3395504951477,450.45882506275393,90.3
23.433268,0.0,0.28008282,0.28008282,11,2353,507531,459.74175769054875,0.014782943,0.9298983737826347,1495.5301349163055,459.74175769054875,92.3
23.43847,0.0,0.38528955,0.38528955,12,2365,510630,455.80425044189997,0.014895704,0.9288811385631561,1504.6068723201752,455.80425044189997,92.025
23.44279,0.0,0.26542285,0.26542285,12,2377,513648,432.489283828516,0.013754138,0.9105654284358025,1513.6766395568848,432.489283828516,87.6
23.446798,0.0,0.3084209,0.3084209,11,2388,516804,442.13143542352736,0.014715573,0.8933675959706306,1522.7731885910034,442.13143542352736,90.2
23.44427,0.0,0.28660727,0.28660727,11,2399,519756,438.5004655708155,0.014057241,0.9272266179323196,1531.8628044128418,438.5004655708155,89.05
23.441961,0.0,0.15453196,0.15453196,11,2410,522942,451.7867778888197,0.0040882123,0.8963616341352463,1541.0690660476685,451.7867778888197,91.975
23.439695,0.0,0.2499111,0.2499111,10,2420,525756,462.50330566406893,0.013691362,0.8825614750385284,1549.7508018016815,462.50330566406893,93.775
23.4367,0.0,0.29821253,0.29821253,11,2431,528906,465.00479523958893,0.014174901,0.930884912610054,1558.0727729797363,465.00479523958893,94.15
23.443785,0.0,0.13891469,0.13891469,11,2442,531945,461.81240484637664,0.003965487,0.9244725108146667,1566.4419751167297,461.81240484637664,94.35
