meankl,optimgain,TimeElapsed,EpLenMean,entloss,EpTrueRewMean,EpRewMean,EpisodesSoFar,entropy,ev_tdlam_before,EpThisIter,surrgain,TimestepsSoFar
0.01083537,0.20906442,315.0536353588104,70.525,0.0,354.1541620292195,58.452454,859,23.76219,0.8246863484382629,13,0.20906442,45866
0.009201657,0.20038469,323.24148511886597,71.775,0.0,359.6577935101187,63.291443,873,23.740644,0.8075200319290161,14,0.20038469,46883
0.010136213,0.20018378,331.3915972709656,75.0,0.0,371.6301410267635,66.28142,887,23.717937,0.8356551975011826,14,0.20018378,47959
0.0103807375,0.2180155,339.4497501850128,76.05,0.0,374.2595186199711,66.68253,901,23.73895,0.8258494734764099,14,0.2180155,49038
0.010693809,0.23200928,347.4893491268158,79.725,0.0,392.46418214344857,66.97109,913,23.72502,0.7720376402139664,12,0.23200928,50072
0.010544672,0.22617602,355.4069173336029,78.9,0.0,389.40252832880236,67.59652,927,23.72459,0.8512925654649734,14,0.22617602,51115
0.010130208,0.19451442,362.94499039649963,75.35,0.0,375.59739464174453,65.73505,942,23.71409,0.8739788979291916,15,0.19451442,52170
0.010228613,0.21592784,370.4996280670166,71.275,0.0,355.6887296108904,65.0444,956,23.723654,0.817743569612503,14,0.21592784,53141
0.009964563,0.2080614,378.0740351676941,71.15,0.0,355.36570225683965,64.16902,970,23.737566,0.8377407193183899,14,0.2080614,54182
0.009781765,0.22562623,385.6716241836548,73.45,0.0,362.9173307165144,65.336586,983,23.72005,0.8252079486846924,13,0.22562623,55193
0.012560939,0.22469531,393.2144763469696,73.7,0.0,366.6398704490168,66.22606,997,23.720701,0.8437817394733429,14,0.22469531,56183
0.009904504,0.21836284,400.72524785995483,70.875,0.0,352.4671880367547,62.357056,1012,23.728582,0.8288131654262543,15,0.21836284,57197
0.01026516,0.19669446,408.22940254211426,72.775,0.0,361.32154443056794,64.524925,1024,23.745848,0.9025123119354248,12,0.19669446,58171
0.010859667,0.24748513,415.79501152038574,76.875,0.0,379.3167328110862,65.49844,1036,23.741877,0.8745869547128677,12,0.24748513,59175
0.010359965,0.21228184,423.3165850639343,80.15,0.0,393.78352032272034,70.27948,1049,23.760988,0.8543547242879868,13,0.21228184,60198
0.010856001,0.23052934,430.6281416416168,78.575,0.0,390.1422406204295,67.98311,1063,23.773687,0.791896402835846,14,0.23052934,61225
0.0107006775,0.21630982,437.58415031433105,79.25,0.0,395.1672831854097,68.34816,1075,23.77059,0.787629097700119,12,0.21630982,62254
0.010151375,0.2335096,444.5391721725464,80.95,0.0,403.7007915867572,66.91351,1088,23.761652,0.7762987017631531,13,0.2335096,63361
0.011442388,0.25299823,451.45288705825806,86.2,0.0,426.00081614350165,70.67958,1099,23.761541,0.8224273920059204,11,0.25299823,64394
0.010263687,0.20737539,458.4077978134155,91.05,0.0,442.9642500425072,76.26262,1110,23.75887,0.8040640354156494,11,0.20737539,65407
0.010546777,0.23222046,465.37720561027527,89.275,0.0,435.0465170023599,74.70897,1123,23.762188,0.7877951413393021,13,0.23222046,66465
0.010794055,0.2251735,472.2846329212189,85.55,0.0,418.7406675221042,69.86373,1136,23.755857,0.8523987531661987,13,0.2251735,67502
0.0115400795,0.19525105,479.24550318717957,78.95,0.0,393.2334723542202,61.858177,1149,23.762941,0.8628444224596024,13,0.19525105,68469
0.010076363,0.21815696,486.3029079437256,77.9,0.0,393.68310155620856,60.654217,1162,23.76066,0.8505103886127472,13,0.21815696,69502
0.010879299,0.3279578,493.262761592865,80.525,0.0,408.800815655552,65.24666,1173,23.756912,0.8518997430801392,11,0.3279578,70490
0.010988312,0.33947465,500.25981521606445,84.625,0.0,426.1026114550208,67.835976,1185,23.761478,0.8065214157104492,12,0.33947465,71558
0.010995509,0.24316779,507.25525736808777,85.8,0.0,427.35494483939675,68.97681,1198,23.767172,0.8149973005056381,13,0.24316779,72584
0.012266836,0.25550216,514.5002825260162,84.625,0.0,416.6936572435234,67.05393,1211,23.777895,0.7878260761499405,13,0.25550216,73662
