meankl,EpRewMean,EpisodesSoFar,entloss,optimgain,TimeElapsed,EpThisIter,TimestepsSoFar,EpLenMean,surrgain,EpTrueRewMean,entropy,ev_tdlam_before
0.004751182,70.90043,3594,0.0,0.19436583,1971.0439994335175,9,918021,103.925,0.19436583,522.8761334207011,23.312506,0.8884196430444717
0.004516513,73.70238,3602,0.0,0.20819844,1978.0100319385529,8,920889,107.825,0.20819844,545.0288048716463,23.31087,0.8594629764556885
0.004770201,71.27013,3614,0.0,0.15358213,1984.6804296970367,12,923991,103.425,0.15358213,529.5093953069024,23.31038,0.8558777421712875
0.0045349514,70.8206,3624,0.0,0.15394956,1991.293574333191,10,927024,103.275,0.15394956,528.1188879381228,23.312338,0.8683976829051971
0.014965578,70.78139,3632,0.0,0.35911527,1998.0183629989624,8,929883,104.4,0.35911527,532.1229106563533,23.315006,0.8605874627828598
0.004062283,68.39485,3641,0.0,0.14933573,2004.6379716396332,9,932997,103.35,0.14933573,524.4453345897322,23.316916,0.8938234820961952
0.0042715445,73.202965,3650,0.0,0.15069462,2011.427493572235,9,935967,108.3,0.15069462,546.361773046214,23.317316,0.8777014836668968
0.0039505535,74.977585,3659,0.0,0.14405525,2018.139684677124,9,939267,114.525,0.14405525,571.6064216045559,23.317461,0.8732541501522064
0.0042951675,72.761086,3669,0.0,0.16431817,2024.9148268699646,10,942312,112.875,0.16431817,568.2266783052783,23.31616,0.8940372616052628
0.0037657567,70.51587,3678,0.0,0.13937081,2031.5127351284027,9,945510,111.425,0.13937081,560.9412266941083,23.31492,0.824823647737503
0.0039378824,70.10173,3688,0.0,0.147289,2038.2344391345978,10,948648,112.5,0.147289,563.655987691221,23.313543,0.9013006761670113
0.014230331,66.06751,3698,0.0,0.30223286,2044.9579112529755,10,951636,106.525,0.30223286,531.4230154734139,23.312479,0.8879973143339157
0.004114853,70.334885,3707,0.0,0.15835623,2051.729864358902,9,954750,109.575,0.15835623,545.5223993593239,23.314291,0.7870510816574097
0.0042890254,72.3233,3716,0.0,0.1509211,2058.240952014923,9,957813,110.575,0.1509211,554.7173027623448,23.312971,0.8431411385536194
0.0040840195,70.58274,3726,0.0,0.14718103,2065.022886991501,10,960969,108.775,0.14718103,541.1690227864876,23.313482,0.8543519526720047
0.004289236,73.78352,3736,0.0,0.14963648,2071.7146899700165,10,964287,110.5,0.14963648,555.7080824233681,23.316647,0.883165568113327
0.003932687,73.097534,3745,0.0,0.140434,2078.4188194274902,9,967170,110.325,0.140434,556.644333808105,23.321226,0.8223363012075424
0.0043356284,68.791954,3756,0.0,0.16432714,2085.1842741966248,11,970452,105.325,0.16432714,525.407385768292,23.318357,0.8134411573410034
0.0040503703,69.699295,3767,0.0,0.15399277,2091.9934873580933,11,973815,103.675,0.15399277,518.5747959124695,23.315853,0.8668256849050522
0.0045279525,66.66305,3778,0.0,0.15753588,2098.586928844452,11,976938,99.75,0.15753588,506.6399016655532,23.316957,0.9028045311570168
0.004278975,65.95137,3787,0.0,0.15184326,2105.2265286445618,9,979908,100.325,0.15184326,512.021934181794,23.320494,0.8908132761716843
0.0040905476,70.860275,3796,0.0,0.1500423,2111.910765647888,9,982950,104.15,0.1500423,530.516553415782,23.32178,0.8550801575183868
0.003940518,71.6045,3806,0.0,0.15741423,2118.7053637504578,10,986130,105.325,0.15741423,533.3076710118067,23.323223,0.8686399310827255
0.0040068636,73.87976,3816,0.0,0.14612472,2125.3731904029846,10,989235,107.475,0.14612472,537.651664793328,23.32479,0.8326442986726761
0.0042562555,72.50707,3826,0.0,0.15879266,2132.087614774704,10,992316,105.625,0.15879266,525.3076410078087,23.325993,0.8801230862736702
0.004214649,71.36204,3834,0.0,0.14666197,2138.9092695713043,8,995481,110.0,0.14666197,548.1576228379438,23.326841,0.8726467937231064
0.003853783,69.78667,3844,0.0,0.1318293,2145.5593576431274,10,998943,111.075,0.1318293,555.3369576549918,23.323507,0.8487715870141983
0.0038852845,70.11783,3853,0.0,0.14500657,2153.079957485199,9,1001892,111.775,0.14500657,561.3052260210637,23.322592,0.8679414242506027
