EpLenMean,TimestepsSoFar,EpTrueRewMean,TimeElapsed,meankl,optimgain,EpThisIter,entropy,EpisodesSoFar,EpRewMean,entloss,ev_tdlam_before,surrgain
459.975,578343,1152.8856484680794,831.7508494853973,0.009675195,0.13500473,2,7.264159,631,418.16113,0.0,0.7618646025657654,0.13500473
476.775,582102,1193.5033530262513,836.1335535049438,0.008023694,0.09263706,2,7.265323,633,432.2569,0.0,0.5579200387001038,0.09263706
472.95,582948,1182.8503546615257,840.5129034519196,0.009897772,0.14028768,1,7.251408,634,429.0752,0.0,0.8287423998117447,0.14028768
488.925,585699,1226.4689632470768,844.8663585186005,0.010799295,0.1042457,1,7.2753863,635,444.3249,0.0,0.8773145228624344,0.1042457
492.25,587799,1235.2126212643993,849.2861490249634,0.009488558,0.12990199,2,7.292237,637,449.01425,0.0,0.9524228535592556,0.12990199
506.025,591057,1267.9158206716681,853.6753890514374,0.009765346,0.12473706,2,7.282165,639,462.7274,0.0,0.9160191640257835,0.12473706
505.825,593151,1264.8816188800126,858.0543825626373,0.009379089,0.12023115,2,7.28143,641,463.84204,0.0,0.871627002954483,0.12023115
504.85,595191,1265.0909136448458,862.4398210048676,0.009446265,0.12279478,2,7.3106656,643,465.04135,0.0,0.9592436701059341,0.12279478
515.325,597498,1303.9285761629542,866.7929260730743,0.010254452,0.12631828,1,7.311707,644,477.2464,0.0,0.8221173733472824,0.12631828
523.15,600903,1333.1406797714633,871.1589953899384,0.009593216,0.12055954,3,7.315917,647,488.8947,0.0,0.9286393374204636,0.12055954
540.125,605364,1396.7457584290828,875.5464527606964,0.0100821555,0.1167655,3,7.2746105,650,507.409,0.0,0.917839914560318,0.1167655
547.125,608919,1415.4330977278714,879.9057919979095,0.009603446,0.13158554,2,7.258243,652,511.99445,0.0,0.9494103044271469,0.13158554
542.8,611787,1388.0703248928985,884.2908709049225,0.01007226,0.1029598,2,7.251343,654,503.54346,0.0,0.879360243678093,0.1029598
549.15,613584,1401.827131256411,888.7128119468689,0.009513712,0.109104194,1,7.2463546,655,507.58545,0.0,0.8644150495529175,0.109104194
565.875,616584,1455.0835841151961,893.4273738861084,0.011268014,0.093955815,1,7.2600083,656,522.69354,0.0,-0.11738455295562744,0.093955815
554.925,619503,1449.1949635279736,897.8716413974762,0.00994275,0.10535947,2,7.2480946,658,517.6361,0.0,0.9343318045139313,0.10535947
565.5,623502,1492.4536122105428,902.2824039459229,0.012126543,0.16452792,2,7.2332807,660,530.7946,0.0,0.9151424095034599,0.16452792
564.2,627993,1530.6542670541965,906.6746892929077,0.0098797735,0.11184147,2,7.234799,662,535.9307,0.0,0.8138513416051865,0.11184147
546.025,633051,1516.676818296177,911.0090355873108,0.010576243,0.10394424,3,7.2333827,665,523.08136,0.0,0.6706328988075256,0.10394424
560.7,636870,1560.9477453980649,915.4277095794678,0.010487013,0.13421285,2,7.2239547,667,536.47876,0.0,0.9536351226270199,0.13421285
553.175,638967,1561.709402692585,919.8507957458496,0.011053838,0.19111401,1,7.209887,668,537.43365,0.0,0.8995599076151848,0.19111401
555.425,641967,1559.8678161870582,924.2404923439026,0.010068223,0.06484136,1,7.2405524,669,533.61285,0.0,0.0027735233306884766,0.06484136
565.525,644967,1581.2670955753572,928.6867408752441,0.00933235,0.10734514,1,7.2492223,670,539.73584,0.0,0.33195990324020386,0.10734514
564.475,649080,1579.487355471822,933.1089015007019,0.008864168,0.09166679,2,7.250797,672,538.7453,0.0,0.6410633325576782,0.09166679
568.725,650349,1588.3711009003805,937.5020220279694,0.010511792,0.09581251,1,7.2482142,673,540.7682,0.0,0.8808242902159691,0.09581251
567.15,654576,1564.0167884017417,941.8787078857422,0.010820823,0.099131405,3,7.2485957,676,532.78577,0.0,0.9287063032388687,0.099131405
581.475,657576,1605.6297582107395,946.2901616096497,0.011132502,0.0922812,1,7.256225,677,544.6712,0.0,0.053987205028533936,0.0922812
571.025,659580,1582.6166847000884,950.6993138790131,0.0116652865,0.11581145,2,7.221127,679,536.27625,0.0,0.9528458006680012,0.11581145
571.95,662622,1588.5944816903477,955.0456833839417,0.009826033,0.10126057,3,7.219682,682,537.823,0.0,0.9053178429603577,0.10126057
572.55,663897,1593.335310973325,959.3866693973541,0.010405173,0.12949261,1,7.204105,683,539.8385,0.0,0.8828451111912727,0.12949261
552.525,667206,1516.286460846728,963.8098709583282,0.01007005,0.12123984,4,7.1746206,687,517.1414,0.0,0.9058002382516861,0.12123984
527.675,671040,1451.0575992204049,968.1913750171661,0.013624193,0.12293382,4,7.1561313,691,498.41074,0.0,0.8960844352841377,0.12293382
530.45,675441,1471.7685614017785,972.5756363868713,0.011299638,0.12568359,3,7.1767573,694,504.2951,0.0,0.9235173165798187,0.12568359
509.9,680691,1402.7277546645946,976.9537851810455,0.009254707,0.093602985,4,7.1506925,698,482.60455,0.0,0.8020755648612976,0.093602985
509.125,684597,1400.0145114910626,981.3118679523468,0.00952138,0.080569424,2,7.1573615,700,479.319,0.0,0.6002867817878723,0.080569424
506.375,688758,1389.2452625779756,985.6724524497986,0.010535128,0.11754298,2,7.142094,702,478.73926,0.0,0.8951660171151161,0.11754298
506.375,691758,1381.3761062475435,990.0695967674255,0.0103787845,0.08371213,1,7.1346574,703,476.34952,0.0,0.07171940803527832,0.08371213
502.025,692841,1365.1554484917092,994.4285566806793,0.009923904,0.10760723,1,7.124373,704,471.51572,0.0,0.9431217983365059,0.10760723
504.05,695301,1377.137126358165,998.7941970825195,0.010323998,0.11179188,2,7.11536,706,475.1805,0.0,0.8491344004869461,0.11179188
503.625,699402,1386.573376977009,1003.1232612133026,0.009775616,0.1162029,2,7.1007733,708,477.17725,0.0,0.9181205853819847,0.1162029
489.075,700656,1363.1711502961575,1007.5333406925201,0.009180473,0.109574795,1,7.0931525,709,470.01358,0.0,0.9155433401465416,0.109574795
470.725,704454,1335.279868096246,1011.8987572193146,0.010295591,0.09439849,2,7.0943165,711,457.97113,0.0,0.6209705471992493,0.09439849
487.15,708807,1386.2504255195777,1016.2764184474945,0.0104688695,0.0773078,2,7.07465,713,471.27246,0.0,0.677363395690918,0.0773078
480.5,711567,1375.7398283219159,1020.62664103508,0.0096320165,0.112744465,2,7.0721884,715,464.63492,0.0,0.9111205339431763,0.112744465
481.0,715296,1401.349230871717,1025.0459868907928,0.010457352,0.12319116,2,7.0478473,717,470.8203,0.0,0.8550883829593658,0.12319116
