entropy,EpThisIter,entloss,ev_tdlam_before,TimeElapsed,EpRewMean,surrgain,optimgain,EpisodesSoFar,meankl,EpTrueRewMean,TimestepsSoFar,EpLenMean
3.782631,1,0.0,-0.05204308032989502,577.1979489326477,2721.3208589541305,0.052449908,0.052449908,427,0.008630802,2721.3208589541305,492360,934.675
3.7472167,1,0.0,-0.008195757865905762,580.9143178462982,2737.4223750433816,0.04150904,0.04150904,428,0.008391175,2737.4223750433816,495360,939.75
3.752928,1,0.0,0.01311182975769043,584.5952754020691,2742.3435119149403,0.04909983,0.04909983,429,0.010373168,2742.3435119149403,498360,939.75
3.7472005,1,0.0,0.0387386679649353,588.3370246887207,2746.7522571986715,0.04382871,0.04382871,430,0.00929389,2746.7522571986715,501360,939.75
3.7049944,1,0.0,0.009620249271392822,591.9754223823547,2754.806366260517,0.044388577,0.044388577,431,0.0073645874,2754.806366260517,504360,939.75
3.7123408,1,0.0,0.04110372066497803,595.6437735557556,2751.7680666372025,0.04855192,0.04855192,432,0.009685153,2751.7680666372025,507360,939.75
3.713554,1,0.0,0.02957206964492798,599.3494453430176,2757.2098562913634,0.04604816,0.04604816,433,0.008205319,2757.2098562913634,510360,939.75
3.6900918,2,0.0,0.4342489242553711,603.0384125709534,2772.99854525277,0.06333539,0.06333539,435,0.008537881,2772.99854525277,515370,945.475
3.687714,1,0.0,-0.0037747621536254883,606.7384924888611,2777.1070458829545,0.05306923,0.05306923,436,0.008005707,2777.1070458829545,518370,945.475
3.673499,1,0.0,0.008948087692260742,610.3694307804108,2803.562306701671,0.0410754,0.0410754,437,0.009948719,2803.562306701671,521370,953.625
3.6542885,1,0.0,0.006926298141479492,614.0622491836548,2799.6350173732053,0.045610424,0.045610424,438,0.0092019895,2799.6350173732053,524370,953.625
3.6612854,1,0.0,0.1749199628829956,617.7581310272217,2803.680555564275,0.059475105,0.059475105,439,0.00931523,2803.680555564275,527370,953.625
3.6714494,3,0.0,0.5822615921497345,621.437703371048,2695.352953561281,0.062116504,0.062116504,442,0.009940408,2695.352953561281,531180,910.375
