surrgain,EpRewMean,EpLenMean,TimestepsSoFar,optimgain,EpThisIter,meankl,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entropy,TimeElapsed,entloss
0.25888085,453.11792546012475,92.1,441996,0.25888085,11,0.0128718205,2101,453.11792546012475,0.9095943570137024,23.276434,1300.8176891803741,0.0
0.14468569,464.0506753637407,94.45,445077,0.14468569,9,0.0037745219,2110,464.0506753637407,0.9201183468103409,23.28654,1310.0480527877808,0.0
0.39808697,467.8916879067028,95.525,447729,0.39808697,10,0.012760878,2120,467.8916879067028,0.9099030047655106,23.28377,1319.245442867279,0.0
0.24938372,459.82439376448247,94.05,450561,0.24938372,11,0.013816471,2131,459.82439376448247,0.9337645396590233,23.275885,1328.4506454467773,0.0
0.29069212,479.518883364368,96.875,453621,0.29069212,10,0.012974365,2141,479.518883364368,0.8940442055463791,23.271502,1337.5561504364014,0.0
0.29857063,462.1336476618444,92.25,456363,0.29857063,10,0.014331125,2151,462.1336476618444,0.9501929543912411,23.266533,1346.6190958023071,0.0
0.2548334,471.2606770709576,95.2,459354,0.2548334,10,0.013314394,2161,471.2606770709576,0.9368274807929993,23.266607,1355.708590745926,0.0
0.15332696,474.5447505367225,95.65,462594,0.15332696,12,0.004200847,2173,474.5447505367225,0.9349826276302338,23.268394,1364.7248933315277,0.0
0.2655897,455.15606606942254,92.275,465828,0.2655897,12,0.013935152,2185,455.15606606942254,0.9051612243056297,23.275324,1373.7976400852203,0.0
0.30721116,459.2870052251852,92.075,468855,0.30721116,11,0.013549387,2196,459.2870052251852,0.9270048588514328,23.283445,1382.9630970954895,0.0
0.31453294,453.0426324872301,90.425,472005,0.31453294,11,0.014014194,2207,453.0426324872301,0.8969206511974335,23.27889,1392.1144750118256,0.0
0.3234349,459.61874101967453,91.725,475089,0.3234349,11,0.014912118,2218,459.61874101967453,0.8925123363733292,23.27856,1401.3306119441986,0.0
0.23882389,454.2041872294079,90.875,478056,0.23882389,11,0.013695868,2229,454.2041872294079,0.9144880622625351,23.270332,1410.626208782196,0.0
0.25287077,467.14102145956804,94.775,481248,0.25287077,10,0.01300628,2239,467.14102145956804,0.9232919737696648,23.270266,1419.8496658802032,0.0
