surrgain,EpisodesSoFar,TimeElapsed,entropy,EpRewMean,TimestepsSoFar,meankl,entloss,optimgain,EpTrueRewMean,EpThisIter,ev_tdlam_before,EpLenMean
0.08217398,453,809.361079454422,7.612928,1561.1524559185323,378714,0.008483778,0.0,0.08217398,1561.1524559185323,1,-0.10061800479888916,647.8
0.094005674,454,815.8668119907379,7.6065054,1605.979150661934,381714,0.009285392,0.0,0.094005674,1605.979150661934,1,0.03889709711074829,664.9
0.09320417,455,822.339677810669,7.569259,1623.2471805462033,384714,0.0088304635,0.0,0.09320417,1623.2471805462033,1,-0.06475424766540527,664.9
0.10023534,457,828.8354427814484,7.546252,1650.021900391259,387786,0.008428998,0.0,0.10023534,1650.021900391259,2,0.8190988451242447,675.525
0.08954188,458,835.2776629924774,7.520678,1684.3405338770149,390786,0.007842993,0.0,0.08954188,1684.3405338770149,1,0.1704651117324829,689.525
0.10118893,461,841.6981453895569,7.5245485,1615.547423068471,395154,0.008054041,0.0,0.10118893,1615.547423068471,3,0.7796136140823364,655.65
0.0966684,463,848.5913300514221,7.5382075,1614.8998541702463,398877,0.0090516675,0.0,0.0966684,1614.8998541702463,2,0.8224230110645294,649.6
0.09765537,464,855.1691613197327,7.5314326,1650.7608360053855,401529,0.008830583,0.0,0.09765537,1650.7608360053855,1,0.47981029748916626,661.275
0.07283051,465,861.5871136188507,7.533695,1683.3033837372336,404529,0.00848046,0.0,0.07283051,1683.3033837372336,1,0.19797039031982422,670.75
0.08406584,466,868.0935561656952,7.5383177,1645.7578290971585,405375,0.008006657,0.0,0.08406584,1645.7578290971585,1,0.5830376744270325,652.8
0.09630798,467,874.6182065010071,7.5356903,1658.6942035967281,408042,0.0079106465,0.0,0.09630798,1658.6942035967281,1,0.8008381873369217,658.95
0.098562464,469,881.0781500339508,7.54742,1646.5203912848824,410964,0.008402817,0.0,0.098562464,1646.5203912848824,2,0.8965719491243362,650.0
0.0848224,472,887.4995684623718,7.5085454,1625.5283776564927,415716,0.008457504,0.0,0.0848224,1625.5283776564927,3,0.7566491812467575,639.45
0.106277406,475,894.0858588218689,7.4650145,1562.5334254446975,419850,0.008786138,0.0,0.106277406,1562.5334254446975,3,0.7818865180015564,619.65
0.080335274,477,901.1664247512817,7.471388,1625.7889857748105,425850,0.010277638,0.0,0.080335274,1625.7889857748105,2,0.028502225875854492,639.35
0.09707688,479,907.767648935318,7.4470224,1593.2227363079826,427716,0.008308574,0.0,0.09707688,1593.2227363079826,2,0.8815301731228828,627.55
0.09259945,482,914.3465659618378,7.406356,1582.9536744708034,432708,0.008720997,0.0,0.09259945,1582.9536744708034,3,0.7985056489706039,620.85
0.096869,483,921.1166596412659,7.3958898,1591.7893774850186,434991,0.008380653,0.0,0.096869,1591.7893774850186,1,0.7669546157121658,624.8
0.12338787,484,927.7820019721985,7.409241,1618.8659144744593,436515,0.008690659,0.0,0.12338787,1618.8659144744593,1,0.6793644428253174,631.375
0.08527819,485,934.2329370975494,7.3850546,1660.6364130668258,439515,0.008961443,0.0,0.08527819,1660.6364130668258,1,-0.03035902976989746,644.825
0.10627702,488,940.6524522304535,7.4221835,1659.0237754931688,443982,0.008923582,0.0,0.10627702,1659.0237754931688,3,0.8881566897034645,639.15
0.095030025,490,947.9340400695801,7.401842,1605.0362825823977,445905,0.008609433,0.0,0.095030025,1605.0362825823977,2,0.8633363991975784,615.1
0.16302115,491,955.1221296787262,7.4078846,1641.1898782262379,448851,0.010427037,0.0,0.16302115,1641.1898782262379,1,0.8838326781988144,626.95
0.12529555,493,961.6105699539185,7.4031367,1628.0341888131943,452964,0.008643739,0.0,0.12529555,1628.0341888131943,2,0.7605558037757874,618.75
0.095732346,495,967.9112405776978,7.4151616,1577.1013834465457,456573,0.008678677,0.0,0.095732346,1577.1013834465457,2,0.8244254142045975,598.825
0.08777751,496,974.2894399166107,7.384037,1603.028633992672,458991,0.00900427,0.0,0.08777751,1603.028633992672,1,0.8758763670921326,611.3
0.103808984,498,980.6239857673645,7.3930798,1575.202397955701,462105,0.008922856,0.0,0.103808984,1575.202397955701,2,0.8608953207731247,594.325
0.09735538,499,987.0468506813049,7.374755,1586.9000687826874,464934,0.010059848,0.0,0.09735538,1586.9000687826874,1,0.9434870816767216,596.05
0.08729802,500,993.5307717323303,7.3570714,1653.51850980194,467934,0.0088514825,0.0,0.08729802,1653.51850980194,1,0.06794077157974243,615.85
0.06972736,501,999.8857498168945,7.3247027,1690.9861505189078,470934,0.008620588,0.0,0.06972736,1690.9861505189078,1,0.035952627658843994,631.5
0.09919983,502,1006.7159538269043,7.325924,1706.922717555389,473934,0.009312083,0.0,0.09919983,1706.922717555389,1,0.7601993829011917,632.1
0.079185456,503,1014.074070930481,7.2450395,1748.2989374060242,476934,0.008643941,0.0,0.079185456,1748.2989374060242,1,0.01226818561553955,650.475
0.08086893,504,1020.3567490577698,7.1948857,1767.9176626677993,479934,0.009449955,0.0,0.08086893,1767.9176626677993,1,0.06776607036590576,653.375
0.09594042,505,1026.9905090332031,7.166796,1768.5558682466083,482934,0.009444514,0.0,0.09594042,1768.5558682466083,1,-0.20549917221069336,653.375
0.08845062,507,1033.7588140964508,7.1773233,1750.8905423513017,485484,0.0084102955,0.0,0.08845062,1750.8905423513017,2,0.7981358468532562,645.35
0.10965265,508,1040.2535998821259,7.1836543,1759.889453294299,487668,0.009699377,0.0,0.10965265,1759.889453294299,1,0.9161578565835953,647.675
0.1104352,509,1047.0323116779327,7.168412,1775.285187603061,489015,0.009085015,0.0,0.1104352,1775.285187603061,1,0.7560133039951324,650.425
0.077260256,510,1054.30339884758,7.1743765,1771.7932683057388,492015,0.009313423,0.0,0.077260256,1771.7932683057388,1,-0.06292581558227539,650.425
0.07803632,511,1060.9496459960938,7.1714606,1828.203179169351,495015,0.007974119,0.0,0.07803632,1828.203179169351,1,0.0680915117263794,667.875
0.087705836,513,1067.308657169342,7.143721,1884.398309840819,499992,0.00856654,0.0,0.087705836,1884.398309840819,2,0.7915684878826141,686.2
0.11152488,514,1073.6032183170319,7.114881,1939.089768433266,502962,0.009206433,0.0,0.11152488,1939.089768433266,1,0.8132943511009216,703.125
0.081859075,515,1080.0252418518066,7.11713,1971.323106951159,505962,0.009261773,0.0,0.081859075,1971.323106951159,1,0.09084779024124146,717.6
0.098211855,517,1086.5418639183044,7.124376,1888.0795338022194,508836,0.008818084,0.0,0.098211855,1888.0795338022194,2,0.7813491225242615,691.55
0.08310102,518,1092.9700057506561,7.1113276,1934.5527367458308,511836,0.008669039,0.0,0.08310102,1934.5527367458308,1,0.058459699153900146,709.275
0.09376891,520,1099.3637218475342,7.0845304,1921.7479440555362,515331,0.009322872,0.0,0.09376891,1921.7479440555362,2,0.8795541822910309,705.125
0.11321918,521,1105.7539339065552,7.063481,1948.6046185549785,517491,0.009024761,0.0,0.11321918,1948.6046185549785,1,0.6940267384052277,715.075
0.07955618,523,1112.0228617191315,7.098637,1986.4387061203386,522381,0.0095182685,0.0,0.07955618,1986.4387061203386,2,0.5834607779979706,728.25
0.08489926,525,1118.2543663978577,7.062456,1894.9032260865206,523869,0.00827775,0.0,0.08489926,1894.9032260865206,2,0.9608783163130283,702.95
0.083268374,527,1124.5063087940216,7.0896745,1949.6619191951963,528558,0.008305991,0.0,0.083268374,1949.6619191951963,2,0.6248696148395538,717.625
0.074319944,528,1130.7988471984863,7.063246,1993.6763948617627,531558,0.008650282,0.0,0.074319944,1993.6763948617627,1,0.18764424324035645,729.8
0.07537086,529,1137.434990644455,7.091369,2023.952730660465,534558,0.008085984,0.0,0.07537086,2023.952730660465,1,0.5621435642242432,742.525
0.09679374,531,1143.9583501815796,7.10284,2053.5374902483627,538203,0.00900087,0.0,0.09679374,2053.5374902483627,2,0.8094603419303894,744.6
0.10371679,532,1150.1274948120117,7.072143,2045.9832397411803,540444,0.009098762,0.0,0.10371679,2045.9832397411803,1,0.8826060220599174,741.3
0.080848575,534,1156.3267686367035,7.072327,2025.553237580938,543543,0.0084058475,0.0,0.080848575,2025.553237580938,2,0.9352044835686684,738.75
0.08944887,535,1162.5191230773926,7.0812216,2074.174966410102,546543,0.008242024,0.0,0.08944887,2074.174966410102,1,0.07666909694671631,749.75
0.10111147,537,1168.8039345741272,7.1101084,2021.8010099683584,549639,0.00959732,0.0,0.10111147,2021.8010099683584,2,0.9444627836346626,736.6
0.12681459,538,1175.0621008872986,7.0960126,2040.938768798417,551001,0.008715749,0.0,0.12681459,2040.938768798417,1,0.8960064873099327,740.8
0.13359606,539,1181.3210172653198,7.0868516,2052.19453288995,553770,0.008751607,0.0,0.13359606,2052.19453288995,1,0.823774591088295,740.3
0.07783232,540,1187.6335306167603,7.083012,2038.740988813374,556770,0.00874384,0.0,0.07783232,2038.740988813374,1,-0.017607808113098145,740.3
0.13315795,541,1193.9382734298706,7.078019,2000.0638663720347,557862,0.009270415,0.0,0.13315795,2000.0638663720347,1,0.9197691977024078,724.4
0.08696263,543,1200.201721906662,7.071839,1942.7524457870627,561450,0.008905093,0.0,0.08696263,1942.7524457870627,2,0.9105178117752075,704.3
0.07610315,545,1206.51557970047,7.0455976,1864.3936124289817,565029,0.008472573,0.0,0.07610315,1864.3936124289817,2,0.8734309673309326,684.125
0.08793089,546,1212.7815685272217,7.063493,1898.2703544915246,567513,0.009488595,0.0,0.08793089,1898.2703544915246,1,0.906550832092762,692.9
0.08610796,548,1219.112604856491,7.06215,1933.101515142227,572643,0.009708486,0.0,0.08610796,1933.101515142227,2,0.661405473947525,708.125
0.0981759,549,1225.377431154251,7.0265546,1962.3753260453582,575643,0.008724206,0.0,0.0981759,1962.3753260453582,1,0.8585182875394821,721.9
0.08154169,550,1231.649429321289,6.995928,1968.8822591412713,578643,0.009404516,0.0,0.08154169,1968.8822591412713,1,0.09296643733978271,721.9
0.097551376,552,1237.92578291893,7.007005,1914.3484231868715,582558,0.008928714,0.0,0.097551376,1914.3484231868715,2,0.6369777321815491,704.525
0.08217028,553,1244.1434285640717,7.0227222,1947.5597413972973,585558,0.010127811,0.0,0.08217028,1947.5597413972973,1,0.04489022493362427,713.05
0.1363146,554,1250.3828766345978,7.0481534,1938.146191076598,587541,0.009095479,0.0,0.1363146,1938.146191076598,1,0.7651588618755341,704.825
0.09477721,556,1256.7166571617126,7.0262003,1915.6888505521154,591120,0.0091766585,0.0,0.09477721,1915.6888505521154,2,0.7977674305438995,692.125
0.1097992,557,1262.9712882041931,6.9910135,1939.3603396788944,592887,0.010069899,0.0,0.1097992,1939.3603396788944,1,0.8008766323328018,700.425
0.07923658,558,1269.2797594070435,6.948103,1945.1116956097758,595887,0.009466067,0.0,0.07923658,1945.1116956097758,1,0.14822405576705933,700.425
0.06902179,559,1275.4814298152924,6.9955006,1971.9748723445034,598887,0.009277181,0.0,0.06902179,1971.9748723445034,1,-0.05624806880950928,706.175
0.09853638,561,1281.7099225521088,6.976241,1996.3634887290475,602877,0.009815781,0.0,0.09853638,1996.3634887290475,2,0.8752947896718979,711.55
