EpThisIter,optimgain,EpTrueRewMean,EpisodesSoFar,TimeElapsed,TimestepsSoFar,EpLenMean,EpRewMean,surrgain,entropy,entloss,meankl,ev_tdlam_before
1,0.050303753,951.7524539308642,402,966.2283954620361,806184,962.05,906.4453,0.050303753,4.0565567,0.0,0.008316688,-0.06203782558441162
1,0.044257276,951.3229414748952,403,969.9796183109283,809184,962.05,906.5366,0.044257276,4.0531898,0.0,0.009046662,-0.019089102745056152
1,0.04547773,951.810553275726,404,973.7503345012665,812184,962.05,906.6913,0.04547773,4.041374,0.0,0.009622418,-0.03175663948059082
1,0.0416705,951.7594299942699,405,977.5078344345093,815184,962.05,906.3802,0.0416705,4.0416546,0.0,0.008000234,-0.002554774284362793
2,0.05480098,929.4567659756024,407,981.1915228366852,818538,940.0,885.55597,0.05480098,4.0416265,0.0,0.008286227,0.29501914978027344
1,0.05473915,929.8933318850202,408,984.9968843460083,821538,940.0,885.7084,0.05473915,4.027956,0.0,0.009098459,-0.11924350261688232
1,0.106549956,919.4601901574428,409,988.653669834137,823275,929.475,875.9959,0.106549956,4.0183177,0.0,0.008110957,0.6353009045124054
2,0.053389274,913.1680123856622,411,992.3587090969086,828456,922.65,870.29474,0.053389274,4.018287,0.0,0.00786162,0.3821229338645935
1,0.0323684,931.5726156593591,412,996.1501824855804,831456,940.325,886.7086,0.0323684,4.022491,0.0,0.008483945,0.0017256736755371094
1,0.03767618,947.3160849069187,413,999.9098539352417,834456,955.025,900.1955,0.03767618,4.0202255,0.0,0.008794934,0.0022612810134887695
1,0.07961294,935.6872639472522,414,1003.6159915924072,836034,943.175,890.0215,0.07961294,4.0098953,0.0,0.009531302,0.07107919454574585
1,0.04948675,936.2348402857995,415,1007.3814961910248,839034,943.175,890.1553,0.04948675,4.011141,0.0,0.0081482055,0.033641040325164795
1,0.05806338,936.3909211949158,416,1011.1141719818115,842034,943.175,889.937,0.05806338,3.9974046,0.0,0.008671043,0.014371216297149658
3,0.071417265,881.3415200259818,419,1014.8164377212524,844509,888.8,839.759,0.071417265,4.0096116,0.0,0.008022317,0.5752767324447632
1,0.049078144,881.3092739147789,420,1018.5502035617828,847509,888.8,839.73376,0.049078144,4.0209103,0.0,0.011435288,-0.11152935028076172
1,0.046942074,881.4260567966642,421,1022.2945311069489,850509,888.8,839.3543,0.046942074,4.010155,0.0,0.007694946,0.02744501829147339
1,0.075864136,881.324269013778,422,1026.0177381038666,853509,888.8,839.2249,0.075864136,3.9973373,0.0,0.008210784,-0.2546948194503784
1,0.036816835,881.3394309211226,423,1029.7810719013214,856509,888.8,840.1144,0.036816835,4.02533,0.0,0.009866597,-0.010489225387573242
2,0.05618903,864.5387913314856,425,1033.5734062194824,860412,871.325,823.5881,0.05618903,4.0268006,0.0,0.008929782,0.25626492500305176
1,0.07795331,864.8142497565772,426,1037.3235702514648,863412,871.325,823.4349,0.07795331,4.0315256,0.0,0.008342427,-0.10194361209869385
3,0.07093747,830.6752593891608,429,1041.0596239566803,867975,838.4,792.8571,0.07093747,4.0467215,0.0,0.00936776,0.774568721652031
1,0.04043247,830.6832119818013,430,1044.693271636963,870975,838.4,792.5916,0.04043247,4.0501027,0.0,0.008784318,-0.09103751182556152
1,0.059119627,828.13471790522,431,1048.3898701667786,873750,836.525,791.03845,0.059119627,4.0329604,0.0,0.0093600135,0.7462809085845947
1,0.04001024,828.1539115319869,432,1052.15669131279,876750,836.525,791.28845,0.04001024,4.0265217,0.0,0.009155169,-0.0008835792541503906
1,0.04597179,828.4447162120966,433,1055.9183793067932,879750,836.525,791.28644,0.04597179,4.032137,0.0,0.008780781,-0.001611471176147461
1,0.045825783,828.5679684393948,434,1059.6409420967102,882750,836.525,790.38367,0.045825783,4.0180955,0.0,0.00984953,-0.006593108177185059
1,0.06011443,828.5717822265858,435,1063.4278736114502,885750,836.525,789.9979,0.06011443,4.0130687,0.0,0.008549926,-0.016553163528442383
1,0.052200288,828.5431562340625,436,1067.1475551128387,888750,836.525,790.3713,0.052200288,3.9929137,0.0,0.00850843,-0.04812204837799072
1,0.039489705,828.7664451523327,437,1070.8840608596802,891750,836.525,790.56213,0.039489705,3.9831467,0.0,0.007933666,-0.0022722482681274414
1,0.0340265,828.7993916810377,438,1074.6415839195251,894750,836.525,791.2552,0.0340265,4.0011525,0.0,0.008964788,0.008602023124694824
2,0.056765527,816.6799680208808,440,1078.3738510608673,899130,824.55,779.56165,0.056765527,4.0029225,0.0,0.009397517,0.4838464856147766
1,0.0609485,816.7133189673515,441,1082.1283984184265,902130,824.55,779.112,0.0609485,3.997902,0.0,0.008008134,0.025075137615203857
2,0.047727127,803.7806906704724,443,1085.8430790901184,906636,812.1,766.18427,0.047727127,3.999916,0.0,0.007979238,0.47200310230255127
1,0.061388433,803.6241447935801,444,1089.6139550209045,909636,812.1,765.98535,0.061388433,3.9917226,0.0,0.010501579,-0.07583260536193848
1,0.04716365,803.8317479054998,445,1093.3186671733856,912636,812.1,765.9389,0.04716365,3.993958,0.0,0.009518034,-0.03653264045715332
1,0.04691098,803.7608365880475,446,1097.1103196144104,915636,812.1,766.19415,0.04691098,4.0065236,0.0,0.0080320295,-0.028907179832458496
1,0.055819254,826.4263994942943,447,1100.7281980514526,918636,834.15,786.6992,0.055819254,4.007196,0.0,0.009472083,0.002717912197113037
1,0.028745193,826.3738176167514,448,1104.4043822288513,921636,834.15,786.27966,0.028745193,4.0255733,0.0,0.0079704495,-0.0009148120880126953
1,0.039726213,837.2859575643081,449,1108.2227184772491,924636,844.675,796.0853,0.039726213,4.008636,0.0,0.0099213,-0.005095481872558594
1,0.03620387,837.0725651082361,450,1111.935260772705,927636,844.675,795.3883,0.03620387,4.0255966,0.0,0.009336569,-0.0005865097045898438
1,0.058718465,844.2056508158018,451,1115.753140449524,930636,851.5,801.5647,0.058718465,3.9984736,0.0,0.009620697,-0.0045740604400634766
1,0.038636953,844.1181295352486,452,1119.525499343872,933636,851.5,801.1161,0.038636953,4.0463333,0.0,0.010175632,-0.005003690719604492
1,0.045023356,843.6326848034656,453,1123.5106937885284,936636,851.5,800.8354,0.045023356,4.0581336,0.0,0.010505081,-0.01339423656463623
1,0.049107134,855.2547506384941,454,1127.2889866828918,939636,863.35,811.1977,0.049107134,4.0635095,0.0,0.009916475,-0.006243109703063965
1,0.054125182,854.5044250242001,455,1131.0446870326996,942636,863.35,811.19135,0.054125182,4.0704727,0.0,0.007880501,0.018724441528320312
1,0.044276938,854.2593970162728,456,1134.7862734794617,945636,863.35,811.20605,0.044276938,4.0598125,0.0,0.00775582,-0.010506868362426758
1,0.044859186,875.0160978383817,457,1138.632645368576,948636,883.925,829.93555,0.044859186,4.060173,0.0,0.009500709,-0.0009291172027587891
2,0.039776094,909.5908065533716,459,1142.4182238578796,954636,917.725,862.235,0.039776094,4.0709558,0.0,0.008322019,-0.011823773384094238
1,0.047089055,909.4721956742284,460,1146.2095077037811,957636,917.725,861.91785,0.047089055,4.07382,0.0,0.008775648,-9.417533874511719e-05
1,0.04466565,909.1952446657826,461,1149.9811136722565,960636,917.725,862.6478,0.04466565,4.0726256,0.0,0.009039883,-0.0013899803161621094
1,0.040440284,909.0858877504037,462,1153.7853729724884,963636,917.725,862.5711,0.040440284,4.038788,0.0,0.011040314,-0.0036966800689697266
1,0.03795698,908.4297539331262,463,1157.57275056839,966636,917.725,861.5127,0.03795698,4.0763545,0.0,0.008708624,-0.013725042343139648
1,0.049584962,908.3266428777621,464,1161.3145031929016,969636,917.725,862.3104,0.049584962,4.075447,0.0,0.010320439,0.02725803852081299
1,0.07977362,923.665366713929,465,1165.0413002967834,972507,934.125,879.3859,0.07977362,4.08072,0.0,0.0096291695,-0.26710188388824463
1,0.041781314,923.4243874241417,466,1168.5194478034973,975507,934.125,879.8127,0.041781314,4.090728,0.0,0.012098145,-0.0009398460388183594
1,0.04346208,927.5246771047765,467,1171.9640617370605,978507,937.8,883.07764,0.04346208,4.104463,0.0,0.010673752,0.0030540823936462402
1,0.039081544,942.9872561189168,468,1175.5141999721527,981507,952.45,896.50256,0.039081544,4.113648,0.0,0.008445915,-0.010968208312988281
1,0.062226634,961.9346504140965,469,1178.9979701042175,984507,971.1,913.38184,0.062226634,4.1274695,0.0,0.009471174,-0.020292282104492188
1,0.048281543,961.960150958351,470,1182.6051168441772,987507,971.1,913.9166,0.048281543,4.132818,0.0,0.00925103,-0.0934532880783081
1,0.034788176,964.0801148658369,471,1186.2190353870392,990507,972.975,915.44275,0.034788176,4.1428,0.0,0.01002566,0.0035443902015686035
1,0.059093267,960.261263040604,472,1189.869112253189,993090,969.5,911.7949,0.059093267,4.1208572,0.0,0.006337963,0.07347476482391357
1,0.0398003,959.9064451463479,473,1193.57133603096,996090,969.5,912.27405,0.0398003,4.127739,0.0,0.008943111,-0.018157362937927246
1,0.0653383,957.0633574791573,474,1197.4606442451477,998829,967.325,910.51306,0.0653383,4.127135,0.0,0.009247386,0.26555395126342773
1,0.033956904,956.8076631064159,475,1201.4636669158936,1001829,967.325,910.42206,0.033956904,4.1531987,0.0,0.007516387,-0.030208587646484375
