entloss,surrgain,EpLenMean,EpTrueRewMean,EpisodesSoFar,TimestepsSoFar,TimeElapsed,EpThisIter,EpRewMean,ev_tdlam_before,entropy,meankl,optimgain
0.0,0.062637635,19.4,0.5327367505760746,50,3108,7.0753655433654785,50,24.951126,0.6384930908679962,8.49669,0.008155519,0.062637635
0.0,0.063543186,31.1,4.967436871516955,79,6177,12.694794416427612,29,32.7099,0.6290687918663025,8.473811,0.007297544,0.063543186
0.0,0.06065495,48.475,8.312910881976318,94,9312,17.849898099899292,15,48.273205,0.5775148272514343,8.413151,0.0070148767,0.06065495
0.0,0.060994267,60.675,12.832647402945629,104,11985,22.97767186164856,10,59.133553,0.571090966463089,8.390868,0.006659463,0.060994267
0.0,0.05667803,79.95,17.75146258028945,113,15207,28.121462106704712,9,75.519714,0.8459834456443787,8.392226,0.005761886,0.05667803
0.0,0.0610838,98.45,24.217365736917316,120,18156,32.9483482837677,7,91.25267,0.9005982801318169,8.388503,0.006358319,0.0610838
0.0,0.0639531,112.025,36.0239604205473,126,21024,37.677908420562744,6,101.067055,0.866606816649437,8.39293,0.00589918,0.0639531
0.0,0.08510504,131.95,64.00475541086803,132,24912,42.417563915252686,6,115.917946,0.9023362547159195,8.415893,0.0062075863,0.08510504
0.0,0.06585323,146.25,82.29936434002663,140,28284,47.19073700904846,8,125.79374,0.8952734023332596,8.345158,0.005743007,0.06585323
0.0,0.0596526,157.275,106.32654769609535,146,31551,51.813602685928345,6,134.55539,0.9018160775303841,8.343584,0.0055634296,0.0596526
0.0,0.061828077,172.7,136.7803210537304,151,34983,56.14923858642578,5,145.98128,0.8768923282623291,8.354812,0.006754851,0.061828077
0.0,0.058708344,176.725,141.89955254908824,155,37458,60.630807399749756,4,145.57874,0.9052426591515541,8.376774,0.0055944296,0.058708344
0.0,0.061197635,182.125,163.71003759851837,161,40506,65.01192688941956,6,147.64847,0.947910264134407,8.324721,0.0065000197,0.061197635
0.0,0.060222752,190.0,181.6422787434372,165,43404,69.38263249397278,4,152.50717,0.9206550121307373,8.328126,0.006384856,0.060222752
0.0,0.06230843,191.35,200.70539940910507,169,46578,73.75641632080078,4,152.32547,0.9369932115077972,8.260011,0.00575523,0.06230843
0.0,0.060485564,198.775,209.25605721992633,174,49716,78.12667727470398,5,154.20432,0.9307666122913361,8.230224,0.0064312285,0.060485564
0.0,0.06529358,207.2,233.27287254583788,177,51822,82.53101539611816,3,161.43901,0.962235826998949,8.204667,0.0060344804,0.06529358
0.0,0.06481458,216.725,242.2731167754824,181,54774,86.9820806980133,4,164.77097,0.9567182138562202,8.203669,0.006497344,0.06481458
