EpLenMean,EpTrueRewMean,surrgain,EpisodesSoFar,TimeElapsed,entropy,TimestepsSoFar,EpRewMean,EpThisIter,meankl,entloss,optimgain,ev_tdlam_before
200.0,200.0,0.010040091,1628,1394.4979448318481,0.4951802,296809,123.7645,5,0.0056067193,0.0,0.010040091,0.9265210703015327
200.0,200.0,0.006977408,1633,1399.0465734004974,0.51387954,297809,127.085,5,0.0059945406,0.0,0.006977408,0.9658050909638405
200.0,200.0,0.0121440515,1638,1403.6966724395752,0.4718777,298809,130.26553,5,0.0077252574,0.0,0.0121440515,0.9526184089481831
200.0,200.0,0.011966916,1644,1408.7846388816833,0.44418323,300009,130.49261,6,0.006734811,0.0,0.011966916,0.8897009715437889
200.0,200.0,0.014780811,1649,1413.7683069705963,0.49133724,301009,131.26485,5,0.008357061,0.0,0.014780811,0.8807704299688339
198.6,198.6,0.008852236,1654,1418.4559938907623,0.4470772,301953,129.68054,5,0.005760353,0.0,0.008852236,0.848176971077919
198.6,198.6,0.0076163467,1659,1423.2902221679688,0.45959064,302953,127.98181,5,0.005944603,0.0,0.0076163467,0.9213049411773682
198.6,198.6,0.008492595,1664,1428.4578943252563,0.48918378,303953,126.39966,5,0.004423242,0.0,0.008492595,0.9443843886256218
198.6,198.6,0.0029450092,1669,1433.234216451645,0.50241935,304953,125.0588,5,0.0032277484,0.0,0.0029450092,0.9656552374362946
198.6,198.6,0.012154665,1675,1438.5556366443634,0.5005238,306153,122.64751,6,0.0068697045,0.0,0.012154665,0.9537422955036163
198.6,198.6,0.017303754,1680,1443.0163481235504,0.5190928,307153,121.70742,5,0.007582294,0.0,0.017303754,0.9540332816541195
198.6,198.6,0.0060007907,1685,1448.3035969734192,0.5269071,308153,121.252396,5,0.0075943633,0.0,0.0060007907,0.9570109285414219
198.6,198.6,0.005205114,1690,1452.9362664222717,0.54452056,309153,116.40367,5,0.008762414,0.0,0.005205114,0.9204786792397499
200.0,200.0,0.0065808767,1695,1456.8263747692108,0.5380515,310153,114.062035,5,0.0050657657,0.0,0.0065808767,0.8365428596735001
200.0,200.0,0.01060792,1700,1461.1600186824799,0.55953085,311153,110.955956,5,0.005694014,0.0,0.01060792,0.953399334102869
200.0,200.0,0.010918563,1705,1465.7092311382294,0.5588248,312153,107.55636,5,0.008428605,0.0,0.010918563,0.9527730606496334
194.575,194.575,0.01327008,1712,1469.7463874816895,0.5047658,313336,99.63309,7,0.0075550256,0.0,0.01327008,0.6858721375465393
193.325,193.325,0.010351071,1717,1473.8907763957977,0.49926844,314286,93.372406,5,0.006864946,0.0,0.010351071,0.7840207815170288
193.325,193.325,0.018377706,1722,1479.1189849376678,0.5437544,315286,88.53241,5,0.008914199,0.0,0.018377706,0.8866158872842789
193.325,193.325,0.004084346,1727,1484.0215017795563,0.52601135,316286,83.19491,5,0.0044377176,0.0,0.004084346,0.682231992483139
193.325,193.325,0.01244285,1732,1489.0024764537811,0.5014882,317286,79.32376,5,0.0059292987,0.0,0.01244285,0.8665007799863815
193.325,193.325,0.0057705734,1737,1493.737325668335,0.5575837,318286,75.012596,5,0.004955093,0.0,0.0057705734,0.7149369418621063
193.325,193.325,0.011466611,1743,1498.4217851161957,0.5124568,319486,69.42955,6,0.006095771,0.0,0.011466611,0.6701071262359619
196.375,196.375,0.010106709,1748,1503.3926873207092,0.54090834,320486,63.96275,5,0.008588143,0.0,0.010106709,-0.039124250411987305
198.75,198.75,0.008147253,1753,1508.2450461387634,0.52093816,321486,60.23473,5,0.00497713,0.0,0.008147253,0.2184431552886963
200.0,200.0,0.0036519426,1758,1513.4051637649536,0.5669118,322486,56.196922,5,0.0035544499,0.0,0.0036519426,0.06970185041427612
200.0,200.0,0.013884324,1763,1518.4834077358246,0.5458243,323486,52.445404,5,0.009163524,0.0,0.013884324,0.07278037071228027
200.0,200.0,0.0072332784,1768,1523.6489579677582,0.53917277,324486,50.556023,5,0.009065563,0.0,0.0072332784,0.22971034049987793
200.0,200.0,0.0063346233,1773,1529.0887742042542,0.55020785,325486,46.843098,5,0.0064339247,0.0,0.0063346233,0.13986283540725708
197.1,197.1,0.009595404,1779,1533.9743206501007,0.4963044,326570,44.787037,6,0.0046154233,0.0,0.009595404,0.20621329545974731
191.95,191.95,0.007515818,1785,1538.661146402359,0.51362216,327564,41.94297,6,0.007129647,0.0,0.007515818,0.08270281553268433
191.95,191.95,0.0064535844,1790,1543.8777389526367,0.58960736,328564,42.924152,5,0.009030303,0.0,0.0064535844,0.03729826211929321
191.95,191.95,0.0115058515,1795,1548.6213717460632,0.528092,329564,43.642353,5,0.007975124,0.0,0.0115058515,0.08065676689147949
191.95,191.95,0.007556849,1800,1552.8550918102264,0.5320734,330564,45.734512,5,0.0072536045,0.0,0.007556849,0.2035185694694519
191.95,191.95,0.008287262,1806,1557.8537447452545,0.5040659,331764,46.766205,6,0.005751316,0.0,0.008287262,0.04802274703979492
191.95,191.95,0.0059013567,1811,1563.3455402851105,0.5074878,332764,49.955692,5,0.0061025573,0.0,0.0059013567,0.24989241361618042
194.85,194.85,0.008438041,1816,1568.0229902267456,0.49966913,333764,52.803905,5,0.006090957,0.0,0.008438041,0.23347508907318115
197.5,197.5,0.010920633,1821,1573.4988741874695,0.53381395,334764,56.18633,5,0.0093113845,0.0,0.010920633,0.4170490503311157
200.0,200.0,0.013385035,1826,1578.5932970046997,0.48925805,335764,59.06272,5,0.007880762,0.0,0.013385035,0.4109112620353699
200.0,200.0,0.0085102,1831,1583.6631093025208,0.51259017,336764,62.136772,5,0.005165268,0.0,0.0085102,0.36173027753829956
200.0,200.0,0.009649685,1836,1588.3524496555328,0.49414778,337764,66.52558,5,0.009335754,0.0,0.009649685,0.4907127022743225
200.0,200.0,0.0056894636,1841,1593.3523621559143,0.51351774,338764,71.53,5,0.0059472118,0.0,0.0056894636,0.14892065525054932
200.0,200.0,0.005491036,1847,1597.9614202976227,0.51376265,339964,77.29988,6,0.0068380153,0.0,0.005491036,0.43277984857559204
200.0,200.0,0.008316556,1852,1603.1572749614716,0.5093764,340964,84.444534,5,0.0070648976,0.0,0.008316556,0.4222911596298218
200.0,200.0,0.009738736,1857,1608.318939447403,0.5321748,341964,92.145584,5,0.0071357996,0.0,0.009738736,0.4871758818626404
