EpLenMean,EpTrueRewMean,EpisodesSoFar,TimeElapsed,ev_tdlam_before,optimgain,entloss,TimestepsSoFar,entropy,meankl,EpThisIter,EpRewMean,surrgain
590.775,1671.1095182988079,580,850.5926988124847,0.012439548969268799,0.093702465,0.0,588816,6.5872154,0.010748383,1,577.12354,0.093702465
573.675,1621.566927854546,582,855.0158045291901,0.9071375206112862,0.096207514,0.0,591717,6.586716,0.010398541,2,561.1921,0.096207514
582.525,1646.9090988923435,583,859.3945894241333,0.9625846929848194,0.13362634,0.0,594018,6.552551,0.010507637,1,569.6756,0.13362634
590.625,1669.5133869687265,584,863.8199722766876,-0.048210740089416504,0.094937235,0.0,597018,6.5119205,0.010827823,1,576.4855,0.094937235
592.85,1681.9502520356878,586,868.1501808166504,0.8883014619350433,0.10665794,0.0,600171,6.4904137,0.0094964355,2,581.5166,0.10665794
606.7,1734.9506199084917,588,872.5267097949982,0.9579504318535328,0.11737641,0.0,604047,6.4895163,0.009086067,2,600.2538,0.11737641
628.825,1799.5362487047146,589,876.8968408107758,0.055415213108062744,0.07973759,0.0,607047,6.491595,0.012816286,1,619.57,0.07973759
602.45,1736.2304804852574,592,881.3115816116333,0.9771419856697321,0.1011564,0.0,610560,6.4929047,0.009672637,3,599.7835,0.1011564
593.875,1723.4168790417302,594,885.7001354694366,0.9629850424826145,0.1132412,0.0,613008,6.4757223,0.01009213,2,593.9089,0.1132412
604.95,1766.6813939766841,595,890.1793079376221,0.9074263349175453,0.13172355,0.0,615216,6.4929214,0.009793511,1,605.9456,0.13172355
616.6,1809.607325145848,596,894.5704457759857,0.7176792621612549,0.07812837,0.0,618216,6.4598236,0.009264661,1,617.6121,0.07812837
629.125,1869.337587352354,598,899.3351054191589,0.9446789175271988,0.12529352,0.0,622428,6.458129,0.010809902,2,630.5962,0.12529352
644.95,1913.0751931775826,601,903.7557513713837,0.7549057304859161,0.09319753,0.0,627801,6.4512143,0.0094822785,3,638.60266,0.09319753
624.325,1863.7722373540878,603,908.2218444347382,0.949129268527031,0.09819969,0.0,629388,6.4442754,0.009692829,2,623.4276,0.09819969
626.0,1863.2923772432011,604,912.6432883739471,0.6482365131378174,0.07416375,0.0,632388,6.4247622,0.009448504,1,622.4435,0.07416375
620.75,1857.8144611106843,607,917.1094107627869,0.948399256914854,0.10188867,0.0,637614,6.4189606,0.009789599,3,617.3582,0.10188867
634.325,1912.0787776325342,609,921.5829350948334,0.9451029077172279,0.10403876,0.0,642009,6.398075,0.009685835,2,631.9978,0.10403876
641.975,1940.9781861207819,610,926.0088024139404,0.9002741947770119,0.10409786,0.0,643602,6.3995504,0.011126565,1,639.22034,0.10409786
656.325,1978.7034722437395,611,930.461243391037,-0.12351417541503906,0.085091054,0.0,646602,6.4208527,0.010324612,1,649.5682,0.085091054
631.375,1903.137415055356,613,934.8916437625885,0.9728796295821667,0.10020344,0.0,649278,6.4115562,0.009989073,2,625.77295,0.10020344
623.375,1882.0881622866334,614,939.3325128555298,0.6924950480461121,0.121942855,0.0,651069,6.4214625,0.009355125,1,618.1272,0.121942855
611.775,1853.0224126620178,616,943.7478060722351,0.7235876321792603,0.080641046,0.0,655677,6.4457994,0.009984322,2,608.09436,0.080641046
624.175,1886.0346017570664,617,948.1840398311615,-0.04300415515899658,0.08447959,0.0,658677,6.4169307,0.009527691,1,616.35126,0.08447959
638.65,1931.4009205672241,618,952.6610989570618,0.5058563053607941,0.09210859,0.0,661677,6.3892975,0.008694069,1,629.63574,0.09210859
636.175,1946.8269370332957,621,957.0821950435638,0.8738491982221603,0.09451345,0.0,667254,6.431275,0.010172473,3,634.4494,0.09451345
645.65,1984.5534490546622,623,961.5149579048157,0.9242043271660805,0.11415708,0.0,671496,6.4340816,0.010643684,2,644.7122,0.11415708
633.0,1948.8679814328275,624,966.007110118866,0.926980510354042,0.10310121,0.0,672978,6.4254007,0.0098265745,1,632.76324,0.10310121
646.375,1985.3953911278447,625,970.4287829399109,0.986244005151093,0.1283189,0.0,675561,6.4631805,0.00947207,1,641.5923,0.1283189
653.25,2009.7081502800102,626,974.8670723438263,0.13589692115783691,0.08446113,0.0,678561,6.4674826,0.009306846,1,647.64325,0.08446113
663.075,2045.5159480491122,627,979.301194190979,0.7576117515563965,0.09857543,0.0,681561,6.438232,0.009933466,1,654.3478,0.09857543
640.825,1988.254581007705,629,983.661187171936,0.9561749026179314,0.2159445,0.0,683946,6.427814,0.0093706455,2,636.66797,0.2159445
657.5,2032.0465623604712,631,988.0851747989655,0.6208617091178894,0.1014657,0.0,687873,6.3893003,0.009836623,2,648.767,0.1014657
661.425,2044.254607719956,632,992.511908531189,0.9595313146710396,0.12394312,0.0,689931,6.3379364,0.010162877,1,652.22687,0.12394312
682.125,2102.6259133326066,634,996.8737552165985,0.7403875291347504,0.07497988,0.0,694863,6.3364725,0.010202464,2,667.6626,0.07497988
674.725,2077.7540384325926,635,1001.2252275943756,0.8927247226238251,0.10491334,0.0,696183,6.370967,0.00962656,1,660.4725,0.10491334
661.55,2029.9601885087018,637,1005.6425228118896,0.6963082253932953,0.08322711,0.0,700074,6.388121,0.010962501,2,648.6911,0.08322711
665.0,2036.8456417871635,638,1010.04039478302,0.8142829090356827,0.10149363,0.0,702228,6.372559,0.0097984485,1,651.3033,0.10149363
649.025,1996.5330320062099,639,1014.4277851581573,0.8595357835292816,0.10778615,0.0,703311,6.3602757,0.009793427,1,639.18445,0.10778615
675.975,2085.405802782908,641,1018.7948136329651,0.686897486448288,0.089164436,0.0,708918,6.353759,0.010005685,2,664.4934,0.089164436
703.5,2163.2535615971187,643,1023.2270150184631,0.6559630632400513,0.09250574,0.0,713808,6.3492584,0.009822821,2,686.99304,0.09250574
687.425,2117.1132921938843,645,1027.6430370807648,0.6648237109184265,0.09430303,0.0,717579,6.371217,0.011861369,2,672.512,0.09430303
704.575,2168.6636149438914,646,1032.0590693950653,0.049710750579833984,0.072810605,0.0,720579,6.386597,0.009171719,1,687.5086,0.072810605
702.275,2159.7626977101127,647,1036.4864647388458,0.9286851733922958,0.11904507,0.0,721887,6.343829,0.010924809,1,684.59,0.11904507
686.15,2099.5436098590008,648,1040.842532157898,0.9501180686056614,0.14006871,0.0,722877,6.328617,0.010785213,1,668.1572,0.14006871
697.975,2135.2220678725453,649,1045.2862379550934,0.9238842576742172,0.104990155,0.0,725766,6.2966304,0.009896717,1,677.8799,0.104990155
694.4,2132.9629037090713,651,1049.6541850566864,0.9024966135621071,0.14924398,0.0,729930,6.2824707,0.009836312,2,680.7324,0.14924398
707.65,2172.165385357235,652,1054.1026332378387,0.026713013648986816,0.090606466,0.0,732930,6.289367,0.008933134,1,691.34393,0.090606466
722.1,2216.8100922316635,653,1058.4348692893982,0.34266048669815063,0.09512183,0.0,735930,6.2883754,0.011685977,1,704.55505,0.09512183
721.225,2212.4472936676275,654,1062.8074867725372,0.9130264148116112,0.11738169,0.0,737616,6.27557,0.010380823,1,704.27216,0.11738169
713.6,2194.2807720829205,655,1067.377830028534,0.9246728494763374,0.11594506,0.0,739701,6.298095,0.010452327,1,699.76697,0.11594506
697.6,2149.05169124049,658,1071.7843925952911,0.8069856911897659,0.09288507,0.0,745389,6.300786,0.011423092,3,686.2602,0.09288507
697.35,2134.8682616250258,660,1076.1611189842224,0.7006970345973969,0.08070919,0.0,749841,6.317886,0.009568031,2,683.05206,0.08070919
713.225,2173.786868528915,661,1080.5981872081757,0.13584822416305542,0.08476202,0.0,752841,6.2762914,0.010199535,1,693.6868,0.08476202
