entloss,optimgain,TimestepsSoFar,meankl,entropy,EpTrueRewMean,ev_tdlam_before,EpThisIter,TimeElapsed,EpisodesSoFar,surrgain,EpRewMean,EpLenMean
0.0,0.27151555,422016,0.012899097,23.434332,450.69510857153045,0.8547287434339523,10,784.4046227931976,1980,0.27151555,93.10148,89.5
0.0,0.77648646,425124,0.013583161,23.434078,468.98952457172845,0.8862578123807907,11,790.0685238838196,1991,0.77648646,94.26216,92.5
0.0,0.25294706,428229,0.01334605,23.434793,459.9495431886804,0.873554453253746,12,795.7518246173859,2003,0.25294706,92.115265,91.35
0.0,0.29039598,431265,0.012972653,23.434324,460.36851508052257,0.8817586004734039,11,801.5665535926819,2014,0.29039598,91.72972,91.65
0.0,0.3240726,434325,0.012812187,23.430902,449.97457173670756,0.8779663145542145,11,807.2352375984192,2025,0.3240726,90.83225,90.375
0.0,0.3006429,437295,0.014001876,23.429693,445.9354969516303,0.8974890112876892,11,813.1260075569153,2036,0.3006429,89.16162,89.7
0.0,0.23172337,440607,0.0042278003,23.430891,482.54118946948495,0.8039816319942474,10,818.8371479511261,2046,0.23172337,98.3288,97.525
0.0,0.29557717,443784,0.014078464,23.434332,468.17813976846685,0.9045111238956451,12,824.4249315261841,2058,0.29557717,96.54966,94.775
0.0,0.26434976,446862,0.0121337995,23.431578,490.0896623081943,0.911320686340332,9,830.2115015983582,2067,0.26434976,102.38129,99.45
0.0,0.25323328,449994,0.01359815,23.437925,477.1921916610364,0.8794920369982719,12,836.0484600067139,2079,0.25323328,98.04518,96.7
0.0,0.28333348,452835,0.014143402,23.441816,472.35246670415165,0.8770643845200539,10,841.7521674633026,2089,0.28333348,96.34926,94.9
0.0,0.25766772,456033,0.012598811,23.438898,479.31335111014505,0.8912262544035912,11,847.41761302948,2100,0.25766772,96.7641,95.925
0.0,0.47979924,458931,0.013928955,23.430094,457.77803662835834,0.857069656252861,11,853.1662166118622,2111,0.47979924,92.17226,92.025
0.0,0.26864016,462036,0.013296599,23.434147,453.8275673387958,0.8814268484711647,11,858.8812909126282,2122,0.26864016,93.92183,91.975
0.0,0.31040442,465165,0.013547413,23.429684,452.4954331516681,0.8950686603784561,12,864.6498749256134,2134,0.31040442,93.87231,91.05
0.0,0.2748829,468381,0.014033144,23.434065,446.93024963443224,0.8965533077716827,12,870.3545680046082,2146,0.2748829,93.36982,88.85
0.0,0.26755682,471492,0.013337455,23.428873,445.6035210674812,0.895538680255413,12,876.0495791435242,2158,0.26755682,92.20689,88.425
0.0,0.28708962,474693,0.014651861,23.42684,457.18385987640187,0.8915935680270195,11,881.7647576332092,2169,0.28708962,92.89073,90.6
0.0,0.27347863,477918,0.013379794,23.428732,468.164208951414,0.8954086229205132,11,887.3653373718262,2180,0.27347863,96.579124,92.9
0.0,0.2705838,480975,0.013168918,23.43107,474.16483186970424,0.8915013074874878,11,892.9691092967987,2191,0.2705838,96.35297,93.9
0.0,0.3603987,483813,0.013731232,23.429205,481.6988077407442,0.8486436456441879,10,898.6665768623352,2201,0.3603987,96.32256,95.325
0.0,0.29791057,486822,0.014740923,23.42668,476.4892314352452,0.892952673137188,11,904.4397456645966,2212,0.29791057,94.03623,94.65
0.0,0.31236202,489789,0.0146155935,23.414972,452.69379131891117,0.7598980814218521,11,910.040280342102,2223,0.31236202,88.1812,90.725
0.0,0.14499585,492774,0.0039979625,23.412577,452.1709008405739,0.9010461866855621,11,915.778712272644,2234,0.14499585,88.157425,90.55
0.0,0.26815653,495804,0.013415945,23.417564,466.84887027963725,0.8796067535877228,10,921.4500331878662,2244,0.26815653,90.70977,93.5
0.0,0.27315325,498930,0.014120344,23.416914,482.7968397259618,0.9208291247487068,10,927.1238586902618,2254,0.27315325,95.759514,97.1
0.0,0.2819034,501954,0.014087785,23.414305,503.951552596823,0.8460162132978439,9,932.7959930896759,2263,0.2819034,99.800735,101.375
0.0,0.31838673,504999,0.013362098,23.410578,508.38286228797676,0.8736231774091721,11,938.486367225647,2274,0.31838673,101.31962,101.875
0.0,0.14813969,508041,0.003860842,23.411375,517.5157491151929,0.8812203630805016,9,944.164294719696,2283,0.14813969,103.673744,103.875
0.0,0.2758408,511038,0.013696406,23.401632,505.2304105007468,0.856195479631424,11,949.7983553409576,2294,0.2758408,99.56966,100.9
0.0,0.3042963,514230,0.0138696395,23.395998,488.3959216711486,0.8723541647195816,11,955.4261226654053,2305,0.3042963,95.78517,96.95
0.0,0.15358253,517161,0.0037999605,23.39836,477.096910503457,0.8891474902629852,11,961.1100525856018,2316,0.15358253,94.86113,94.025
0.0,0.27218604,520392,0.01379882,23.400614,466.993909642291,0.8989026844501495,12,966.9152400493622,2328,0.27218604,93.704796,92.25
0.0,0.3406585,523563,0.014721615,23.39559,469.46341292243926,0.85240538418293,11,972.6511986255646,2339,0.3406585,96.23651,92.175
0.0,0.1429944,526692,0.0037665733,23.395815,462.9062881227571,0.9034728482365608,11,978.4240477085114,2350,0.1429944,94.16946,92.3
0.0,0.27569544,529890,0.014733778,23.392988,468.4617112237003,0.8753148093819618,11,984.1553711891174,2361,0.27569544,94.495125,92.975
0.0,0.27772167,532749,0.014893466,23.3926,484.31705555079515,0.9012915268540382,10,989.9444260597229,2371,0.27772167,97.41282,96.325
0.0,0.27489197,535659,0.014384085,23.393305,489.983377437646,0.8668096661567688,9,995.5699527263641,2380,0.27489197,96.79087,97.4
0.0,0.29354072,538809,0.014916617,23.392584,492.7187151131981,0.8613987565040588,11,1001.212559223175,2391,0.29354072,95.286804,98.25
0.0,0.30684555,541668,0.014570701,23.392172,493.2419968985196,0.8110973387956619,10,1006.8207290172577,2401,0.30684555,95.10451,98.15
0.0,0.32291955,544818,0.01418977,23.393246,503.20837431460205,0.8962623402476311,10,1012.6077933311462,2411,0.32291955,95.57403,100.575
0.0,0.29401836,548376,0.014985668,23.392805,502.053512064226,0.8653310537338257,12,1018.3348350524902,2423,0.29401836,94.20666,99.85
0.0,0.30097744,551718,0.014555199,23.3938,516.6160040758566,0.8353416621685028,10,1024.1526930332184,2433,0.30097744,99.4579,102.55
0.0,0.29690772,554883,0.014592875,23.393332,507.22083839417485,0.8985487297177315,11,1029.8579292297363,2444,0.29690772,96.266075,101.5
0.0,0.3023181,557859,0.014857833,23.394709,498.233033075616,0.8778334707021713,10,1035.6367654800415,2454,0.3023181,96.47243,100.175
0.0,0.32164395,560934,0.0144911,23.396502,496.3432429439953,0.7981765419244766,11,1041.3454644680023,2465,0.32164395,98.006454,98.875
0.0,0.1540824,563973,0.0039305734,23.394773,493.2447789440457,0.8266232758760452,9,1046.9676299095154,2474,0.1540824,98.4531,98.775
0.0,0.34136462,567078,0.014329466,23.39396,501.0138968287545,0.9035692736506462,11,1052.6119313240051,2485,0.34136462,100.3414,99.1
0.0,0.28771326,569991,0.013792651,23.391848,495.16694317573456,0.9158218055963516,10,1058.2832403182983,2495,0.28771326,98.32411,97.925
0.0,0.15399358,572907,0.003882954,23.391912,522.5075357129548,0.8661642521619797,8,1064.0506656169891,2503,0.15399358,104.968155,103.575
0.0,0.1446569,575775,0.003805403,23.390863,512.9298737504496,0.8864528313279152,10,1069.7327926158905,2513,0.1446569,103.66327,101.625
0.0,0.13911334,578634,0.0037774448,23.38819,504.30254908015866,0.8637441843748093,10,1075.4092881679535,2523,0.13911334,101.73794,100.45
0.0,0.15897739,581751,0.0038469136,23.389666,509.27946866856917,0.867511048913002,11,1081.0955114364624,2534,0.15897739,103.352005,101.425
0.0,0.14547732,584562,0.0039259978,23.390627,485.3336514819019,0.89448032528162,9,1086.9576389789581,2543,0.14547732,96.52484,97.125
0.0,0.3175347,587730,0.0147612505,23.39227,494.91091324364135,0.9150721207261086,10,1092.7892849445343,2553,0.3175347,97.20211,99.625
0.0,0.15820792,590799,0.0039595054,23.39036,508.5488091874537,0.8885095342993736,10,1098.41361784935,2563,0.15820792,99.00396,101.375
0.0,0.1555663,593892,0.004011785,23.3902,518.2924289882154,0.9019385501742363,10,1104.2159750461578,2573,0.1555663,100.0988,103.275
0.0,0.29518163,596886,0.014410928,23.393003,530.1241878811782,0.8905240818858147,9,1109.9721841812134,2582,0.29518163,102.12701,105.2
0.0,0.2764784,599952,0.014735974,23.39455,513.777340412588,0.8910855948925018,11,1115.6935641765594,2593,0.2764784,99.79897,101.85
0.0,0.32471114,603063,0.013740818,23.39069,501.5433013196197,0.8634308576583862,11,1121.4722599983215,2604,0.32471114,97.74678,99.925
0.0,0.15977362,605949,0.0042507714,23.392069,489.35579153549736,0.8653602302074432,10,1127.2535138130188,2614,0.15977362,94.04222,97.15
0.0,0.3404007,608802,0.01496345,23.395086,481.527460707263,0.8416744470596313,10,1132.8871369361877,2624,0.3404007,94.47606,95.525
0.0,0.1562765,611838,0.0038394374,23.398764,505.062378948453,0.852307602763176,9,1138.6076169013977,2633,0.1562765,98.71348,99.05
0.0,0.1523697,615123,0.0040066177,23.399088,514.1549235198793,0.87469282746315,11,1144.6196477413177,2644,0.1523697,100.913925,100.5
0.0,0.15815023,617994,0.0041090176,23.402182,510.5290214286944,0.8959633633494377,10,1150.3886361122131,2654,0.15815023,102.50438,100.375
0.0,0.32446384,620862,0.01429331,23.396479,508.5119241508528,0.8683785796165466,10,1156.144458770752,2664,0.32446384,101.47752,100.5
0.0,0.2917429,623826,0.01345783,23.393633,498.6358948193741,0.9124789983034134,9,1161.9615375995636,2673,0.2917429,98.79756,99.9
0.0,0.3614039,627099,0.014723716,23.389425,478.52997103125637,0.9135800674557686,12,1167.7508144378662,2685,0.3614039,94.623505,96.8
0.0,0.29695207,630273,0.014376855,23.389383,498.63658515217594,0.8647492676973343,10,1173.5364272594452,2695,0.29695207,96.20522,100.325
0.0,0.13776362,633090,0.0038462384,23.3877,496.37459840139337,0.8824423253536224,10,1179.2990791797638,2705,0.13776362,95.5386,99.7
0.0,0.40379542,636042,0.01359887,23.387613,485.2211856821418,0.8350050449371338,10,1185.0883445739746,2715,0.40379542,94.73507,97.35
0.0,0.15296063,639225,0.00424225,23.38721,503.77632045197714,0.7813302427530289,10,1190.8714001178741,2725,0.15296063,99.11604,101.05
0.0,0.30894598,642612,0.014475399,23.388493,515.0769670255204,0.8739242851734161,10,1196.6047811508179,2735,0.30894598,101.54568,102.825
0.0,0.31374523,645717,0.014034683,23.385519,539.7466255589641,0.9118639901280403,9,1202.376708984375,2744,0.31374523,106.00676,107.45
0.0,0.14174323,648876,0.0038906515,23.38249,540.9204635866836,0.8799576535820961,11,1208.119286775589,2755,0.14174323,107.26158,106.95
0.0,0.32065064,652131,0.0143563,23.375423,554.0581939322526,0.9025484248995781,9,1213.9921345710754,2764,0.32065064,108.30117,110.075
0.0,0.30364293,655452,0.0145538,23.38133,541.839849317564,0.9226084426045418,11,1219.879925251007,2775,0.30364293,105.69824,107.0
0.0,0.1428992,658302,0.003779057,23.379885,545.5927859550154,0.8799012750387192,8,1225.7019832134247,2783,0.1428992,103.75462,108.3
0.0,0.2745637,661305,0.014003418,23.378176,553.1539156907174,0.9013060554862022,9,1231.4250297546387,2792,0.2745637,105.155075,110.35
0.0,0.15198484,664380,0.0039391164,23.38104,539.6926545021092,0.8614667057991028,10,1237.2256491184235,2802,0.15198484,101.53493,108.175
0.0,0.2960076,667167,0.013232984,23.387674,540.0357410108531,0.8692330718040466,8,1242.9394545555115,2810,0.2960076,99.262985,109.175
0.0,0.14873871,670416,0.0039778734,23.384275,534.1713964159521,0.8950478211045265,10,1248.6981296539307,2820,0.14873871,99.80088,108.9
0.0,0.14663345,673491,0.0040600356,23.3845,545.8378408039003,0.847222775220871,9,1254.446767091751,2829,0.14663345,101.86209,110.525
0.0,0.16158113,676617,0.0037602591,23.383299,538.2380422530516,0.8542772382497787,10,1260.2970061302185,2839,0.16158113,100.177124,108.425
0.0,0.2571144,679644,0.013419913,23.389914,529.7916860131394,0.8612285256385803,10,1266.1918795108795,2849,0.2571144,101.909195,106.525
0.0,0.1446506,682719,0.0039239367,23.389383,524.4131119109934,0.9135830327868462,10,1271.9657189846039,2859,0.1446506,100.98097,104.525
0.0,0.26062036,685500,0.013272684,23.392073,506.9093857795351,0.9235550314188004,9,1277.7427365779877,2868,0.26062036,97.48018,102.025
0.0,0.14475517,688677,0.0039159195,23.391619,533.6080589507199,0.9147805720567703,9,1283.4898674488068,2877,0.14475517,103.758896,106.675
0.0,0.14598984,691563,0.0038083317,23.391134,532.2436233510347,0.8874025419354439,10,1289.3252160549164,2887,0.14598984,103.70526,104.925
0.0,0.15925492,694530,0.0040374845,23.393068,526.6726452678392,0.859114870429039,10,1295.1477346420288,2897,0.15925492,102.62185,103.825
0.0,0.3327038,697491,0.014778032,23.389643,544.0372023120588,0.8950234651565552,8,1300.9672741889954,2905,0.3327038,105.1689,107.675
0.0,0.3608095,700593,0.01467479,23.38967,524.6350931069713,0.9146895185112953,10,1306.6556832790375,2915,0.3608095,101.5915,104.05
