EpThisIter,ev_tdlam_before,surrgain,EpisodesSoFar,entropy,EpRewMean,EpTrueRewMean,EpLenMean,meankl,optimgain,entloss,TimestepsSoFar,TimeElapsed
1,-0.4100179672241211,0.068889916,452,4.283514,821.97003,847.5888234529018,864.0,0.008199092,0.068889916,0.0,966150,1202.930947303772
1,-0.0354686975479126,0.044126928,453,4.289667,822.654,847.7273656066021,864.0,0.008060275,0.044126928,0.0,969150,1207.3036494255066
1,-0.0498967170715332,0.053063333,454,4.28137,822.3594,848.3739719173029,864.0,0.008764433,0.053063333,0.0,972150,1211.6815159320831
1,-0.007183551788330078,0.04591649,455,4.2813725,823.2663,848.7896879070998,864.0,0.0077970163,0.04591649,0.0,975150,1215.9605429172516
1,0.7619222849607468,0.048330657,456,4.2571807,829.2254,856.1825119828907,871.325,0.008764336,0.048330657,0.0,978150,1220.17622423172
1,0.06770634651184082,0.06316008,457,4.254572,829.83167,857.0799472857886,871.325,0.008042708,0.06316008,0.0,981150,1224.4838418960571
2,0.07525604963302612,0.065629646,459,4.2499657,842.44806,869.6169140047216,884.65,0.00720498,0.065629646,0.0,986373,1229.438288450241
1,-0.05522799491882324,0.059964128,460,4.2481136,843.14,869.996891017905,884.65,0.008328169,0.059964128,0.0,989373,1234.25412940979
1,-0.01067054271697998,0.049683347,461,4.246437,844.671,871.0983904563549,884.65,0.0075436602,0.049683347,0.0,992373,1238.773452758789
1,0.12075173854827881,0.047206525,462,4.2476125,844.09686,869.6625489081438,884.65,0.0077250395,0.047206525,0.0,995373,1242.973873615265
1,0.2450176477432251,0.04910958,463,4.23715,862.57434,891.6606022498481,905.85,0.008280388,0.04910958,0.0,998373,1246.9839425086975
1,-0.16086030006408691,0.045599394,464,4.235863,861.431,892.1468424101022,905.85,0.009474946,0.045599394,0.0,1001373,1250.8425085544586
