surrgain,TimestepsSoFar,ev_tdlam_before,EpRewMean,meankl,entropy,EpTrueRewMean,EpLenMean,entloss,optimgain,EpThisIter,TimeElapsed,EpisodesSoFar
0.072069675,427215,0.8062158823013306,151.63254,0.0089657735,3.6239326,625.2737073672935,331.675,0.0,0.072069675,4,593.2887809276581,304
0.08410664,430191,0.7729821056127548,155.17496,0.009993187,3.6318686,615.0752380315661,325.125,0.0,0.08410664,4,597.6454155445099,308
0.07324142,433266,0.8425380736589432,157.85257,0.0098450985,3.591437,614.7777592088978,314.525,0.0,0.07324142,3,601.8830945491791,311
0.07629492,436734,0.8585335612297058,158.45625,0.0101169245,3.5990012,590.4352289341622,292.125,0.0,0.07629492,5,606.1302139759064,316
0.078833535,439749,0.7937845587730408,162.65811,0.010202276,3.61426,608.7267785064814,294.175,0.0,0.078833535,4,610.4257225990295,320
0.07631984,442920,0.8595463633537292,164.08023,0.0097653,3.6311944,611.4958204388556,287.175,0.0,0.07631984,4,614.6766691207886,324
0.08281265,445470,0.906886450946331,162.33061,0.008718086,3.6502602,614.2666417538223,283.85,0.0,0.08281265,3,618.9842720031738,327
0.07443774,449169,0.7519216984510422,159.16188,0.010021625,3.631264,611.2990081120549,276.3,0.0,0.07443774,4,623.295173406601,331
0.066772684,452949,0.8839892223477364,160.70439,0.010100179,3.5925295,636.1802192875526,281.1,0.0,0.066772684,4,627.6548619270325,335
0.073498726,456180,0.7908494472503662,160.42581,0.009860982,3.5685666,650.4767349507991,282.525,0.0,0.073498726,3,631.9867353439331,338
0.057238303,459783,0.8822132796049118,161.87247,0.009179054,3.5170267,666.1228259302709,283.025,0.0,0.057238303,4,636.3243691921234,342
0.07115309,462810,0.9518414698541164,164.19136,0.008800657,3.5312493,691.9397168170404,290.775,0.0,0.07115309,3,640.6813564300537,345
0.06830282,464940,0.8596779108047485,166.99736,0.0097163785,3.5394201,715.6011601423618,295.875,0.0,0.06830282,2,645.0041618347168,347
0.07511157,467622,0.8531252294778824,166.66214,0.00874741,3.5017083,727.9302759224713,298.925,0.0,0.07511157,3,649.3045074939728,350
0.06389283,470766,0.94743637368083,168.39798,0.009558662,3.491401,749.1553795534408,306.925,0.0,0.06389283,2,653.6305003166199,352
0.05817882,474498,0.8072886914014816,169.49968,0.01107673,3.4850786,772.4799265564328,314.7,0.0,0.05817882,4,657.9076888561249,356
0.0842962,477843,0.853380024433136,173.9583,0.009777942,3.4348378,803.0837255691334,325.425,0.0,0.0842962,3,662.2577908039093,359
0.059057917,480711,0.9389393553137779,173.78659,0.008789615,3.3931258,805.248592096423,328.475,0.0,0.059057917,3,666.5346190929413,362
0.07093458,483297,0.8862471580505371,174.1149,0.009754721,3.3976743,820.6263132109092,336.475,0.0,0.07093458,2,670.8482720851898,364
0.064472824,486369,0.9259893596172333,172.4137,0.009972185,3.3862221,802.1861434293786,322.225,0.0,0.064472824,5,675.1462650299072,369
0.055439968,489210,0.974840460345149,170.86613,0.008548246,3.433866,791.1966389433798,315.325,0.0,0.055439968,4,679.4111771583557,373
0.065902494,492807,0.9257988706231117,170.81831,0.010624743,3.3826602,788.8665876935931,308.45,0.0,0.065902494,4,683.7446963787079,377
0.063010134,495576,0.9662573672831059,169.86264,0.009489255,3.3673022,799.0963247442148,307.7,0.0,0.063010134,4,688.0059902667999,381
0.061935186,498633,0.9624576456844807,162.62692,0.010357296,3.331208,777.4151246019771,298.525,0.0,0.061935186,4,692.3178339004517,385
0.05822346,501717,0.9367041811347008,158.03293,0.009089578,3.320458,760.6657158137933,290.075,0.0,0.05822346,4,696.5755941867828,389
0.08891314,504978,0.9286419153213501,148.96294,0.0090860175,3.3030486,727.5680261048731,273.3,0.0,0.08891314,4,700.8301527500153,393
0.06485312,507999,0.9454248994588852,154.1449,0.010226575,3.2805393,733.4204566300134,270.9,0.0,0.06485312,4,705.1659362316132,397
0.057456754,511023,0.9658901207149029,149.9862,0.008504741,3.2540517,709.9673337965418,258.825,0.0,0.057456754,4,709.5361223220825,401
0.050188433,514320,0.9386459030210972,148.62302,0.009998738,3.2327182,690.7828504649973,247.325,0.0,0.050188433,5,713.795398235321,406
0.07050337,517137,0.973583972081542,149.83578,0.009764921,3.1812158,699.61111980805,250.15,0.0,0.07050337,4,718.0492177009583,410
0.080813915,519921,0.970598865300417,146.42622,0.0093847625,3.1423244,691.5916763027535,245.625,0.0,0.080813915,4,722.3717081546783,414
0.067491636,523248,0.9691038262099028,146.81734,0.009287014,3.0860314,688.9439892204907,243.725,0.0,0.067491636,5,726.6845636367798,419
0.065888874,526317,0.9487359151244164,146.87164,0.009155607,3.0903018,686.187502904511,243.125,0.0,0.065888874,4,730.981876373291,423
0.061351523,529374,0.9852756867185235,148.53879,0.009626999,3.0409849,685.6392267701818,243.175,0.0,0.061351523,4,735.2881627082825,427
0.057776798,532002,0.8521487265825272,148.61821,0.009766331,3.0307007,673.8114346054597,239.15,0.0,0.057776798,4,739.6168875694275,431
0.070269264,534750,0.6187197268009186,142.9299,0.010731954,3.033325,643.1412528249741,228.5,0.0,0.070269264,5,743.9274256229401,436
0.06125833,537741,0.962790846824646,143.03468,0.011282841,3.0284727,648.2513447686295,228.9,0.0,0.06125833,4,748.3216540813446,440
0.06277768,540702,0.9820512048900127,142.75627,0.010615419,2.961881,650.8532871609744,229.75,0.0,0.06277768,4,752.5788192749023,444
0.071202345,543906,0.9888363992795348,145.66602,0.009613626,2.909513,666.8913769312179,234.775,0.0,0.071202345,4,756.910902261734,448
0.064777695,547113,0.962591677904129,149.38414,0.010253224,2.8099873,677.6569000509138,237.975,0.0,0.064777695,4,761.1614236831665,452
0.0694013,550575,0.925057977437973,146.28052,0.009593099,2.8131382,666.0381484347565,233.7,0.0,0.0694013,6,765.404846906662,458
0.084220745,553764,0.9287393614649773,149.4451,0.009339241,2.80429,678.8879246051445,235.175,0.0,0.084220745,4,769.7121782302856,462
0.066903636,556548,0.9627163708209991,148.0024,0.009636549,2.8368638,677.2302237609013,232.825,0.0,0.066903636,4,773.9979581832886,466
0.091954365,559812,0.9798697326332331,148.67555,0.010997526,2.7993362,681.8871558431191,231.75,0.0,0.091954365,5,778.3086578845978,471
0.07109072,562959,0.9339382201433182,147.96648,0.011813511,2.8652873,692.7321511676207,235.075,0.0,0.07109072,5,782.6442453861237,476
0.05808869,565716,0.98607531003654,147.53854,0.009133831,2.8987148,687.6927946109921,233.125,0.0,0.05808869,4,786.9619927406311,480
0.057554655,568950,0.974123502150178,145.55446,0.010130747,2.8681037,679.0630827735998,229.35,0.0,0.057554655,5,791.3067855834961,485
0.06626552,571854,0.9902360513806343,145.06096,0.010282882,2.7839363,678.8999484497754,228.55,0.0,0.06626552,4,795.6070141792297,489
0.06853981,574719,0.9868582105264068,142.63835,0.011194167,2.7359035,668.6888596872983,224.3,0.0,0.06853981,4,799.8886692523956,493
0.073325604,578100,0.8243341445922852,142.43295,0.010201164,2.7218301,667.06027644687,223.575,0.0,0.073325604,6,804.2435450553894,499
0.06257479,581289,0.9492818228900433,140.31467,0.009932591,2.7892563,650.5830828636222,217.1,0.0,0.06257479,5,808.545378446579,504
0.07269807,584193,0.8607583045959473,137.38843,0.009991582,2.770652,637.4187837734205,214.65,0.0,0.07269807,5,812.8717358112335,509
0.075210445,586995,0.923396997153759,136.04585,0.009616011,2.7866714,641.2621753065655,216.725,0.0,0.075210445,4,817.1786177158356,513
0.0783828,589875,0.9909889325499535,141.93813,0.009735805,2.773532,652.3629337691937,219.175,0.0,0.0783828,4,821.4675712585449,517
0.07208093,593013,0.9669399671256542,142.66907,0.009941067,2.7635164,646.3550670420424,216.025,0.0,0.07208093,5,825.7468392848969,522
0.07545145,596259,0.8912860825657845,143.10307,0.011244991,2.724893,644.1992358071982,215.175,0.0,0.07545145,5,830.0570828914642,527
0.061714806,599223,0.9815289676189423,145.07063,0.010569243,2.6810715,647.8988837537474,216.15,0.0,0.061714806,4,834.4109289646149,531
0.06619927,602025,0.9479428082704544,146.40714,0.010271898,2.6875618,653.6800726236763,218.35,0.0,0.06619927,4,838.7467324733734,535
0.0897523,605367,0.9055560007691383,150.03816,0.010547806,2.6631274,660.8298887632797,221.475,0.0,0.0897523,5,843.0408952236176,540
0.08535377,608721,0.9850927479565144,153.70981,0.010611273,2.641796,667.8543791158341,222.75,0.0,0.08535377,5,847.3113417625427,545
0.06611361,611511,0.9318635016679764,154.23865,0.010696236,2.579557,665.8828537168871,221.2,0.0,0.06611361,5,851.62681889534,550
0.06938276,614361,0.9911445621401072,157.61978,0.011346486,2.5684843,673.0254853241297,222.125,0.0,0.06938276,4,855.9280302524567,554
0.048816234,617613,0.9288476184010506,155.21866,0.009524219,2.5568733,663.0744785203362,219.7,0.0,0.048816234,5,860.1677103042603,559
0.06114714,620532,0.8756738379597664,153.6873,0.01001038,2.5321953,653.4883461575503,217.75,0.0,0.06114714,5,864.45827293396,564
0.053376757,623619,0.8759173825383186,153.46667,0.0037677835,2.5181878,648.0208235555892,215.8,0.0,0.053376757,5,869.0470335483551,569
0.06338917,626382,0.9926633215509355,155.93735,0.011030664,2.4985654,650.9512583998192,215.325,0.0,0.06338917,4,873.3597407341003,573
0.066968806,629202,0.9918440757319331,155.27213,0.010750876,2.4679537,651.3593473619978,214.85,0.0,0.066968806,4,877.7153904438019,577
0.07056197,631758,0.8806739822030067,155.5828,0.010926437,2.4801633,650.4906783416831,214.55,0.0,0.07056197,4,882.0649931430817,581
