EpisodesSoFar,entloss,entropy,optimgain,EpThisIter,TimeElapsed,TimestepsSoFar,EpRewMean,ev_tdlam_before,meankl,surrgain,EpTrueRewMean,EpLenMean
398,0.0,3.4822674,0.058869883,1,536.3691718578339,456903,2456.0048721181192,0.24004775285720825,0.008674266,0.058869883,2456.0048721181192,874.575
399,0.0,3.4799736,0.047913656,1,540.0412917137146,459903,2482.0490857339623,-0.07862222194671631,0.008817991,0.047913656,2482.0490857339623,884.025
400,0.0,3.5059516,0.06570841,1,543.8022611141205,462750,2524.354070850976,0.917111299932003,0.008317934,0.06570841,2524.354070850976,900.025
401,0.0,3.5663474,0.041786335,1,547.5152342319489,465750,2523.1176294617994,0.04149901866912842,0.008575234,0.041786335,2523.1176294617994,900.025
402,0.0,3.59256,0.051825993,1,551.3289659023285,468750,2517.988018846762,0.05804705619812012,0.010388174,0.051825993,2517.988018846762,900.025
403,0.0,3.5404356,0.045534283,1,555.1371560096741,471750,2510.9200651004676,-0.010026216506958008,0.008857516,0.045534283,2510.9200651004676,900.4
404,0.0,3.474235,0.053711668,1,558.8569259643555,474750,2506.0023408219504,0.017746806144714355,0.009762304,0.053711668,2506.0023408219504,900.4
405,0.0,3.4496763,0.04143618,1,562.5391232967377,477750,2567.174492167034,0.00899285078048706,0.009662333,0.04143618,2567.174492167034,920.95
406,0.0,3.477204,0.058024004,1,566.2102136611938,480750,2562.9999878624935,0.9130124524235725,0.008906728,0.058024004,2562.9999878624935,921.925
407,0.0,3.5122678,0.050287057,1,569.9647433757782,483750,2563.619563289035,-0.017832517623901367,0.008139582,0.050287057,2563.619563289035,921.925
408,0.0,3.5247111,0.04871215,1,573.6880807876587,486750,2578.000403383755,0.15599077939987183,0.010522613,0.04871215,2578.000403383755,926.65
410,0.0,3.5373251,0.06011525,2,577.4058213233948,489675,2514.651978308351,0.9181769415736198,0.008353674,0.06011525,2514.651978308351,903.8
411,0.0,3.5462408,0.043684803,1,581.0569150447845,492675,2541.651814187229,-0.009095311164855957,0.0093322005,0.043684803,2541.651814187229,915.65
412,0.0,3.5196466,0.04788177,1,584.8366160392761,495675,2582.7897494272715,0.015389621257781982,0.0091829505,0.04788177,2582.7897494272715,930.1
413,0.0,3.5286272,0.043673035,1,588.5883984565735,498675,2629.4737420210704,0.04419070482254028,0.008272095,0.043673035,2629.4737420210704,947.85
414,0.0,3.5020163,0.0494917,1,592.2292175292969,501675,2625.58117646666,-0.08876800537109375,0.008405391,0.0494917,2625.58117646666,947.85
415,0.0,3.4823847,0.053217568,1,595.9642395973206,504675,2624.7978792371223,0.04080319404602051,0.009355152,0.053217568,2624.7978792371223,947.85
416,0.0,3.4927893,0.049710944,1,599.7340984344482,507675,2622.140240141007,-0.07577478885650635,0.009266393,0.049710944,2622.140240141007,947.85
418,0.0,3.4823606,0.05785236,2,603.5354335308075,511860,2584.1734291111075,0.7174631059169769,0.009583963,0.05785236,2584.1734291111075,932.725
419,0.0,3.463196,0.06220101,1,607.2219889163971,513993,2566.1587150544306,0.8923719897866249,0.008921418,0.06220101,2566.1587150544306,925.5
420,0.0,3.4658136,0.041448265,1,610.9615924358368,516993,2582.470393019542,0.005527853965759277,0.009740082,0.041448265,2582.470393019542,932.4
421,0.0,3.4664328,0.060518146,1,614.6345777511597,519750,2581.797995589349,0.7826646566390991,0.008534484,0.060518146,2581.797995589349,930.375
422,0.0,3.452636,0.045997262,1,618.3420302867889,522750,2584.7973588550963,-0.002072572708129883,0.009709426,0.045997262,2584.7973588550963,930.375
423,0.0,3.4739294,0.04363652,1,622.0872845649719,525750,2590.513859215977,-0.22967076301574707,0.008812141,0.04363652,2590.513859215977,930.375
424,0.0,3.484046,0.039728075,1,625.7787470817566,528750,2594.419470155135,-0.017551779747009277,0.008749885,0.039728075,2594.419470155135,930.375
425,0.0,3.467224,0.049655076,1,629.4265320301056,531750,2604.486339500986,0.027102649211883545,0.008108789,0.049655076,2604.486339500986,930.375
426,0.0,3.5041192,0.05880747,1,633.0678548812866,533997,2594.546315888846,0.9397847801446915,0.009022571,0.05880747,2594.546315888846,924.1
427,0.0,3.5167456,0.041915156,1,636.7818036079407,536997,2600.506853636173,0.01605391502380371,0.008736412,0.041915156,2600.506853636173,924.1
428,0.0,3.4648676,0.047733247,1,640.4966962337494,539997,2623.0920377946595,0.018068552017211914,0.008092084,0.047733247,2623.0920377946595,931.575
429,0.0,3.4492493,0.047529664,1,644.2515125274658,542997,2629.961910009376,0.019558429718017578,0.00894277,0.047529664,2629.961910009376,931.575
430,0.0,3.5020144,0.05827418,1,647.9924004077911,545997,2635.5636574930622,0.05693507194519043,0.010022164,0.05827418,2635.5636574930622,931.575
431,0.0,3.5087888,0.049829133,1,651.694317817688,548997,2641.1765796325562,-0.030281543731689453,0.008978585,0.049829133,2641.1765796325562,931.575
432,0.0,3.5097127,0.07034667,1,655.3838918209076,550998,2626.6289393903853,0.9292434006929398,0.009321479,0.07034667,2626.6289393903853,923.25
433,0.0,3.538535,0.063589975,1,658.9890487194061,553122,2615.15111380487,0.9250354543328285,0.0085154,0.063589975,2615.15111380487,915.95
434,0.0,3.5438516,0.060305838,1,662.6318960189819,556101,2620.453394779277,0.8911997899413109,0.008683454,0.060305838,2620.453394779277,915.775
