EpTrueRewMean,ev_tdlam_before,TimestepsSoFar,EpLenMean,meankl,optimgain,EpThisIter,entropy,surrgain,EpisodesSoFar,entloss,TimeElapsed,EpRewMean
555.0348742218478,0.8884018287062645,856824,111.075,0.004689333,0.14562155,10,23.299623,0.14562155,3377,0.0,1594.8472714424133,101.08116
558.0588786374944,0.8569431304931641,859752,110.6,0.004626252,0.16099551,9,23.298563,0.16099551,3386,0.0,1600.544893026352,105.54326
558.5134447576199,0.895927295088768,862995,110.35,0.0045182584,0.15912074,9,23.2971,0.15912074,3395,0.0,1606.1121549606323,105.54622
564.2138045209367,0.882812112569809,866130,111.075,0.0044725323,0.16759723,9,23.295897,0.16759723,3404,0.0,1611.6882469654083,108.09206
581.4956267972873,0.8463481068611145,869139,113.775,0.004417786,0.1636248,9,23.295416,0.1636248,3413,0.0,1617.280698299408,112.34888
582.7240794662238,0.9353919476270676,872472,113.95,0.004481253,0.16063245,10,23.295961,0.16063245,3423,0.0,1622.9299051761627,112.129616
561.7179474419979,0.87682044506073,875274,110.075,0.0040620067,0.1682192,9,23.297602,0.1682192,3432,0.0,1628.5816614627838,107.63228
547.9065793713366,0.8546267598867416,878445,107.125,0.0039705737,0.15415026,10,23.296957,0.15415026,3442,0.0,1634.4013633728027,105.605225
557.1411607549862,0.8847907707095146,881568,109.1,0.0042761397,0.15698992,9,23.295164,0.15698992,3451,0.0,1640.0390005111694,106.868675
535.0262273826912,0.9073402807116508,884706,104.675,0.004111932,0.15424344,11,23.296385,0.15424344,3462,0.0,1645.7011539936066,102.242714
533.879160882269,0.8238863497972488,887523,104.675,0.003793488,0.13646932,9,23.296139,0.13646932,3471,0.0,1651.2600588798523,103.89427
528.2851192347811,0.9147222265601158,890367,103.15,0.003776627,0.14734337,9,23.296368,0.14734337,3480,0.0,1656.8297488689423,103.17
517.3425866647474,0.9025317505002022,893364,100.925,0.0042761974,0.15218875,10,23.296892,0.15218875,3490,0.0,1662.4312694072723,100.92594
513.2626776760637,0.8912008255720139,896385,101.125,0.0038411773,0.14396507,10,23.295877,0.14396507,3500,0.0,1668.1165881156921,100.97688
537.385160887689,0.9197418093681335,899274,106.075,0.014923721,0.30314854,8,23.294428,0.30314854,3508,0.0,1673.6873247623444,105.37858
559.9915336870702,0.8867918848991394,902493,111.1,0.004932155,0.20234704,9,23.293053,0.20234704,3517,0.0,1679.3506910800934,106.999146
554.125756952372,0.8533219248056412,905568,110.1,0.014604304,0.3129393,10,23.295591,0.3129393,3527,0.0,1684.949066400528,105.84896
553.3707562318416,0.8639195263385773,908559,108.475,0.004194167,0.14597586,10,23.29352,0.14597586,3537,0.0,1690.5325677394867,104.76959
551.8286360703027,0.9069786295294762,911568,108.95,0.0038962497,0.15424602,9,23.291338,0.15424602,3546,0.0,1696.1863548755646,104.8135
545.7891105012466,0.8924511522054672,914520,108.25,0.004436032,0.16475402,9,23.290464,0.16475402,3555,0.0,1701.837387561798,104.76052
538.6860258420093,0.8897445127367973,917583,104.65,0.0044292845,0.1651813,10,23.290361,0.1651813,3565,0.0,1707.4458665847778,102.8219
542.9989360126522,0.9142996519804001,920823,106.35,0.003943478,0.14171135,10,23.292486,0.14171135,3575,0.0,1713.2502233982086,102.96724
554.8583954208672,0.8436922281980515,923808,108.675,0.003968185,0.15567955,9,23.291742,0.15567955,3584,0.0,1719.127168893814,105.77566
549.0912793655353,0.8958991691470146,927045,106.875,0.0039028495,0.13913512,10,23.288067,0.13913512,3594,0.0,1724.6779339313507,103.42511
552.7325722856579,0.909367710351944,930078,108.85,0.0038871935,0.1451889,9,23.289309,0.1451889,3603,0.0,1730.3950653076172,104.28247
