meankl,entropy,EpisodesSoFar,optimgain,entloss,TimeElapsed,EpThisIter,EpLenMean,EpRewMean,EpTrueRewMean,ev_tdlam_before,surrgain,TimestepsSoFar
0.008147869,7.413514,440,0.09153108,0.0,568.178718328476,1,563.925,491.49432,1571.281112688946,0.7271401882171631,0.09153108,386481
0.008194588,7.4326944,441,0.10920201,0.0,572.604088306427,1,559.225,485.31183,1549.2732818953614,0.9304970875382423,0.10920201,387042
0.0077841934,7.4338994,444,0.0868265,0.0,576.9508836269379,3,527.775,454.92798,1451.0898836813217,0.8751669302582741,0.0868265,389346
0.008322684,7.429688,446,0.099210955,0.0,581.3347728252411,2,525.05,454.9829,1448.3700664451521,0.8435407131910324,0.099210955,390990
0.009473994,7.4412265,448,0.09586878,0.0,585.7942230701447,2,515.9,445.72592,1424.0865302157208,0.9351634159684181,0.09586878,395367
0.008606687,7.434496,449,0.080179535,0.0,590.2339487075806,1,531.95,458.86603,1475.6403019645034,0.29525768756866455,0.080179535,398367
0.008426962,7.417528,450,0.10269578,0.0,594.6029987335205,1,526.125,449.9161,1451.9392205574336,0.8046193867921829,0.10269578,399480
0.008494446,7.412232,451,0.08045478,0.0,598.9445226192474,1,542.45,462.15323,1497.3607809019554,0.06103998422622681,0.08045478,402480
0.0081053935,7.4277306,452,0.08661984,0.0,603.3807017803192,1,559.525,475.29376,1546.520267399374,0.11188465356826782,0.08661984,405480
0.008213426,7.414059,453,0.0915072,0.0,607.8496809005737,1,564.7,480.03564,1564.486928400871,0.7995801568031311,0.0915072,406950
0.008786671,7.3786464,454,0.09162313,0.0,612.2974781990051,1,582.575,496.43243,1624.420638115835,0.15871495008468628,0.09162313,409950
0.008494586,7.3780484,456,0.0900905,0.0,616.7028138637543,2,604.375,517.2464,1691.67075431068,0.4436928629875183,0.0900905,414636
0.0091017485,7.374695,458,0.09974313,0.0,621.1305406093597,2,601.6,513.6532,1681.609947719518,0.7136228680610657,0.09974313,418161
0.007750483,7.3668785,460,0.082433686,0.0,625.6147961616516,2,624.6,530.48376,1743.5957002051714,0.5908002555370331,0.082433686,422988
0.009157419,7.3661337,461,0.10145595,0.0,630.0110235214233,1,628.7,535.6201,1758.1350977004106,0.8963869959115982,0.10145595,424767
0.008645919,7.3546305,463,0.10209268,0.0,634.4330422878265,2,640.375,552.9576,1806.7836395106103,0.9041083455085754,0.10209268,427899
0.008144933,7.3613887,465,0.10001685,0.0,638.7649269104004,2,638.225,557.9278,1819.410962636833,0.920551136136055,0.10001685,431733
0.009072737,7.3623786,467,0.09631921,0.0,643.1756348609924,2,625.1,540.6028,1766.1790235623062,0.5069124698638916,0.09631921,435660
0.008697044,7.347111,468,0.07654635,0.0,647.5787348747253,1,635.025,552.3786,1806.2935660430685,-0.03627979755401611,0.07654635,438660
0.008612347,7.363346,469,0.085309654,0.0,652.0266687870026,1,637.5,548.9153,1803.3650999420292,0.20118695497512817,0.085309654,441660
0.008678826,7.3602915,470,0.10587178,0.0,656.4357130527496,1,631.775,539.51764,1775.8202606434265,0.8555507659912109,0.10587178,443541
0.008964225,7.375607,472,0.09501043,0.0,660.7885320186615,2,651.45,560.0539,1844.5832283316893,0.49723368883132935,0.09501043,447555
0.008910369,7.342391,474,0.10413991,0.0,665.2365396022797,2,635.475,547.1915,1798.5101928273493,0.8231921195983887,0.10413991,449754
0.009853672,7.3312244,475,0.0957343,0.0,669.6477828025818,1,645.2,556.13525,1834.3531115341625,0.17171543836593628,0.0957343,452754
0.008835066,7.317074,476,0.10800587,0.0,674.0543501377106,1,635.2,551.5243,1819.4221722659945,0.30214923620224,0.10800587,454554
0.00959064,7.295837,478,0.12060238,0.0,678.5008733272552,2,635.775,560.2819,1848.3528095801835,0.9313175529241562,0.12060238,458568
0.009566156,7.2821784,480,0.1201581,0.0,682.9245734214783,2,635.825,565.8831,1872.9472303138305,0.9221715107560158,0.1201581,462780
0.009619428,7.262817,483,0.086198285,0.0,687.330658197403,3,648.925,578.2659,1911.7250595887112,0.9207732602953911,0.086198285,466464
0.009885905,7.257918,484,0.09854329,0.0,691.7697048187256,1,667.65,594.16864,1976.4023943660345,-0.08534133434295654,0.09854329,469464
0.008875284,7.222897,485,0.09284063,0.0,696.1281275749207,1,684.425,608.16406,2028.4678328372847,0.0442083477973938,0.09284063,472464
0.008762517,7.2261796,486,0.08099978,0.0,700.5456235408783,1,703.95,626.4743,2097.2976470092703,0.11371409893035889,0.08099978,475464
0.009653186,7.2149487,487,0.092592016,0.0,704.9112768173218,1,712.1,631.5331,2121.785185289453,0.18254095315933228,0.092592016,478464
0.009779876,7.202941,489,0.108687416,0.0,709.286404132843,2,700.2,626.2186,2102.110705882109,0.5461146533489227,0.108687416,482391
0.008584629,7.177872,491,0.10661425,0.0,713.609710931778,2,694.675,627.4395,2108.0247837289453,0.7884196639060974,0.10661425,485841
0.008331532,7.1568475,493,0.082513355,0.0,717.9995980262756,2,696.325,633.62805,2134.6358968223103,0.6391936838626862,0.082513355,490509
0.009864185,7.1252923,494,0.07842666,0.0,722.4339625835419,1,696.325,629.72253,2122.0767305132067,0.12423592805862427,0.07842666,493509
0.010580865,7.107954,496,0.089185014,0.0,726.8233258724213,2,692.05,627.51135,2124.4967935465174,0.6356946527957916,0.089185014,497682
0.009664994,7.0881486,499,0.11069575,0.0,731.183601140976,3,675.475,613.33185,2083.948542692732,0.9390766434371471,0.11069575,502218
0.0088249985,7.090498,500,0.08391118,0.0,735.5789082050323,1,685.25,620.562,2113.0217949153575,-0.11743676662445068,0.08391118,505218
0.008875342,7.1055913,501,0.07643748,0.0,740.0334594249725,1,695.425,626.21533,2142.1687648742495,-0.01705336570739746,0.07643748,508218
0.009658906,7.102767,503,0.10547549,0.0,744.3888862133026,2,692.2,620.2028,2134.392432831064,0.8923216238617897,0.10547549,510963
0.00975243,7.099911,504,0.12984338,0.0,748.7624793052673,1,684.625,614.0137,2111.102066855914,0.8416726589202881,0.12984338,512670
