entloss,entropy,surrgain,EpLenMean,EpisodesSoFar,TimeElapsed,EpThisIter,ev_tdlam_before,meankl,EpRewMean,optimgain,TimestepsSoFar,EpTrueRewMean
0.0,3.3464987,0.049332492,605.95,405,284.0544180870056,2,0.7130973041057587,0.0074829687,1756.238918930295,0.049332492,234384,1756.238918930295
0.0,3.3082883,0.05443588,618.675,407,287.62401366233826,2,0.7140706777572632,0.007919617,1788.3968704650688,0.05443588,238494,1788.3968704650688
0.0,3.3240943,0.06491272,625.7,408,291.26732778549194,1,0.9344692975282669,0.008605712,1815.536785709882,0.06491272,240771,1815.536785709882
0.0,3.33713,0.056118343,624.1,410,294.85274600982666,2,0.933141864836216,0.0077737793,1816.3574986322856,0.056118343,245157,1816.3574986322856
0.0,3.3441253,0.051940978,636.1,411,298.36214542388916,1,0.7741712182760239,0.008313097,1861.5709412818535,0.051940978,247860,1861.5709412818535
0.0,3.334939,0.058784157,634.225,412,301.99628496170044,1,0.8555183410644531,0.007855795,1857.0464710585463,0.058784157,249555,1857.0464710585463
0.0,3.3278573,0.047257967,646.125,413,305.67275857925415,1,0.04490041732788086,0.008040534,1887.791983506178,0.047257967,252555,1887.791983506178
0.0,3.302061,0.05557441,646.125,414,309.31883573532104,1,-0.3680438995361328,0.009000046,1898.5205590559017,0.05557441,255555,1898.5205590559017
0.0,3.3142402,0.05284494,663.675,415,312.9144902229309,1,0.024839460849761963,0.009121096,1947.9238471294132,0.05284494,258555,1947.9238471294132
0.0,3.3283923,0.048308827,672.825,416,316.510844707489,1,-0.2028958797454834,0.0083141755,1976.5497479557785,0.048308827,261555,1976.5497479557785
0.0,3.3349938,0.05115633,677.975,419,320.1621849536896,3,0.7793977707624435,0.008396923,1996.5007441027992,0.05115633,266742,1996.5007441027992
0.0,3.3265707,0.056725256,689.15,420,323.66023206710815,1,0.940065260976553,0.008163057,2029.7144222887648,0.056725256,268947,2029.7144222887648
0.0,3.3437715,0.070135936,687.625,421,327.33606815338135,1,0.7227775156497955,0.00866616,2024.8490483916037,0.070135936,271122,2024.8490483916037
0.0,3.365965,0.05762936,688.575,422,330.91296005249023,1,0.94681241735816,0.007902011,2026.6584259556992,0.05762936,272163,2026.6584259556992
0.0,3.370735,0.039673127,712.0,423,334.59877371788025,1,0.018714606761932373,0.0074115507,2094.9482863965727,0.039673127,275163,2094.9482863965727
0.0,3.3528767,0.042651992,729.325,424,338.31824469566345,1,0.034123778343200684,0.009190496,2142.2504201024126,0.042651992,278163,2142.2504201024126
0.0,3.381766,0.04679687,728.15,426,341.8754870891571,2,0.2755736708641052,0.007612815,2138.3488223458617,0.04679687,281763,2138.3488223458617
