EpisodesSoFar,surrgain,meankl,TimestepsSoFar,EpLenMean,entloss,EpTrueRewMean,EpRewMean,ev_tdlam_before,entropy,EpThisIter,TimeElapsed,optimgain
396,0.095160335,0.008555483,91180,251.75,0.0,580.2513594241251,156.54575,0.8683113902807236,7.3979526,5,386.4350140094757,0.095160335
401,0.10437441,0.008612037,92386,250.575,0.0,585.8561758721531,158.71341,0.8715370446443558,7.3748302,5,390.69708251953125,0.10437441
406,0.11064239,0.0088317385,93748,247.025,0.0,577.045265786016,156.14136,0.9250009208917618,7.369202,5,394.6129746437073,0.11064239
410,0.104115784,0.007938653,94747,250.425,0.0,584.0282736756918,158.60182,0.9040785357356071,7.4010615,4,398.57226395606995,0.104115784
413,0.10364872,0.00893989,95670,256.475,0.0,605.2380422400972,164.24216,0.9029315486550331,7.396236,3,403.04671263694763,0.10364872
417,0.120578505,0.009195253,96690,254.4,0.0,602.4757886824643,164.61673,0.925220176577568,7.3797445,4,407.6741552352905,0.120578505
421,0.10170776,0.008929061,97674,251.075,0.0,593.701258435738,162.20401,0.8162951469421387,7.3513927,4,411.81449818611145,0.10170776
426,0.1148485,0.007978239,98639,247.35,0.0,591.2435097413771,160.90245,0.8340650945901871,7.3346105,5,416.0739936828613,0.1148485
430,0.098995425,0.009002314,99663,245.525,0.0,584.8993876296504,159.75595,0.8599676936864853,7.3380704,4,420.3502812385559,0.098995425
433,0.1081619,0.008188378,100457,247.2,0.0,588.1833226631285,160.72061,0.8891911506652832,7.3297887,3,424.6345374584198,0.1081619
437,0.10413751,0.008971557,101391,248.0,0.0,595.0727740446315,164.3986,0.8518016785383224,7.344173,4,428.8785123825073,0.10413751
441,0.11015813,0.009208731,102488,252.55,0.0,614.3592257385772,173.06729,0.9483005553483963,7.336046,4,433.1691982746124,0.11015813
445,0.13908964,0.008938862,103558,250.0,0.0,608.9548826718053,171.7781,0.932214543223381,7.3508787,4,437.7755014896393,0.13908964
449,0.103763014,0.008958856,104609,251.675,0.0,617.3976127014819,173.82016,0.8279844224452972,7.3320446,4,442.1014015674591,0.103763014
451,0.10857773,0.008749705,105609,265.075,0.0,640.4889516448463,178.59366,0.7338829636573792,7.329349,2,446.4453823566437,0.10857773
455,0.10716231,0.009080039,106676,261.6,0.0,642.5324763882387,178.72952,0.9215076640248299,7.3391104,4,450.7801580429077,0.10716231
457,0.09854995,0.008589251,107451,269.025,0.0,643.8463110903083,176.04239,0.8691677898168564,7.3157916,2,455.16273021698,0.09854995
462,0.10563075,0.008750519,108719,272.425,0.0,665.0093837125969,183.1375,0.8881812915205956,7.338929,5,459.4921200275421,0.10563075
466,0.12247339,0.008472273,109680,276.025,0.0,685.2718346909271,188.7045,0.8176156431436539,7.330676,4,463.80453634262085,0.12247339
470,0.13741654,0.009182714,110766,277.575,0.0,699.9868991306159,193.15009,0.8018434196710587,7.334294,4,468.0765914916992,0.13741654
473,0.086288676,0.008725794,111496,275.975,0.0,690.5652765666506,189.85278,0.9033648893237114,7.31825,3,472.40124106407166,0.086288676
476,0.12240741,0.008612532,112366,279.275,0.0,698.9974532150093,188.67923,0.9122084230184555,7.301575,3,476.7178394794464,0.12240741
480,0.10836637,0.008529667,113349,279.725,0.0,698.4440701347088,187.09671,0.8406758457422256,7.2772374,4,481.00397539138794,0.10836637
484,0.09918335,0.008137625,114583,281.15,0.0,702.2934216097746,184.27316,0.9290172010660172,7.259888,4,485.2814271450043,0.09918335
487,0.09225083,0.009010728,115564,287.675,0.0,720.9335284471507,186.71931,0.934973381459713,7.2476325,3,489.57570028305054,0.09225083
491,0.104243934,0.007855659,116599,274.75,0.0,699.4214602964219,177.2126,0.8830063119530678,7.242493,4,493.86933755874634,0.104243934
494,0.11151483,0.008567018,117890,287.375,0.0,731.3007965708632,183.32368,0.9077930897474289,7.2227306,3,498.1453378200531,0.11151483
499,0.10079354,0.0093191005,119168,273.825,0.0,716.4107165586918,177.2103,0.936591736972332,7.2059894,5,502.45831966400146,0.10079354
502,0.102428004,0.008771073,120104,284.625,0.0,747.552391212381,183.65605,0.9355159252882004,7.1813483,3,506.76744294166565,0.102428004
506,0.107992746,0.008322228,121132,286.3,0.0,750.8223173751894,181.63538,0.8222741186618805,7.1539307,4,511.03350377082825,0.107992746
510,0.0933027,0.008471385,122164,284.95,0.0,741.447093868479,176.29147,0.8933582901954651,7.145023,4,515.3575789928436,0.0933027
