TimestepsSoFar,entropy,EpThisIter,EpRewMean,EpisodesSoFar,meankl,entloss,EpLenMean,ev_tdlam_before,TimeElapsed,EpTrueRewMean,surrgain,optimgain
935208,23.461979,8,69.37522,3636,0.00399829,0.0,107.35,0.8560449331998825,2002.8545758724213,539.6429401344982,0.14743793,0.14743793
938175,23.456951,9,70.13088,3645,0.004042698,0.0,108.675,0.9101869538426399,2009.5347850322723,546.6810052993666,0.14405821,0.14405821
941112,23.45799,9,70.16901,3654,0.014729396,0.0,108.45,0.9034223631024361,2016.2190458774567,547.2702188097167,0.30912733,0.30912733
944295,23.457844,11,70.56638,3665,0.01464498,0.0,107.925,0.8661974519491196,2022.9984390735626,541.6711101052163,0.2753903,0.2753903
947319,23.460688,9,69.66343,3674,0.0038582105,0.0,110.2,0.9019476473331451,2029.818051815033,548.0382888926474,0.14181596,0.14181596
950268,23.46126,10,69.57802,3684,0.004380431,0.0,104.025,0.8725749403238297,2036.4885272979736,519.7458749093894,0.17006138,0.17006138
953451,23.458986,8,72.4901,3692,0.0041378057,0.0,108.65,0.876992404460907,2043.2942762374878,549.3514869422102,0.15047535,0.15047535
956664,23.459879,10,72.86023,3702,0.003955396,0.0,109.4,0.8826039135456085,2049.9339320659637,558.5728445470364,0.14718533,0.14718533
959892,23.461245,10,74.22499,3712,0.0042089643,0.0,108.725,0.9138098880648613,2056.6455993652344,556.3692700734775,0.14874691,0.14874691
963012,23.459166,8,75.95274,3720,0.0042301416,0.0,116.2,0.8852660804986954,2063.3146090507507,596.1138193901376,0.18755317,0.18755317
966132,23.460688,10,71.54249,3730,0.003943193,0.0,110.8,0.9083827883005142,2070.0623569488525,562.1730002199558,0.14791007,0.14791007
969264,23.470966,10,70.3736,3740,0.0042258524,0.0,109.525,0.8983360603451729,2076.831031560898,550.1521034913906,0.15842444,0.15842444
972300,23.469952,9,70.87215,3749,0.004301614,0.0,111.55,0.8826882615685463,2083.628647327423,559.7456135723911,0.159657,0.159657
975147,23.464273,10,68.121864,3759,0.004046406,0.0,103.05,0.8486392199993134,2090.335201740265,519.8540329475821,0.14922994,0.14922994
978282,23.470541,9,69.44579,3768,0.014968364,0.0,106.95,0.863855704665184,2096.93137216568,534.5510689366632,0.33632684,0.33632684
981375,23.47608,9,70.35719,3777,0.014709492,0.0,111.125,0.9032517150044441,2103.615759372711,558.5615932778494,0.28395087,0.28395087
984321,23.477129,9,68.72056,3786,0.0037769577,0.0,108.775,0.8797799199819565,2110.282868862152,546.1065783287822,0.14421648,0.14421648
987408,23.476625,9,70.89929,3795,0.0041695354,0.0,111.975,0.7827855348587036,2116.916825056076,561.3203421586718,0.15771052,0.15771052
990594,23.477472,10,70.927574,3805,0.004088278,0.0,111.125,0.901372104883194,2123.685000181198,561.0729768735576,0.1512286,0.1512286
993726,23.475836,10,70.960464,3815,0.003918849,0.0,110.625,0.8933001831173897,2130.311155796051,559.8476390163781,0.13701847,0.13701847
996897,23.476141,10,69.65334,3825,0.003984798,0.0,107.9,0.8848854154348373,2136.954121351242,548.947498598351,0.1473532,0.1473532
999900,23.474688,11,65.62083,3836,0.0039434056,0.0,101.8,0.8842665702104568,2143.712070465088,520.5405042662854,0.14435288,0.14435288
1003050,23.47487,10,64.47256,3846,0.0039099096,0.0,100.7,0.8488091677427292,2150.264739513397,514.6271942084044,0.14625275,0.14625275
