entloss,TimeElapsed,EpisodesSoFar,EpLenMean,ev_tdlam_before,EpRewMean,surrgain,TimestepsSoFar,EpThisIter,meankl,optimgain,EpTrueRewMean,entropy
0.0,994.687210559845,2224,84.85,0.8483226895332336,60.824562,0.36829764,470256,12,0.013875432,0.36829764,427.1617914392506,23.495607
0.0,1001.3069770336151,2235,89.2,0.755405843257904,63.583447,0.31581312,473511,11,0.014117796,0.31581312,445.4272292768521,23.488018
0.0,1007.7559313774109,2246,89.725,0.8656280040740967,64.12445,0.26408002,476379,11,0.012673387,0.26408002,448.6926477110954,23.481672
0.0,1014.2747564315796,2257,95.175,0.7832396477460861,66.785736,0.25494424,479685,11,0.013337268,0.25494424,477.74123594923583,23.472654
0.0,1020.7974879741669,2268,91.475,0.8619070798158646,63.40156,0.25873208,482757,11,0.012844451,0.25873208,458.7148642149579,23.46369
0.0,1027.3808434009552,2278,96.75,0.8212863504886627,68.975235,0.48244885,485883,10,0.013269475,0.48244885,486.22133348241607,23.465414
0.0,1033.9733493328094,2289,96.1,0.8563803136348724,66.4792,0.27832276,489063,11,0.01348269,0.27832276,476.39885651483985,23.459246
0.0,1040.5931890010834,2299,98.2,0.8474820405244827,68.77578,0.27775413,491973,10,0.013895234,0.27775413,490.6173926273741,23.45368
0.0,1047.2315983772278,2309,98.725,0.8214721083641052,69.508865,0.28867224,494868,10,0.013971649,0.28867224,497.66769449442455,23.454039
0.0,1053.8324975967407,2319,98.425,0.8766812309622765,66.155045,0.2894818,497979,10,0.0134491045,0.2894818,491.7171101653345,23.449957
0.0,1060.4106595516205,2330,98.575,0.8409148752689362,68.11431,0.2709176,501180,11,0.0124064125,0.2709176,494.97666709993325,23.448423
0.0,1066.9605705738068,2340,98.25,0.868061438202858,64.97212,0.3160151,504156,10,0.014364544,0.3160151,492.7208702434071,23.444902
0.0,1073.5434565544128,2350,99.325,0.8611013144254684,65.63746,0.2926873,507273,10,0.012738738,0.2926873,496.06616627336115,23.44393
0.0,1080.0590765476227,2359,101.85,0.8508060574531555,68.66589,0.280979,510201,9,0.012335764,0.280979,507.6573006771051,23.441145
0.0,1086.6243693828583,2370,100.975,0.91200190782547,68.51054,0.3126911,513297,11,0.014391139,0.3126911,503.50795070477005,23.435076
0.0,1093.1821439266205,2381,98.8,0.9048206359148026,69.42876,0.2651655,516354,11,0.01348763,0.2651655,494.7935682619935,23.437416
0.0,1099.762825012207,2391,98.175,0.8164707124233246,67.94564,0.3341681,519480,10,0.013186319,0.3341681,492.3489372344733,23.427488
0.0,1106.3525788784027,2403,94.575,0.8530119508504868,64.375626,0.2510656,522654,12,0.012646268,0.2510656,475.69411225017245,23.424967
0.0,1112.9021739959717,2415,92.975,0.8683468997478485,62.88257,0.33086318,525951,12,0.014780207,0.33086318,470.7816073987398,23.41683
0.0,1119.4239938259125,2426,96.275,0.895873486995697,64.516556,0.27222764,529233,11,0.0133957155,0.27222764,488.6255049968505,23.413572
0.0,1126.021663427353,2436,95.475,0.8532121032476425,66.64906,0.25355417,532392,10,0.013707504,0.25355417,483.5000682811266,23.413816
0.0,1132.6091873645782,2447,97.9,0.8494175970554352,69.31902,0.36498398,535503,11,0.014699478,0.36498398,494.4261183810966,23.410234
0.0,1139.2684791088104,2458,97.7,0.8030262440443039,68.32332,0.29494727,538506,11,0.013958914,0.29494727,497.83711870602036,23.411871
0.0,1145.8226671218872,2469,94.625,0.8761911243200302,66.08433,0.25830388,541629,11,0.013951596,0.25830388,475.9597406744254,23.405111
0.0,1152.4722800254822,2480,92.175,0.8428084403276443,62.647003,0.28607684,544563,11,0.013187023,0.28607684,463.7136440790524,23.40893
0.0,1159.0308775901794,2490,92.125,0.8489694744348526,61.517376,0.39000893,547461,10,0.013814766,0.39000893,462.51760494498893,23.408873
0.0,1165.546637058258,2499,95.5,0.8741336911916733,64.07591,0.29538044,550239,9,0.013687548,0.29538044,479.10093462366694,23.405828
0.0,1172.1632461547852,2509,97.075,0.8640722185373306,65.49972,0.15458757,553278,10,0.0038833034,0.15458757,493.2575705179277,23.407877
0.0,1178.6827750205994,2516,105.15,0.8237384408712387,72.80166,0.27117908,556203,7,0.013365353,0.27117908,535.6228005069481,23.411943
0.0,1185.3194506168365,2525,113.55,0.8702213317155838,77.35301,0.14886582,559353,9,0.0037999027,0.14886582,583.1648209056823,23.412594
0.0,1191.9191629886627,2536,112.125,0.8635996878147125,77.23065,0.28108066,562713,11,0.013850851,0.28108066,570.2917843496782,23.414633
0.0,1198.6102623939514,2548,106.675,0.880964569747448,73.50553,0.14949028,565893,12,0.0038404583,0.14949028,539.2210674207796,23.415117
0.0,1205.2583603858948,2557,103.95,0.8418135195970535,69.753586,0.14363843,569097,9,0.0038070432,0.14363843,525.1958339556807,23.412432
0.0,1211.9280843734741,2567,100.1,0.809070497751236,67.45634,0.40387523,572262,10,0.013871116,0.40387523,508.7996552661977,23.411703
0.0,1218.3277888298035,2575,108.65,0.8045457303524017,74.923256,0.2983532,575493,8,0.012822654,0.2983532,555.4796207600982,23.40574
0.0,1224.8963327407837,2586,112.625,0.8598692268133163,78.057106,0.28386593,578751,11,0.013605442,0.28386593,573.644093896284,23.407003
0.0,1231.4908368587494,2597,108.525,0.8898687213659286,74.81537,0.1332039,582120,11,0.003774508,0.1332039,549.6879509000357,23.407488
0.0,1238.0724303722382,2605,114.975,0.8670009225606918,77.09868,0.2747014,585309,8,0.014143268,0.2747014,579.7609001164299,23.40283
0.0,1244.5396842956543,2615,105.6,0.8644605427980423,70.26957,0.29192472,588165,10,0.014786025,0.29192472,532.4265305331021,23.39942
0.0,1251.4313790798187,2626,105.175,0.8580085635185242,69.62771,0.2663712,591372,11,0.013224663,0.2663712,533.3649468907713,23.40112
