EpThisIter,EpLenMean,EpTrueRewMean,TimeElapsed,optimgain,entropy,entloss,surrgain,meankl,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,EpRewMean
5,194.875,194.875,776.1352434158325,0.0070378194,0.5145514,0.0,0.0070378194,0.0041937046,-0.7950851917266846,166832,981,52.2463
5,198.925,198.925,781.0865037441254,0.010014761,0.5412849,0.0,0.010014761,0.009667639,-0.09990167617797852,167832,986,49.09834
5,197.425,197.425,785.6350393295288,0.009317613,0.5101081,0.0,0.009317613,0.008381565,-0.09330320358276367,168772,991,44.669605
6,197.425,197.425,790.7938690185547,0.006570594,0.5441153,0.0,0.006570594,0.00892343,-0.14129853248596191,169972,997,40.62876
5,195.825,195.825,795.1805443763733,0.008194009,0.49083665,0.0,0.008194009,0.0070880977,-0.037677764892578125,170908,1002,38.300415
5,196.7,196.7,799.8111922740936,0.008809533,0.51088965,0.0,0.008809533,0.00703331,-0.036786794662475586,171900,1007,37.541733
5,196.7,196.7,805.3074040412903,0.005487201,0.5003375,0.0,0.005487201,0.0049628736,-0.013853192329406738,172900,1012,36.56974
5,196.7,196.7,809.7431073188782,0.006793705,0.53681004,0.0,0.006793705,0.006034784,-0.16063380241394043,173900,1017,36.39657
6,196.7,196.7,814.3644716739655,0.012359243,0.52106,0.0,0.012359243,0.008383527,-0.06698775291442871,175100,1023,37.364082
5,196.7,196.7,818.6908552646637,0.013401524,0.53234184,0.0,0.013401524,0.009157693,-0.0012545585632324219,176100,1028,39.523907
5,198.2,198.2,823.3559098243713,0.011073058,0.5330568,0.0,0.011073058,0.0068601016,0.05076110363006592,177100,1033,42.79908
6,195.425,195.425,828.0656867027283,0.0077938107,0.5179709,0.0,0.0077938107,0.008123692,0.125690758228302,178125,1039,46.029106
5,195.425,195.425,832.5208671092987,0.012507018,0.53361845,0.0,0.012507018,0.008366327,0.06177610158920288,179125,1044,49.38838
6,193.075,193.075,837.7246615886688,0.012897558,0.51624227,0.0,0.012897558,0.006736727,0.11952680349349976,180223,1050,55.46229
5,193.075,193.075,842.8554992675781,0.009858342,0.5126232,0.0,0.009858342,0.005061846,-0.016791939735412598,181223,1055,60.081703
5,193.075,193.075,847.4855723381042,0.009562723,0.5306789,0.0,0.009562723,0.008049061,0.10080480575561523,182223,1060,65.86149
6,187.275,187.275,852.2749922275543,0.018630615,0.5151845,0.0,0.018630615,0.00821048,-0.1306673288345337,183191,1066,78.005936
6,185.4,185.4,856.714613199234,0.0081487065,0.5531097,0.0,0.0081487065,0.0066968417,-0.005395770072937012,184316,1072,87.7599
6,182.55,182.55,861.2585594654083,0.012643342,0.5163826,0.0,0.012643342,0.0075391456,-0.025582313537597656,185294,1078,106.297195
6,178.9,178.9,865.5057260990143,0.012681866,0.52577376,0.0,0.012681866,0.0067203194,-0.00019311904907226562,186281,1084,139.56534
5,179.3,179.3,871.0646879673004,0.01143301,0.5198933,0.0,0.01143301,0.004690132,0.00011014938354492188,187195,1089,161.68315
6,176.65,176.65,875.8082718849182,0.015880708,0.5136781,0.0,0.015880708,0.008158919,0.00043588876724243164,188289,1095,205.32173
