EpRewMean,surrgain,ev_tdlam_before,EpThisIter,EpisodesSoFar,optimgain,EpLenMean,EpTrueRewMean,entloss,TimeElapsed,meankl,TimestepsSoFar,entropy
10.427,0.06379212,0.27684587240219116,43,43,0.06379212,24.175,1.0860285131926855,0.0,26.80648159980774,0.0077605713,3063,8.488593
13.301303,0.05854185,0.4542319178581238,28,71,0.05854185,31.75,4.582493221009204,0.0,52.65333557128906,0.0068282504,6123,8.47285
16.688913,0.06524615,0.6302562654018402,22,93,0.06524615,43.1,10.267249122044985,0.0,78.24735474586487,0.007200859,9252,8.448696
21.238537,0.058513,0.675242692232132,13,106,0.058513,57.175,17.054106683329184,0.0,104.47058844566345,0.005963648,12423,8.457169
26.70077,0.06144483,0.7062633335590363,11,117,0.06144483,74.4,25.199803649451933,0.0,129.01430487632751,0.0062542255,15708,8.444339
30.302631,0.06516805,0.7965949475765228,9,126,0.06516805,87.675,20.447212035374736,0.0,154.87053036689758,0.005993433,18876,8.4039
35.053288,0.055912018,0.8185529112815857,7,133,0.055912018,102.775,40.6461633245911,0.0,180.457501411438,0.0064400746,21585,8.384881
36.892128,0.061163016,0.787748172879219,8,141,0.061163016,111.65,42.867094881588955,0.0,206.7768349647522,0.0060318704,24582,8.336838
39.17417,0.06245631,0.7551400810480118,5,146,0.06245631,120.275,53.69456323233021,0.0,231.35157680511475,0.006642675,26856,8.332839
41.269787,0.073442444,0.8825854584574699,7,153,0.073442444,131.2,82.1689199986228,0.0,257.51718521118164,0.00570919,30420,8.349246
43.20101,0.061930176,0.9051228314638138,6,159,0.061930176,142.225,97.92681610175643,0.0,282.79004526138306,0.0060754875,33516,8.363488
45.249336,0.06737017,0.678167074918747,4,163,0.06737017,153.025,107.92033542769818,0.0,308.86661410331726,0.005980741,35784,8.343808
44.640064,0.06081879,0.8813396096229553,5,168,0.06081879,158.325,125.47945764578067,0.0,333.80524134635925,0.005905394,38820,8.296844
46.42376,0.069821924,0.8442447334527969,4,172,0.069821924,174.9,127.21020951077176,0.0,360.0808961391449,0.006024068,42321,8.240322
47.87322,0.06928004,0.8988170400261879,6,178,0.06928004,186.55,145.2317734376035,0.0,385.3278338909149,0.0057931966,45630,8.233223
49.091885,0.06835642,0.901365764439106,5,183,0.06835642,193.425,169.0824562417903,0.0,411.2974739074707,0.0064502205,48591,8.2414055
49.902153,0.07138554,0.8846857696771622,4,187,0.07138554,200.275,182.09290120166477,0.0,436.0270264148712,0.0065583596,51861,8.215266
52.10309,0.06549959,0.9347630515694618,4,191,0.06549959,213.875,197.81977324373221,0.0,462.26008439064026,0.006252568,55245,8.199098
51.75725,0.06695107,0.9253132864832878,5,196,0.06695107,220.5,205.7397819577971,0.0,487.8424434661865,0.0072468175,58839,8.193688
54.15661,0.06502591,0.9465821012854576,6,202,0.06502591,226.1,238.24722076667732,0.0,514.1942908763885,0.006256057,62520,8.138711
54.111824,0.06541853,0.8737794756889343,5,207,0.06541853,229.525,244.9313290399178,0.0,538.2787227630615,0.007188359,65589,8.138757
51.833363,0.05793872,0.9027642384171486,5,212,0.05793872,220.45,251.78443193471873,0.0,564.3255064487457,0.0064032674,68775,8.142829
52.56124,0.056891628,0.9424493461847305,5,217,0.056891628,222.825,270.07161684608735,0.0,590.0222091674805,0.006530963,71850,8.130741
53.20172,0.08003068,0.9635740406811237,4,221,0.08003068,226.975,286.41762388802636,0.0,616.373167514801,0.0067413617,74724,8.124963
54.706276,0.06733939,0.9778648447245359,3,224,0.06733939,238.575,304.9146779266422,0.0,640.8539986610413,0.0061917296,78081,8.138676
55.942566,0.09996922,0.9369006305932999,3,227,0.09996922,253.5,323.7680234084445,0.0,667.0616219043732,0.006141797,82281,8.102782
53.566235,0.06593577,0.9239783361554146,4,231,0.06593577,248.225,320.62811348243537,0.0,692.0931406021118,0.007315281,85032,8.075672
52.42788,0.07024512,0.9217530861496925,5,236,0.07024512,244.35,331.46602931925634,0.0,718.1813230514526,0.0070222598,88161,8.068558
49.780468,0.06994703,0.8758919462561607,4,240,0.06994703,240.95,326.40093841625816,0.0,742.5967559814453,0.0071640736,90552,8.023248
49.472538,0.07689132,0.9316179603338242,4,244,0.07689132,244.55,334.5561807428597,0.0,768.806830406189,0.006483162,93150,7.9944696
48.605286,0.07572328,0.8698675632476807,6,250,0.07572328,240.025,345.4012198944554,0.0,794.0135128498077,0.00677354,96279,8.013684
48.77909,0.070017464,0.8169508278369904,4,254,0.070017464,246.35,361.218878362408,0.0,819.7306332588196,0.0072142,99621,8.002926
48.23913,0.071898684,0.9629172161221504,4,258,0.071898684,248.05,369.95651745362466,0.0,844.662321805954,0.0060226754,102570,7.9942822
46.073254,0.11627811,0.9734626915305853,5,263,0.11627811,242.425,369.8924058304362,0.0,871.1862268447876,0.0059764436,105957,7.9758606
41.394493,0.08353031,0.9600872732698917,5,268,0.08353031,215.325,352.7691554742361,0.0,896.5902698040009,0.006426612,108822,7.9522967
40.372772,0.07834127,0.9431980103254318,5,273,0.07834127,214.975,355.65217766267045,0.0,922.55859375,0.006870112,112215,7.951271
40.09859,0.07339242,0.8645149022340775,4,277,0.07339242,220.55,360.62647146068736,0.0,947.3510401248932,0.007928463,115254,7.917847
40.718082,0.09206245,0.9506415091454983,4,281,0.09206245,224.0,373.718523238754,0.0,973.9072299003601,0.0071872277,117951,7.9377255
39.603504,0.08508229,0.9628764763474464,5,286,0.08508229,222.625,373.3235701481957,0.0,998.9089159965515,0.0068665883,121059,7.9143414
