TimeElapsed,surrgain,EpLenMean,EpTrueRewMean,entloss,EpThisIter,meankl,optimgain,entropy,EpRewMean,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before
1780.4370846748352,0.07491383,635.625,2137.283434366259,0.0,3,0.0043638335,0.07491383,6.301454,359.36163,420748,1138,0.9462437070906162
1784.6901741027832,0.08714026,636.875,2140.526789576861,0.0,2,0.0103581045,0.08714026,6.3049355,359.77008,422049,1140,0.7093980014324188
1788.928085565567,0.16660832,648.05,2186.98423095226,0.0,1,0.012821972,0.16660832,6.269165,366.68808,423010,1141,0.8723184019327164
1793.1686499118805,0.12669271,660.6,2235.2933072049454,0.0,1,0.01310596,0.12669271,6.305438,373.81537,423774,1142,0.7222389876842499
1797.459727048874,0.118629366,660.6,2242.4585729478063,0.0,1,0.011528613,0.118629366,6.2970395,375.65036,424774,1143,0.1472877860069275
1801.6651303768158,0.11996889,647.75,2203.6004228443476,0.0,2,0.013684044,0.11996889,6.327571,371.4577,425902,1145,0.9198919832706451
1805.9755320549011,0.11188243,653.825,2229.9919845248987,0.0,1,0.012492419,0.11188243,6.3132286,375.21484,426817,1146,0.9265221208333969
1810.256089925766,0.11228605,640.7,2167.8733742694967,0.0,2,0.013662828,0.11228605,6.324237,369.1817,427722,1148,0.9659010134637356
1814.5888617038727,0.12565129,620.35,2095.0825788008965,0.0,2,0.011923654,0.12565129,6.3051915,359.13043,428462,1150,0.9507743045687675
1818.8837773799896,0.119473904,622.075,2100.4149980203233,0.0,3,0.013138128,0.119473904,6.294129,361.91205,429673,1153,0.9364385977387428
1823.2486772537231,0.11763525,622.075,2095.2937652952546,0.0,1,0.01239363,0.11763525,6.2876024,361.97162,430673,1154,0.8728173673152924
1827.5744202136993,0.118116625,613.7,2059.4800153500846,0.0,2,0.01344821,0.118116625,6.2631373,356.63464,431524,1156,0.9019367471337318
1831.88441324234,0.15882911,605.7,2033.8058227082365,0.0,1,0.0127637535,0.15882911,6.23592,353.56284,432204,1157,0.8994953706860542
1836.1916010379791,0.101235814,604.4,2028.3830191645807,0.0,2,0.012317106,0.101235814,6.219722,352.49103,433609,1159,0.6233822405338287
1840.5391540527344,0.11439966,620.95,2099.3402960041753,0.0,1,0.012371654,0.11439966,6.1678305,362.19806,434609,1160,0.6529224216938019
1844.8716492652893,0.08460377,625.575,2112.01075019844,0.0,1,0.0045796297,0.08460377,6.1911635,364.17914,435169,1161,0.9359867125749588
1849.2045249938965,0.1948963,634.0,2145.996189343503,0.0,1,0.014704263,0.1948963,6.174458,369.23087,436169,1162,0.7279084622859955
1853.5326113700867,0.10656552,653.6,2236.7712798468624,0.0,1,0.01247753,0.10656552,6.182064,380.71646,437169,1163,0.06735461950302124
1857.8647089004517,0.14441311,641.175,2193.3654778780983,0.0,2,0.014401147,0.14441311,6.176576,372.72052,438220,1165,0.8958397731184959
1862.1366772651672,0.16283232,628.575,2156.308456827199,0.0,1,0.013928835,0.16283232,6.177736,367.73456,438716,1166,0.8128223270177841
1866.3813681602478,0.11480568,643.575,2230.2297267281087,0.0,2,0.013401374,0.11480568,6.216063,377.21796,440182,1168,0.9049289375543594
1870.6439230442047,0.13079089,626.7,2160.607157293599,0.0,3,0.012606256,0.13079089,6.1997867,367.36554,441748,1171,0.9598560892045498
1874.9093008041382,0.16235402,614.95,2117.7377511099594,0.0,1,0.012595443,0.16235402,6.218308,360.86957,442278,1172,0.9668471366167068
1879.1776068210602,0.06237803,638.95,2200.780652940194,0.0,2,0.0044302642,0.06237803,6.2172847,375.01205,443989,1174,0.890158511698246
1883.4951252937317,0.14959659,624.625,2136.3379104378737,0.0,1,0.012055638,0.14959659,6.200973,365.35175,444343,1175,0.9559025280177593
1887.7796070575714,0.13392377,637.5,2184.8312386040766,0.0,2,0.012517713,0.13392377,6.1537523,374.08658,445620,1177,0.9000381529331207
1892.046275138855,0.09706277,631.1,2163.0326472983425,0.0,2,0.011771236,0.09706277,6.1204233,372.36993,446992,1179,0.6536292433738708
1896.3501794338226,0.12772548,629.3,2144.9094531085634,0.0,2,0.012503199,0.12772548,6.1416206,370.80493,448182,1181,0.9364603906869888
1900.6846973896027,0.10885829,617.35,2103.014952091639,0.0,2,0.012507803,0.10885829,6.1804795,365.24762,449468,1183,0.6390231847763062
1904.98011136055,0.11865464,614.325,2087.7358563378925,0.0,2,0.014553052,0.11865464,6.15712,363.0088,450475,1185,0.9117304906249046
