surrgain,optimgain,EpisodesSoFar,EpLenMean,entropy,TimeElapsed,meankl,EpTrueRewMean,EpThisIter,EpRewMean,TimestepsSoFar,ev_tdlam_before,entloss
0.09430873,0.09430873,302,463.7,7.777404,411.587614774704,0.0069838567,785.3639343306552,3,785.3639343306552,215517,0.7543921023607254,0.0
0.08728135,0.08728135,305,463.225,7.777051,417.60005354881287,0.0070049637,784.8426020624419,3,784.8426020624419,220218,0.864104226231575,0.0
0.10503658,0.10503658,308,451.075,7.7844887,423.66035413742065,0.007034566,787.9141480115161,3,787.9141480115161,223503,0.5976902842521667,0.0
0.11446482,0.11446482,311,442.95,7.7689204,429.66666078567505,0.0074813343,777.485259026312,3,777.485259026312,225867,0.8679340779781342,0.0
0.10574999,0.10574999,313,450.925,7.7620854,435.6623089313507,0.00695548,788.2974322110408,2,788.2974322110408,228969,0.8811817616224289,0.0
0.09653807,0.09653807,315,459.375,7.7487674,441.6801645755768,0.007000691,797.2258090358655,2,797.2258090358655,231915,0.9037272557616234,0.0
0.06807949,0.06807949,316,479.525,7.7303424,447.6871712207794,0.0063053276,813.5442086986179,1,813.5442086986179,234915,-0.3817892074584961,0.0
0.1112885,0.1112885,317,479.325,7.7359586,453.6863660812378,0.0070831142,819.5031914803943,1,819.5031914803943,237024,0.813894584774971,0.0
0.11286083,0.11286083,320,467.5,7.7354164,459.6767563819885,0.008223397,805.6439705263004,3,805.6439705263004,240111,0.7211265861988068,0.0
0.08980247,0.08980247,323,453.975,7.7164273,465.7211492061615,0.008301837,784.9603320628528,3,784.9603320628528,242877,0.7000688910484314,0.0
0.10715556,0.10715556,327,454.6,7.7005744,471.78630232810974,0.007916117,788.3229222883073,4,788.3229222883073,246951,0.871594101190567,0.0
0.11167219,0.11167219,328,465.275,7.6856694,477.80417561531067,0.008117741,811.1293464764573,1,811.1293464764573,249600,0.7674025893211365,0.0
0.100532755,0.100532755,330,454.625,7.680008,483.77820467948914,0.007857777,821.1313681393647,2,821.1313681393647,252813,0.8918845877051353,0.0
0.06927858,0.06927858,334,451.5,7.6923256,489.7536256313324,0.008473367,802.2180561361978,4,802.2180561361978,258051,0.8131870925426483,0.0
0.10621587,0.10621587,335,463.65,7.6852427,495.7087881565094,0.0069861785,822.4170535738334,1,822.4170535738334,260727,0.8687166124582291,0.0
0.081224546,0.081224546,337,456.55,7.6873164,501.68023014068604,0.007826345,797.8113827174939,2,797.8113827174939,263529,0.9311728850007057,0.0
0.095557466,0.095557466,338,474.025,7.677566,507.6744747161865,0.0069228,826.2440921572555,1,826.2440921572555,266529,-0.012523651123046875,0.0
0.09503576,0.09503576,341,463.825,7.6799197,513.6868371963501,0.007959775,800.7497492671066,3,800.7497492671066,270012,0.7213521003723145,0.0
0.11678122,0.11678122,343,449.775,7.6813474,519.6976871490479,0.007288399,774.6134575683908,2,774.6134575683908,271818,0.5982416272163391,0.0
0.08593775,0.08593775,346,443.65,7.671329,525.6833410263062,0.008913037,758.8369253483518,3,758.8369253483518,274014,0.8811971172690392,0.0
0.09042804,0.09042804,347,450.625,7.6781583,531.6551287174225,0.0079437,774.3004157634324,1,774.3004157634324,276387,0.7142389416694641,0.0
0.10536496,0.10536496,349,462.8,7.6744533,537.654721736908,0.007718045,789.4641339725024,2,789.4641339725024,279948,0.8490401208400726,0.0
0.09596005,0.09596005,351,481.625,7.671311,543.6620287895203,0.007831559,820.269080952023,2,820.269080952023,283662,0.8928342387080193,0.0
0.1233182,0.1233182,352,493.5,7.6742673,549.6422603130341,0.008872256,856.7861141561762,1,856.7861141561762,286662,-0.569394588470459,0.0
0.10521419,0.10521419,355,482.175,7.6707606,555.6270608901978,0.0074828374,856.5054416435217,3,856.5054416435217,289776,0.8190522193908691,0.0
0.11346842,0.11346842,358,457.05,7.68483,561.6585037708282,0.008175647,837.3723800470536,3,837.3723800470536,293160,0.6744040846824646,0.0
0.11182442,0.11182442,361,460.275,7.6812096,567.6673209667206,0.00870649,844.2185216278536,3,844.2185216278536,296586,0.8785765990614891,0.0
