EpRewMean,entropy,TimeElapsed,optimgain,EpTrueRewMean,EpLenMean,surrgain,TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,meankl,entloss,EpThisIter
418.37628,4.250975,170.85491585731506,0.04339558,754.5056565490546,751.45,0.04339558,120282,0.1694813370704651,141,0.0060325884,0.0,1
425.93097,4.283196,175.1160590648651,0.034727864,767.3466530343051,769.45,0.034727864,123282,-0.03877115249633789,142,0.006658408,0.0,1
433.37997,4.2546062,179.41109919548035,0.02962249,777.5278703116559,787.55,0.02962249,126282,-0.03775680065155029,143,0.007013593,0.0,1
438.60223,4.264993,183.71658396720886,0.040245734,783.6369892351385,804.2,0.040245734,129927,0.1853821873664856,145,0.007079712,0.0,2
445.80405,4.2825103,188.06258916854858,0.03825362,792.8469406930762,821.6,0.03825362,132927,-0.01535022258758545,146,0.005651779,0.0,1
455.90936,4.2519526,192.33875441551208,0.032566585,812.309102590727,843.075,0.032566585,135927,-0.02783524990081787,147,0.0066595045,0.0,1
462.13763,4.2549977,196.59948706626892,0.03092379,824.1910280246295,859.25,0.03092379,138927,0.008593320846557617,148,0.006832297,0.0,1
459.4149,4.247002,200.85127210617065,0.028573424,816.4727178639316,866.175,0.028573424,143766,0.4971194267272949,150,0.007394037,0.0,2
455.63223,4.2398396,205.10290789604187,0.04722523,813.0615122471501,866.175,0.04722523,146766,-0.016800284385681152,151,0.0066175237,0.0,1
452.15143,4.24697,209.3803288936615,0.051151115,811.8361051237467,866.175,0.051151115,149766,-0.010932326316833496,152,0.0074481433,0.0,1
449.11493,4.2394643,213.62520360946655,0.036702413,809.7289184818513,866.175,0.036702413,152766,0.010097026824951172,153,0.006106361,0.0,1
447.85834,4.2040405,217.83943057060242,0.05600262,808.9766681834413,869.6,0.05600262,156480,-0.018905043601989746,155,0.006567931,0.0,2
445.54492,4.212858,222.12958598136902,0.024377495,806.9688652964658,869.6,0.024377495,159480,0.02055525779724121,156,0.007957216,0.0,1
445.2505,4.200743,226.38564133644104,0.0707224,807.6889375980888,871.55,0.0707224,161343,0.13350296020507812,157,0.0076198955,0.0,1
443.5414,4.1831727,230.6058804988861,0.05640518,806.3801080215319,871.55,0.05640518,164343,-0.21849548816680908,158,0.007062726,0.0,1
432.8694,4.183633,234.8549666404724,0.0535584,788.0143208436181,853.225,0.0535584,165144,0.7557375282049179,159,0.008277208,0.0,1
439.68304,4.140901,239.13477039337158,0.030216193,802.3210464016287,868.55,0.030216193,168144,-0.07649660110473633,160,0.0069356943,0.0,1
438.2163,4.132696,243.37542867660522,0.03221631,800.1447348515601,868.55,0.03221631,171144,-0.040158629417419434,161,0.006792454,0.0,1
436.95865,4.0970516,247.63865280151367,0.045425925,798.3250908877911,868.55,0.045425925,174144,0.0010885000228881836,162,0.0070500504,0.0,1
438.4042,4.135927,251.86754250526428,0.035850577,806.5678781996388,873.925,0.035850577,177144,0.014027893543243408,163,0.0067023877,0.0,1
441.60312,4.155456,256.14715480804443,0.047202848,815.0182227023266,884.325,0.047202848,183144,0.06891673803329468,165,0.0070185945,0.0,2
440.8719,4.1176224,260.36456179618835,0.046498626,814.8789054511407,884.325,0.046498626,186144,-0.02855682373046875,166,0.008530909,0.0,1
440.2911,4.1371737,264.6139943599701,0.041020807,815.5944766335444,885.3,0.041020807,189144,-0.18369638919830322,167,0.0077884034,0.0,1
439.29913,4.1245394,268.8626489639282,0.035915185,817.695186775666,885.3,0.035915185,192144,-0.15409541130065918,168,0.007434246,0.0,1
438.4439,4.132048,273.08674120903015,0.053595643,818.451058880221,885.3,0.053595643,195144,0.2354678511619568,169,0.007805099,0.0,1
437.704,4.1117315,277.2856454849243,0.036402144,820.1053525843126,885.3,0.036402144,198144,-0.028801560401916504,170,0.007886755,0.0,1
436.1582,4.115296,281.4839062690735,0.056226324,819.6416433879516,883.575,0.056226324,200937,0.3098204731941223,171,0.0076867687,0.0,1
437.8243,4.1597676,285.64584732055664,0.034943156,825.5808537808298,888.675,0.034943156,203937,-0.04333078861236572,172,0.007693141,0.0,1
437.14008,4.1357036,289.883131980896,0.044019192,827.0160289674341,888.95,0.044019192,206937,-0.11513030529022217,173,0.0069974107,0.0,1
441.62042,4.1356883,294.08494758605957,0.041975062,838.337335799981,899.175,0.041975062,209937,-0.07886219024658203,174,0.0075964853,0.0,1
441.20947,4.148399,298.27381110191345,0.04542198,838.6013542742967,899.175,0.04542198,212937,0.01891547441482544,175,0.0065593133,0.0,1
448.38394,4.1542287,302.4688684940338,0.054769397,852.6025618356529,914.5,0.054769397,215670,0.3120657801628113,176,0.0066549205,0.0,1
448.58682,4.1564946,306.7017168998718,0.05353403,853.1453845586436,914.5,0.05353403,218670,0.10485076904296875,177,0.0068481527,0.0,1
447.5297,4.199252,310.9770772457123,0.08920218,850.9217128883996,909.175,0.08920218,220383,0.6766311228275299,178,0.0071410313,0.0,1
447.85577,4.205712,315.1431362628937,0.055525087,850.286640571688,909.175,0.055525087,223383,-0.2618694305419922,179,0.007085378,0.0,1
448.25156,4.2014394,319.4359321594238,0.036514387,849.1039677593002,909.175,0.036514387,226383,0.0053253173828125,180,0.0074609,0.0,1
435.62714,4.1741567,323.71392846107483,0.036847755,825.3672298011286,884.7,0.036847755,229446,0.12032252550125122,182,0.0071506537,0.0,2
431.44238,4.1770573,327.95825386047363,0.059578497,822.2275587284632,875.675,0.059578497,234363,0.13123399019241333,184,0.007718306,0.0,2
440.8413,4.187502,332.17877769470215,0.034644082,841.8688137490323,895.3,0.034644082,237363,-0.07887792587280273,185,0.0085476525,0.0,1
440.30728,4.166628,336.3821830749512,0.03708527,844.1373948287728,895.3,0.03708527,240363,-0.020586252212524414,186,0.008769498,0.0,1
439.59317,4.1870747,340.57075667381287,0.03048205,844.7262141678879,895.3,0.03048205,243363,-0.063346266746521,187,0.0065161763,0.0,1
439.26495,4.189857,344.7899532318115,0.047702894,845.7970018988144,895.3,0.047702894,246363,0.01842552423477173,188,0.0082548605,0.0,1
442.96436,4.187173,348.90609073638916,0.048062958,859.8383523585966,904.975,0.048062958,252363,-0.007348537445068359,190,0.008291004,0.0,2
443.13458,4.1880174,353.06070709228516,0.04357078,861.5698724659485,904.975,0.04357078,255363,-0.05930602550506592,191,0.007043663,0.0,1
442.92593,4.1986675,357.21066880226135,0.040545363,860.7724489086656,904.975,0.040545363,258363,0.015478074550628662,192,0.007162085,0.0,1
442.61444,4.2006154,361.40629982948303,0.056508567,861.36288693531,904.975,0.056508567,261363,-0.030736804008483887,193,0.008766867,0.0,1
449.50214,4.2254963,365.5952470302582,0.036208786,876.5508604950355,919.925,0.036208786,264363,-0.03599822521209717,194,0.0072298874,0.0,1
451.08847,4.2214284,369.71611881256104,0.05265066,879.9305060175415,924.025,0.05265066,267363,-0.010815978050231934,195,0.0072822357,0.0,1
450.7731,4.2121654,373.8867540359497,0.045115095,880.4841909765757,924.025,0.045115095,270363,-0.030501723289489746,196,0.010216257,0.0,1
454.58392,4.212796,378.13477754592896,0.04833109,889.6763651508388,933.5,0.04833109,276363,0.04997050762176514,198,0.0069282134,0.0,2
462.4213,4.190668,382.38564229011536,0.06417215,905.0432467897305,950.225,0.06417215,279171,0.417299747467041,199,0.008026663,0.0,1
462.02432,4.181702,386.61368012428284,0.051485837,904.3567311479064,950.225,0.051485837,282171,-0.09267640113830566,200,0.007537469,0.0,1
461.83292,4.2007213,390.90418434143066,0.053358894,905.2286604240056,950.225,0.053358894,285171,0.039874255657196045,201,0.008664902,0.0,1
452.6977,4.204308,395.12103056907654,0.042244807,887.0905162612946,931.8,0.042244807,285960,0.9162541925907135,202,0.008394893,0.0,1
435.72736,4.1947627,399.404985666275,0.05404497,853.9540178738305,897.55,0.05404497,290850,0.3742942214012146,205,0.007887796,0.0,3
435.1259,4.177679,403.65995717048645,0.040111143,855.0880698356826,897.55,0.040111143,293850,-0.016689658164978027,206,0.009142043,0.0,1
428.87256,4.1635137,407.94534254074097,0.06421748,840.6604335641238,880.9,0.06421748,297852,0.027918994426727295,208,0.008429436,0.0,2
428.80997,4.17697,412.1834270954132,0.041381,839.8370472124325,880.9,0.041381,300852,-0.002047419548034668,209,0.007090696,0.0,1
423.192,4.179503,416.3572669029236,0.05221297,826.8327113163701,866.5,0.05221297,302124,0.797160878777504,210,0.008268493,0.0,1
423.70767,4.1829906,420.5909917354584,0.054177117,828.8547147348672,868.225,0.054177117,305124,-0.0036308765411376953,211,0.009565576,0.0,1
413.1089,4.184258,424.84292483329773,0.05531683,807.6577693095658,845.925,0.05531683,308448,0.08555179834365845,213,0.008017675,0.0,2
413.3767,4.186217,429.0381453037262,0.052842766,808.0813835154286,845.925,0.052842766,311448,-0.10666549205780029,214,0.007842068,0.0,1
413.23087,4.1845922,433.64211320877075,0.047971353,809.0474923427722,845.925,0.047971353,314448,-0.11670958995819092,215,0.006857887,0.0,1
414.0854,4.1951666,437.91335940361023,0.04563279,813.1682502665819,848.15,0.04563279,317448,-0.02646613121032715,216,0.008997914,0.0,1
414.12354,4.200829,442.17784309387207,0.049441706,812.0449756109663,848.15,0.049441706,320448,0.10474944114685059,217,0.008785335,0.0,1
