TimeElapsed,entloss,EpThisIter,EpRewMean,EpLenMean,optimgain,ev_tdlam_before,meankl,TimestepsSoFar,surrgain,EpTrueRewMean,EpisodesSoFar,entropy
1564.6460371017456,0.0,3,72.18948,279.675,0.0952023,0.8431065231561661,0.00747641,182274,0.0952023,632.0732539918263,349,7.64841
1591.7120442390442,0.0,5,72.24446,273.8,0.10547511,0.8021887242794037,0.0078095607,185769,0.10547511,626.9053320796808,354,7.6330943
1617.4681808948517,0.0,4,69.682655,268.375,0.11525326,0.8635832667350769,0.007605042,188556,0.11525326,614.1562983906417,358,7.6023636
1644.137259721756,0.0,3,69.09226,268.15,0.08554654,0.7645545452833176,0.0073541994,191040,0.08554654,612.5621505645906,361,7.6004148
1668.8832025527954,0.0,4,70.109566,269.4,0.0986014,0.8299289792776108,0.0071429918,194385,0.0986014,631.7096414906632,365,7.5935893
1695.2533853054047,0.0,4,66.24196,258.525,0.09538221,0.6912716627120972,0.007739031,197397,0.09538221,592.3929270033764,369,7.5812106
1721.0523090362549,0.0,5,64.86517,253.275,0.09689918,0.840703010559082,0.00737811,200250,0.09689918,578.6743012700983,374,7.5925107
1747.6060540676117,0.0,5,68.19847,252.075,0.08803599,0.8474452793598175,0.007851096,203484,0.08803599,586.6113711593997,379,7.588672
1773.2726216316223,0.0,3,65.6125,246.975,0.10139727,0.797676220536232,0.008136086,205845,0.10139727,569.4356770599749,382,7.587243
1799.8947105407715,0.0,4,67.49834,251.45,0.098940425,0.9033286049962044,0.0071463436,209280,0.098940425,582.1356908746072,386,7.5924044
1825.6537771224976,0.0,4,64.513596,245.0,0.096271805,0.8375613391399384,0.0077799493,212316,0.096271805,559.0476006431053,390,7.5862246
1851.912150144577,0.0,4,66.7104,249.45,0.108058274,0.8491155356168747,0.007430149,215703,0.108058274,572.213626119269,394,7.578506
1877.3021223545074,0.0,5,67.29701,244.975,0.09247703,0.8713064640760422,0.0072482484,219111,0.09247703,560.805674679628,399,7.5626407
1904.1292476654053,0.0,3,70.65666,250.7,0.10394299,0.8093840032815933,0.0073981457,221835,0.10394299,580.2641238763688,402,7.5474176
1929.0467205047607,0.0,3,73.40366,251.175,0.09390384,0.8545891046524048,0.007503502,224526,0.09390384,589.3327294460183,405,7.522259
1955.3360691070557,0.0,3,74.59506,252.225,0.10328601,0.8716540485620499,0.006612187,226737,0.10328601,596.289230752063,408,7.5189548
1981.03586935997,0.0,4,75.47073,253.15,0.09352028,0.8049171566963196,0.0078171175,229404,0.09352028,614.6711410272608,412,7.506404
2007.9263122081757,0.0,4,74.44564,260.525,0.095432006,0.8108252137899399,0.007671294,233055,0.095432006,623.7951295016334,416,7.499776
2033.166448354721,0.0,5,75.27936,263.55,0.11114753,0.8980004787445068,0.007952873,236637,0.11114753,639.1642493427146,421,7.5073175
2059.49600982666,0.0,3,76.028076,266.3,0.10080744,0.8000418394804001,0.007667631,239526,0.10080744,650.2072026384869,424,7.5154533
