TimeElapsed,EpThisIter,surrgain,EpTrueRewMean,entropy,ev_tdlam_before,EpisodesSoFar,optimgain,EpRewMean,TimestepsSoFar,meankl,entloss,EpLenMean
534.2032635211945,1,0.04794173,2552.9273062456195,2.789479,-0.1526331901550293,279,0.04794173,625.9764,384138,0.009874817,0.0,739.35
538.5196335315704,1,0.04312305,2547.437437992013,2.8127544,0.8954139575362206,280,0.04312305,623.85944,386889,0.009796428,0.0,737.275
542.77765583992,1,0.04232859,2547.289199949503,2.8070955,0.34567052125930786,281,0.04232859,622.7964,389889,0.009817453,0.0,737.275
547.0280690193176,1,0.0367667,2621.4477630469273,2.7509127,-0.04315745830535889,282,0.0367667,640.22656,392889,0.009395503,0.0,758.6
551.2790262699127,1,0.04273334,2620.4724747641376,2.767445,-0.0065490007400512695,283,0.04273334,639.01154,395889,0.011579113,0.0,758.6
555.5254220962524,3,0.056978427,2575.2623855537868,2.781882,0.973730280995369,286,0.056978427,630.03046,399198,0.010244405,0.0,744.3
559.82222032547,1,0.036747634,2578.1972643869967,2.8066404,-0.026208043098449707,287,0.036747634,631.2694,402198,0.009041817,0.0,744.3
564.1502180099487,1,0.04043146,2639.965981750708,2.7681053,-0.0046302080154418945,288,0.04043146,645.048,405198,0.008807642,0.0,762.35
568.4399189949036,1,0.04116913,2673.411923976781,2.7794802,-0.012111902236938477,289,0.04116913,653.1271,408198,0.008800603,0.0,773.725
572.7559230327606,1,0.04251154,2721.0021783182506,2.8080451,-0.012946486473083496,290,0.04251154,664.48065,411198,0.008998516,0.0,788.65
577.0402851104736,1,0.046178825,2720.9915541206246,2.7909544,-0.008582472801208496,291,0.046178825,663.12537,414198,0.008899653,0.0,790.15
581.3012902736664,2,0.047529623,2759.0056028276767,2.8100502,0.7116443514823914,293,0.047529623,671.3649,418842,0.009788648,0.0,801.475
585.5647716522217,1,0.06605564,2749.8098882769086,2.8153281,0.9737770482897758,294,0.06605564,669.5988,419442,0.010179515,0.0,799.175
589.8061480522156,2,0.062155567,2784.3473480574958,2.8080547,0.9747734982520342,296,0.062155567,681.411,422505,0.009773669,0.0,808.7
594.0786635875702,2,0.05884318,2761.4018626570714,2.7620265,0.9762153960764408,298,0.05884318,675.81433,426402,0.010381609,0.0,800.75
598.3526780605316,2,0.05225268,2718.648114294758,2.7559516,0.9816030208021402,300,0.05225268,665.4142,428718,0.009499624,0.0,787.775
602.5842428207397,2,0.0626623,2684.359706242885,2.7440276,0.9798147939145565,302,0.0626623,656.8783,432960,0.011029065,0.0,777.875
606.8717629909515,2,0.05163715,2653.7255139728572,2.7823076,0.9736563097685575,304,0.05163715,650.69305,437385,0.009639056,0.0,764.75
611.1269752979279,1,0.04654172,2656.2925474639896,2.7944024,0.04861575365066528,305,0.04654172,650.98157,440385,0.009159165,0.0,764.75
615.3499772548676,1,0.048017472,2609.8477109418004,2.8084996,0.986874089576304,306,0.048017472,639.9914,441681,0.0097877,0.0,750.55
619.6610238552094,1,0.034965336,2657.2299010934157,2.839297,0.019935190677642822,307,0.034965336,650.51996,444681,0.009368347,0.0,764.675
623.9673056602478,1,0.046016455,2643.216093774446,2.7932236,0.9724118653684855,308,0.046016455,646.25745,447150,0.009782879,0.0,760.625
628.2591331005096,1,0.06013766,2607.533589567801,2.8632898,0.9693350233137608,309,0.06013766,638.40393,448848,0.00941246,0.0,749.775
632.5677285194397,1,0.04252672,2606.655388792501,2.8022873,-0.004519820213317871,310,0.04252672,637.3532,451848,0.010835909,0.0,749.775
636.8951189517975,1,0.057701483,2583.0020374163155,2.8613691,0.9784101787954569,311,0.057701483,632.3219,453939,0.009686835,0.0,742.2
641.2006919384003,2,0.06665502,2599.154270623001,2.8194377,0.9661615714430809,313,0.06665502,635.28735,456909,0.010232893,0.0,746.8
645.5424790382385,2,0.068801455,2556.6803061466194,2.7830226,0.9414637312293053,315,0.068801455,625.67786,460200,0.009221685,0.0,733.85
649.8088784217834,1,0.06188479,2551.880184025723,2.7678444,0.9576783552765846,316,0.06188479,625.7539,462906,0.01037875,0.0,731.4
