entloss,optimgain,EpRewMean,TimestepsSoFar,EpTrueRewMean,meankl,ev_tdlam_before,EpThisIter,TimeElapsed,EpLenMean,surrgain,EpisodesSoFar,entropy
0.0,0.22869445,48.49513,147441,374.79810788357133,0.009706873,0.8259950280189514,13,329.13832902908325,74.85,0.22869445,866,23.414793
0.0,0.22425976,49.107838,150591,386.5999654750349,0.010793476,0.7654372304677963,14,335.8255684375763,76.875,0.22425976,880,23.381758
0.0,0.21719424,50.87763,153753,384.2362081547459,0.009140335,0.8160334378480911,13,342.50076699256897,77.65,0.21719424,893,23.383379
0.0,0.21914178,49.234936,156888,373.7999902196001,0.0106824245,0.7343150675296783,14,349.2538421154022,76.625,0.21914178,907,23.385807
0.0,0.24081051,51.017372,159627,371.55295276175485,0.009502519,0.6927691400051117,12,355.8846368789673,76.975,0.24081051,919,23.375471
0.0,0.27778715,49.73164,162570,373.59515253664404,0.0108469855,0.7607955485582352,12,362.656533241272,76.85,0.27778715,931,23.365496
0.0,0.29218793,51.06672,165633,373.3835258099271,0.011286292,0.7986206114292145,13,369.35582637786865,77.7,0.29218793,944,23.35937
0.0,0.24836814,53.504066,168735,390.8644117229228,0.010511068,0.6889666616916656,12,376.10059237480164,81.2,0.24836814,956,23.369867
0.0,0.2042067,49.776844,171822,380.7237899958903,0.010930663,0.8440981805324554,14,382.7756621837616,79.0,0.2042067,970,23.371355
0.0,0.22397909,49.093338,174813,389.5389978848165,0.01136988,0.8463633507490158,12,389.4069836139679,80.35,0.22397909,982,23.358953
0.0,0.23546144,48.475586,178077,388.96877095994154,0.010475938,0.7787197083234787,13,396.1341996192932,79.4,0.23546144,995,23.367598
0.0,0.23257217,49.122063,181296,395.54527468991034,0.011250498,0.7919104844331741,14,402.81032609939575,80.8,0.23257217,1009,23.372782
0.0,0.24441609,46.197872,184194,378.57786138323416,0.011545591,0.8550658375024796,13,409.40882897377014,78.175,0.24441609,1022,23.370584
0.0,0.2372247,44.362507,187326,375.01139874829994,0.010772771,0.8287219256162643,13,416.07862877845764,77.075,0.2372247,1035,23.37897
0.0,0.26603383,49.956043,190416,387.4279152559692,0.01117415,0.7553275376558304,12,422.7633013725281,79.4,0.26603383,1047,23.375017
0.0,0.23928156,56.60432,193377,416.5553656938825,0.010718962,0.8408118784427643,11,429.5076916217804,84.25,0.23928156,1058,23.396727
0.0,0.23261786,59.866283,196350,429.12809136127873,0.010680748,0.8069092482328415,11,436.21681118011475,86.95,0.23261786,1069,23.398357
0.0,0.24615912,59.925194,199440,436.5991233209417,0.0113997925,0.8154264688491821,12,442.9648470878601,88.35,0.24615912,1081,23.386654
0.0,0.24332201,56.649494,202533,423.3263177231123,0.011025686,0.832730621099472,13,449.61159014701843,84.975,0.24332201,1094,23.377607
0.0,0.2558831,54.97412,205704,431.33369118979635,0.011914989,0.8177266418933868,11,456.2952501773834,87.075,0.2558831,1105,23.369223
0.0,0.24116206,55.925495,208989,426.3881263465444,0.011379128,0.8350041955709457,13,463.0768368244171,85.3,0.24116206,1118,23.37209
0.0,0.20431659,54.663002,211848,418.9480533706163,0.011302573,0.85432268679142,13,469.79183650016785,83.175,0.20431659,1131,23.361732
0.0,0.25058848,54.728943,214917,407.0955808085877,0.011241558,0.8756235465407372,12,476.5422706604004,80.975,0.25058848,1143,23.348127
0.0,0.23993847,57.55122,217878,427.44127925777593,0.011341375,0.7653163522481918,10,483.20007824897766,84.6,0.23993847,1153,23.357172
0.0,0.2449244,59.04759,220836,435.5419651300508,0.011267857,0.8489406108856201,11,490.0174434185028,86.9,0.2449244,1164,23.35018
0.0,0.22263817,60.498695,224061,427.3546111341573,0.010909783,0.8275808691978455,14,496.68592715263367,85.875,0.22263817,1178,23.3487
0.0,0.23126236,57.97109,227031,419.02533875304545,0.011523191,0.8121226578950882,11,503.4292826652527,85.2,0.23126236,1189,23.35327
0.0,0.23271005,56.338806,229851,414.0232545069692,0.011527077,0.8213382214307785,11,510.17197608947754,83.85,0.23271005,1200,23.340815
0.0,0.26450744,59.584755,233001,415.51092243259416,0.011657635,0.7432562410831451,13,516.8237278461456,83.775,0.26450744,1213,23.352213
