TimestepsSoFar,EpRewMean,EpLenMean,TimeElapsed,ev_tdlam_before,surrgain,meankl,EpThisIter,entropy,EpisodesSoFar,entloss,EpTrueRewMean,optimgain
444132,713.7711,696.6,618.943363904953,0.9674918800592422,0.050957337,0.009771595,1,2.625275,379,0.0,2353.678980760315,0.050957337
446730,721.5135,705.5,623.2150173187256,0.992421543225646,0.064970836,0.011568479,2,2.5830877,381,0.0,2388.7594459433167,0.064970836
447741,708.0338,688.925,627.4436602592468,0.9806511104106903,0.06755369,0.009557316,1,2.5867286,382,0.0,2333.794287621174,0.06755369
453246,696.8444,676.025,631.7316057682037,0.8763244524598122,0.04474754,0.00933399,3,2.6298852,385,0.0,2295.1866415936784,0.04474754
454686,690.59314,668.8,635.985410451889,0.9498686864972115,0.05484958,0.010557792,1,2.6048062,386,0.0,2272.0671869497264,0.05484958
457686,711.0925,688.925,640.2277455329895,0.05885237455368042,0.037723675,0.010648951,1,2.6420317,387,0.0,2341.141503274983,0.037723675
458328,704.2326,683.375,644.4817147254944,0.976947171613574,0.06685744,0.010609619,1,2.6655076,388,0.0,2322.0246309748504,0.06685744
461328,725.6006,703.4,648.7651188373566,-0.01817464828491211,0.034109242,0.010653471,1,2.7174485,389,0.0,2393.434284160105,0.034109242
464994,685.72156,665.3,653.0949103832245,0.9298641011118889,0.059362,0.0099520115,5,2.6968992,394,0.0,2263.7326497399285,0.059362
467994,709.55927,685.75,657.3374960422516,0.13200390338897705,0.052929375,0.011602224,1,2.6582618,395,0.0,2338.491227417727,0.052929375
469821,714.9971,690.5,661.5758244991302,0.9552201852202415,0.053864513,0.009880601,1,2.6324353,396,0.0,2357.4909858114725,0.053864513
472914,694.8093,669.625,665.8549907207489,0.961928877979517,0.057242364,0.011345216,2,2.6183174,398,0.0,2290.869324848326,0.057242364
476433,672.454,647.675,670.1279604434967,0.9281540662050247,0.060673304,0.011321197,3,2.560486,401,0.0,2218.1816618975886,0.060673304
478860,670.18164,645.75,674.3558332920074,0.07332813739776611,0.04441407,0.011047829,1,2.5634458,402,0.0,2210.2586174371672,0.04441407
481860,671.63434,646.475,678.5992922782898,-0.15270650386810303,0.040021166,0.009507677,1,2.5758386,403,0.0,2213.122938197307,0.040021166
484257,665.4661,641.45,682.919107913971,0.8251178860664368,0.060245324,0.009838356,1,2.5128183,404,0.0,2197.1441773476704,0.060245324
487257,668.0623,641.45,687.1943504810333,0.08417469263076782,0.040358253,0.009676127,1,2.490936,405,0.0,2200.2371814277976,0.040358253
490257,667.7942,641.45,691.4033682346344,0.014554440975189209,0.04344649,0.010231518,1,2.4212332,406,0.0,2199.595737098668,0.04344649
493089,667.73126,640.05,695.6380834579468,0.9806279875338078,0.06344405,0.010082191,1,2.4620368,407,0.0,2197.5002369184667,0.06344405
495531,679.792,651.125,699.8998141288757,0.9585026949644089,0.060050018,0.010108145,1,2.3933232,408,0.0,2237.6753988272853,0.060050018
498300,684.7639,653.575,704.287674665451,0.977983457967639,0.089524075,0.011524234,1,2.402221,409,0.0,2249.2108947009124,0.089524075
501300,688.7593,653.575,708.6468901634216,-0.011627793312072754,0.038912587,0.010566843,1,2.3821104,410,0.0,2262.6858934234415,0.038912587
505536,677.3493,638.875,713.012861251831,0.73825603723526,0.044361696,0.010649031,2,2.4145603,412,0.0,2217.1014147735964,0.044361696
508536,679.48456,645.7,717.4156568050385,-0.029297471046447754,0.040402066,0.010545279,1,2.374563,413,0.0,2236.4309241583705,0.040402066
511536,686.182,652.275,721.8856103420258,0.034013450145721436,0.042564087,0.0097021395,1,2.4168365,414,0.0,2259.637905927828,0.042564087
514536,694.7905,664.55,726.3454217910767,0.00593799352645874,0.051895052,0.010532239,1,2.355784,415,0.0,2298.4466925459355,0.051895052
518913,690.1742,663.025,730.7239775657654,0.7284574806690216,0.0413377,0.009920131,2,2.419192,417,0.0,2291.89932195706,0.0413377
522261,680.6317,651.075,735.1366896629333,0.9709536749869585,0.06283757,0.010743167,2,2.4277134,419,0.0,2255.191310375777,0.06283757
524394,690.1629,660.525,739.5772955417633,0.9597741737961769,0.05526022,0.010179631,1,2.3373535,420,0.0,2289.4301452924237,0.05526022
527394,702.9795,672.2,743.9845051765442,0.967542115598917,0.054815345,0.010474616,1,2.3041885,421,0.0,2333.7828844397,0.054815345
530394,718.897,688.775,748.4167523384094,0.08164608478546143,0.049653165,0.009830056,1,2.3208926,422,0.0,2391.140094567295,0.049653165
532935,715.0004,684.95,752.772537946701,0.9536181204020977,0.051576033,0.01183092,1,2.2426324,423,0.0,2380.6442559518714,0.051576033
535935,723.3392,694.05,757.0841941833496,-0.03183543682098389,0.069514394,0.010360099,1,2.2652721,424,0.0,2411.040642532428,0.069514394
538935,743.5841,714.075,761.4799566268921,-0.05277061462402344,0.0571533,0.009831725,1,2.183475,425,0.0,2479.9877053845057,0.0571533
543114,738.9367,711.9,765.8367209434509,0.9803203474730253,0.063640244,0.010029688,2,2.0967987,427,0.0,2475.2147078166977,0.063640244
547743,748.1117,720.125,770.2615361213684,0.9857153547927737,0.0567769,0.009871179,2,2.1019905,429,0.0,2508.1776918362984,0.0567769
550518,764.728,735.075,774.717579126358,0.9744311831891537,0.05097277,0.010613025,1,2.1849809,430,0.0,2563.943680454605,0.05097277
553518,781.422,753.55,779.0870747566223,0.204015851020813,0.04958466,0.010276053,1,2.0891535,431,0.0,2624.832988869147,0.04958466
556416,800.9504,767.825,783.5014805793762,0.928546316921711,0.05382295,0.010201411,2,2.0477905,433,0.0,2683.3207603547594,0.05382295
562416,820.6178,786.85,787.8990633487701,-0.05662965774536133,0.056579836,0.009688556,2,2.0353425,435,0.0,2747.9105616033803,0.056579836
565416,826.5129,796.625,792.2857749462128,-0.057439565658569336,0.042596895,0.009645252,1,2.054993,436,0.0,2776.558008650075,0.042596895
