entropy,meankl,optimgain,EpThisIter,EpRewMean,TimestepsSoFar,ev_tdlam_before,EpLenMean,EpTrueRewMean,EpisodesSoFar,entloss,surrgain,TimeElapsed
5.119587,0.0113902185,0.110370725,1,760.35016,965025,0.8179900646209717,760.7,2462.0430305263108,780,0.0,0.110370725,1370.2234246730804
5.1241503,0.010675976,0.11574798,1,745.72375,966222,0.8509670943021774,745.675,2418.176604589928,781,0.0,0.11574798,1374.6469526290894
5.129859,0.011045081,0.13401194,1,745.5145,969018,0.8215464055538177,743.975,2418.883124909684,782,0.0,0.13401194,1379.0916464328766
5.1329403,0.011056863,0.11017726,1,747.03204,972018,-0.2394094467163086,743.975,2422.334294343808,783,0.0,0.11017726,1383.466558456421
5.1310616,0.01031791,0.10997747,1,758.3196,973818,0.5416648685932159,755.2,2463.282418060683,784,0.0,0.10997747,1387.8154699802399
5.1328926,0.011821888,0.1006757,2,772.5364,979002,0.5226983428001404,770.375,2514.88871181323,786,0.0,0.1006757,1392.21138381958
5.078637,0.010682762,0.090819195,1,788.18604,982002,-0.007326960563659668,787.5,2568.140652523444,787,0.0,0.090819195,1396.5682137012482
5.0845156,0.011716125,0.12626374,1,789.285,985002,0.826759859919548,787.5,2575.740315514335,788,0.0,0.12626374,1401.001079082489
5.085938,0.012595594,0.099169195,1,786.0785,988002,0.030781567096710205,787.5,2567.131724775531,789,0.0,0.099169195,1405.4216272830963
5.1025777,0.010894535,0.12184208,1,787.9426,991002,-0.3211061954498291,787.5,2575.320683521579,790,0.0,0.12184208,1409.8074324131012
5.0998163,0.01157897,0.08977911,1,788.15326,994002,0.028680622577667236,787.5,2579.7014830896283,791,0.0,0.08977911,1414.2054209709167
5.098106,0.010376722,0.114793055,1,797.5297,995715,0.8214397132396698,797.15,2608.83711776106,792,0.0,0.114793055,1418.6035814285278
5.044945,0.011449192,0.10573041,1,788.80695,997734,0.8356843739748001,788.975,2579.765039066761,793,0.0,0.10573041,1423.0087532997131
5.0486393,0.01112384,0.11091807,2,764.74084,1000464,0.8598750680685043,763.225,2500.162643190448,795,0.0,0.11091807,1429.525024652481
